Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
371-U1510A-15H-5-A,57,111,134.71,135.25,,,,,,foraminiferal ooze,with nannofossils [2014],foraminiferal ooze with nannofossils,,,2.5Y 8.5/1 (white),bed,,,,,medium sand [W22_2],5,,,absent,0,coarse-grain dark green elements (glauconite ?),,,,,,,,,,foraminiferal ooze,foraminiferal ooze with nannofossils,,,,371,U1510,A,15,H,5,A,,,,
371-U1510A-15H-CC-A,0,8,135.25,135.33,,,,,,foraminiferal ooze,with nannofossils [2014],foraminiferal ooze with nannofossils,,,2.5Y 8.5/1 (white),,,,,,fine sand [W22_2],4,,,absent,0,,,,,,,,,,,foraminiferal ooze,foraminiferal ooze with nannofossils,,,,371,U1510,A,15,H,CC,A,,,,
371-U1510A-16H-1-A,0,31,138,138.31,,,,,,nannofossil ooze,with bioclasts,nannofossil ooze with bioclasts,extraclasts,,10YR 8.5/1 (white),,,,,,silt [W22_1],2,,,absent,0,"A brecciated mixture of ooze and various clasts. Clasts include sulfide, manganese oxide, glauconitic chalk, and silicified chalk.",,,,,,,,,,nannofossil ooze,nannofossil ooze with bioclasts,,,,371,U1510,A,16,H,1,A,,,,
371-U1510A-16H-1-A,31,140,138.31,139.4,,,,,,nannofossil ooze,with bioclasts,nannofossil ooze with bioclasts,,,10YR 8.5/1 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze with bioclasts,,,,371,U1510,A,16,H,1,A,,,,
371-U1510A-16H-2-A,0,150,139.5,141,,,,,,nannofossil ooze,with bioclasts,nannofossil ooze with bioclasts,,,10YR 8.5/1 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze with bioclasts,,,,371,U1510,A,16,H,2,A,,,,
371-U1510A-16H-3-A,0,150,141,142.5,,,,,,nannofossil ooze,with bioclasts,nannofossil ooze with bioclasts,,,10YR 8.5/1 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze with bioclasts,,,,371,U1510,A,16,H,3,A,,,,
371-U1510A-16H-4-A,0,150,142.5,144,,,,,,nannofossil ooze,with bioclasts,nannofossil ooze with bioclasts,,,10YR 8.5/1 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze with bioclasts,,,,371,U1510,A,16,H,4,A,,,,
371-U1510A-16H-5-A,0,150,144,145.5,,,,,,nannofossil ooze,with bioclasts,nannofossil ooze with bioclasts,,,10YR 8.5/1 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze with bioclasts,,,,371,U1510,A,16,H,5,A,,,,
371-U1510A-16H-6-A,0,140,145.5,146.9,,,,,,nannofossil ooze,with bioclasts,nannofossil ooze with bioclasts,,,10YR 8.5/1 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze with bioclasts,,,,371,U1510,A,16,H,6,A,,,,
371-U1510A-16H-7-A,0,74,147,147.74,,,,,,nannofossil ooze,with bioclasts,nannofossil ooze with bioclasts,,,10YR 8.5/1 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze with bioclasts,,,,371,U1510,A,16,H,7,A,,,,
371-U1510A-16H-CC-A,0,10,147.74,147.84,,,,,,nannofossil ooze,with bioclasts,nannofossil ooze with bioclasts,,,10YR 8.5/1 (white),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,nannofossil ooze,nannofossil ooze with bioclasts,,,,371,U1510,A,16,H,CC,A,,,,
371-U1510A-17H-1-A,0,19,147.5,147.69,,,,,cherty,limestone [USGS],,cherty limestone,,,5Y 7/1 (light gray),,,,,,fine sand [W22_2],4,,,,,"Fall-in drilling breccia consisting predominantly of cherty limestone, but also sulfides, dark (volcanic?) grains and glauconite (?)",,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,17,H,1,A,,,,
371-U1510A-18X-CC-A,0,20,150.5,150.7,,,,,cherty,limestone [USGS],,cherty limestone,,,5Y 7/1 (light gray),,,,,,fine sand [W22_2],4,,,,,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,18,X,CC,A,,,,
371-U1510A-19X-CC-A,0,28,157.5,157.78,,,,,cherty,limestone [USGS],,cherty limestone,,,5Y 7/1 (light gray),,,,,,fine sand [W22_2],4,,,slight [B06],2,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,19,X,CC,A,,,,
371-U1510A-20X-1-A,0,85,167.1,167.95,,,,,clayey,nannofossil chalk,with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,5Y 7/1 (light gray),,,,,,very fine sand [W22_2],3,,,absent,0,,sharp boundary or contact,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,20,X,1,A,,,,
371-U1510A-20X-1-A,85,120,167.95,168.3,,,,,cherty,limestone [USGS],,cherty limestone,,,5Y 6/2 (light olive gray),,,,,,fine sand [W22_2],4,,,absent,0,presence of spicules and foraminifers,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,20,X,1,A,,,,
371-U1510A-20X-2-A,0,62,168.3,168.92,,,,,clayey,nannofossil chalk,with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,5Y 7/1 (light gray),,,,,,very fine sand [W22_2],3,,,absent,0,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,20,X,2,A,,,,
371-U1510A-20X-3-A,0,65,169.02,169.67,,,,,clayey,nannofossil chalk,with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,5Y 7/1 (light gray),,,,,,very fine sand [W22_2],3,,,absent,0,several-cm thick of cherty limestone pieces at ~24cm,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,20,X,3,A,,,,
371-U1510A-20X-CC-A,0,17,169.67,169.84,,,,,clayey,nannofossil chalk,with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,5Y 7/1 (light gray),,,,,,very fine sand [W22_2],3,,,absent,0,,sharp boundary or contact,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,20,X,CC,A,,,,
371-U1510A-20X-CC-A,17,23,169.84,169.9,,,,,cherty,limestone [USGS],,cherty limestone,,,5Y 6/2 (light olive gray),,,,,,fine sand [W22_2],4,,,absent,0,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,20,X,CC,A,,,,
371-U1510A-21X-1-A,0,15,176.6,176.75,,,,,cherty,limestone [USGS],,cherty limestone,,,5Y 6/2 (light olive gray),,,,,,fine sand [W22_2],4,,,absent,0,Likely fall-in.,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,21,X,1,A,,,,
371-U1510A-21X-1-A,15,36,176.75,176.96,,,,,clayey,nannofossil chalk,with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,5Y 7/1 (light gray),,,,,,very fine sand [W22_2],3,,,absent,0,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,21,X,1,A,,,,
371-U1510A-21X-1-A,36,40,176.96,177,,,,,cherty,limestone [USGS],,cherty limestone,,,5Y 6/2 (light olive gray),,,,,,fine sand [W22_2],4,,,absent,0,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,21,X,1,A,,,,
371-U1510A-21X-1-A,40,141,177,178.01,,,,,clayey,nannofossil chalk,with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,5Y 7/1 (light gray),,,,,,very fine sand [W22_2],3,,,absent,0,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,21,X,1,A,,,,
371-U1510A-21X-2-A,0,46,178.11,178.57,,,,,clayey,nannofossil chalk,with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,5Y 7/1 (light gray),,,,,,very fine sand [W22_2],3,,,absent,0,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,21,X,2,A,,,,
371-U1510A-21X-2-A,46,51,178.57,178.62,,,,,cherty,limestone [USGS],,cherty limestone,,,5Y 6/2 (light olive gray),,,,,,fine sand [W22_2],4,,,absent,0,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,21,X,2,A,,,,
371-U1510A-21X-2-A,51,150,178.62,179.61,,,,,clayey,nannofossil chalk,with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,5Y 7/1 (light gray),,,,,,very fine sand [W22_2],3,,,absent,0,~1cm chert interval at 105 cm.,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,21,X,2,A,,,,
371-U1510A-21X-3-A,0,88,179.61,180.49,,,,,clayey,nannofossil chalk,with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,5Y 7/1 (light gray),,,,,,very fine sand [W22_2],3,,,absent,0,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,21,X,3,A,,,,
371-U1510A-21X-CC-A,0,26,180.49,180.75,,,,,clayey,nannofossil chalk,with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,5Y 7/1 (light gray),,,,,,very fine sand [W22_2],3,,,absent,0,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,21,X,CC,A,,,,
371-U1510A-22X-1-A,0,8,186.2,186.28,,,,,cherty,limestone [USGS],,cherty limestone,,,5Y 6/2 (light olive gray),,,,,,clay [W22_1],1,,,absent,0,Fall in drilling disturbance,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,22,X,1,A,,,,
371-U1510A-22X-1-A,8,60,186.28,186.8,,,,,clayey,nannofossil chalk,with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,absent,0,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,22,X,1,A,,,,
371-U1510A-22X-CC-A,0,9,186.8,186.89,,,,,cherty,limestone [USGS],,cherty limestone,,,5Y 6/2 (light olive gray),,,,,,clay [W22_1],1,,,absent,0,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,22,X,CC,A,,,,
371-U1510A-24X-1-A,0,72,205.5,206.22,,,,,,nannofossil chalk,with bioclasts,nannofossil chalk with bioclasts,silicate minerals,,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,"Between 11-15 cm, possible shell debris and mm-sized undifferentiated bioclasts",,,,,,,,,,nannofossil chalk,nannofossil chalk with bioclasts,,,,371,U1510,A,24,X,1,A,,,,
371-U1510A-24X-1-A,72,76,206.22,206.26,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,slight [B06],2,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,24,X,1,A,,,,
371-U1510A-24X-1-A,76,150,206.26,207,,,,,,nannofossil chalk,with bioclasts,nannofossil chalk with bioclasts,silicate minerals,,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,nodule,,slight [B06],2,Cherty nodules between 137-150 cm,,,,,,,,,,nannofossil chalk,nannofossil chalk with bioclasts,,,,371,U1510,A,24,X,1,A,,,,
371-U1510A-24X-2-A,0,25,207,207.25,,,,,,nannofossil chalk,with bioclasts,nannofossil chalk with bioclasts,silicate minerals,,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil chalk,nannofossil chalk with bioclasts,,,,371,U1510,A,24,X,2,A,,,,
371-U1510A-24X-2-A,25,29,207.25,207.29,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,slight [B06],2,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,24,X,2,A,,,,
371-U1510A-24X-2-A,29,82,207.29,207.82,,,,,,nannofossil chalk,with bioclasts,nannofossil chalk with bioclasts,silicate minerals,,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil chalk,nannofossil chalk with bioclasts,,,,371,U1510,A,24,X,2,A,,,,
371-U1510A-24X-2-A,82,86,207.82,207.86,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,slight [B06],2,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,24,X,2,A,,,,
371-U1510A-24X-2-A,86,118,207.86,208.18,,,,,,nannofossil chalk,with bioclasts,nannofossil chalk with bioclasts,silicate minerals,,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil chalk,nannofossil chalk with bioclasts,,,,371,U1510,A,24,X,2,A,,,,
371-U1510A-24X-2-A,118,123,208.18,208.23,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,slight [B06],2,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,24,X,2,A,,,,
371-U1510A-24X-3-A,0,78,208.33,209.11,,,,,,nannofossil chalk,with bioclasts,nannofossil chalk with bioclasts,silicate minerals,,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,nodule,,slight [B06],2,Cherty nodules between 20-22 and 57-61 cm,,,,,,,,,,nannofossil chalk,nannofossil chalk with bioclasts,,,,371,U1510,A,24,X,3,A,,,,
371-U1510A-24X-CC-A,0,11,209.11,209.22,,,,,,nannofossil chalk,with bioclasts,nannofossil chalk with bioclasts,silicate minerals,,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil chalk,nannofossil chalk with bioclasts,,,,371,U1510,A,24,X,CC,A,,,,
371-U1510A-26X-1-A,0,10,224.6,224.7,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,slight [B06],2,fall in drilling disturbance.,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,26,X,1,A,,,,
371-U1510A-26X-1-A,10,97,224.7,225.57,,,,,foraminiferal,nannofossil chalk,with clay [2014],foraminiferal nannofossil chalk with clay,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,heavily biscuited,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk with clay,,,,371,U1510,A,26,X,1,A,,,,
371-U1510A-26X-1-A,97,99,225.57,225.59,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,slight [B06],2,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,26,X,1,A,,,,
371-U1510A-26X-2-A,0,5,225.59,225.64,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,slight [B06],2,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,26,X,2,A,,,,
371-U1510A-26X-2-A,5,72,225.64,226.31,,,,,foraminiferal,nannofossil chalk,with clay [2014],foraminiferal nannofossil chalk with clay,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk with clay,,,,371,U1510,A,26,X,2,A,,,,
371-U1510A-26X-CC-A,0,18,226.31,226.49,,,,,foraminiferal,nannofossil chalk,with clay [2014],foraminiferal nannofossil chalk with clay,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,heavily biscuited,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk with clay,,,,371,U1510,A,26,X,CC,A,,,,
371-U1510A-27X-1-A,0,8,234.2,234.28,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,slight [B06],2,fall in drilling disturbance.,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,27,X,1,A,,,,
371-U1510A-27X-1-A,8,19,234.28,234.39,,,,,foraminiferal,nannofossil chalk,with clay [2014],foraminiferal nannofossil chalk with clay,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk with clay,,,,371,U1510,A,27,X,1,A,,,,
371-U1510A-27X-1-A,19,22,234.39,234.42,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,slight [B06],2,This cherty limestone varies in color from gray to light gray.,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,27,X,1,A,,,,
371-U1510A-27X-1-A,22,35,234.42,234.55,,,,,foraminiferal,nannofossil chalk,with clay [2014],foraminiferal nannofossil chalk with clay,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk with clay,,,,371,U1510,A,27,X,1,A,,,,
371-U1510A-27X-1-A,35,38,234.55,234.58,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,slight [B06],2,This cherty limestone varies in color from gray to light gray.,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,27,X,1,A,,,,
371-U1510A-27X-1-A,38,58,234.58,234.78,,,,,foraminiferal,nannofossil chalk,with clay [2014],foraminiferal nannofossil chalk with clay,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk with clay,,,,371,U1510,A,27,X,1,A,,,,
371-U1510A-27X-1-A,58,66,234.78,234.86,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,slight [B06],2,This cherty limestone varies in color from gray to light gray.,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,27,X,1,A,,,,
371-U1510A-28X-CC-A,0,16,243.7,243.86,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,slight [B06],2,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,28,X,CC,A,,,,
371-U1510A-29X-1-A,0,14,253.3,253.44,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,slight [B06],2,fall in drilling disturbance.,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,29,X,1,A,,,,
371-U1510A-29X-1-A,14,44,253.44,253.74,,,,,,nannofossil chalk,with foraminifers [2014],nannofossil chalk with foraminifers,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,29,X,1,A,,,,
371-U1510A-29X-1-A,44,57,253.74,253.87,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,slight [B06],2,Zoophycos burrow,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,29,X,1,A,,,,
371-U1510A-29X-1-A,57,66,253.87,253.96,,,,,,nannofossil chalk,with foraminifers [2014],nannofossil chalk with foraminifers,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,29,X,1,A,,,,
371-U1510A-29X-2-A,0,21,254.06,254.27,,,,,,nannofossil chalk,with foraminifers [2014],nannofossil chalk with foraminifers,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,29,X,2,A,,,,
371-U1510A-29X-2-A,21,29,254.27,254.35,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,slight [B06],2,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,29,X,2,A,,,,
371-U1510A-29X-2-A,29,76,254.35,254.82,,,,,,nannofossil chalk,with foraminifers [2014],nannofossil chalk with foraminifers,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,nodule,,slight [B06],2,Chert nodules at 70-72cm,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,29,X,2,A,,,,
371-U1510A-29X-CC-A,0,8,254.82,254.9,,,,,,nannofossil chalk,with foraminifers [2014],nannofossil chalk with foraminifers,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,29,X,CC,A,,,,
371-U1510A-29X-CC-A,8,15,254.9,254.97,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,slight [B06],2,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,29,X,CC,A,,,,
371-U1510A-29X-CC-A,15,26,254.97,255.08,,,,,,nannofossil chalk,with foraminifers [2014],nannofossil chalk with foraminifers,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,29,X,CC,A,,,,
371-U1510A-30X-CC-A,0,13,262.9,263.03,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,slight [B06],2,Brecciated core,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,30,X,CC,A,,,,
371-U1510A-31X-1-A,0,51,272.5,273.01,,,,,,nannofossil chalk,with foraminifers [2014],nannofossil chalk with foraminifers,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,31,X,1,A,,,,
371-U1510A-31X-1-A,51,54,273.01,273.04,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,moderate [B06],3,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,31,X,1,A,,,,
371-U1510A-31X-1-A,54,111,273.04,273.61,,,,,,nannofossil chalk,with foraminifers [2014],nannofossil chalk with foraminifers,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,31,X,1,A,,,,
371-U1510A-31X-1-A,111,114,273.61,273.64,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,moderate [B06],3,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,31,X,1,A,,,,
371-U1510A-31X-2-A,0,59,273.64,274.23,,,,,,nannofossil chalk,with foraminifers [2014],nannofossil chalk with foraminifers,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,31,X,2,A,,,,
371-U1510A-31X-2-A,59,66,274.23,274.3,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,moderate [B06],3,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,31,X,2,A,,,,
371-U1510A-31X-2-A,66,88,274.3,274.52,,,,,,nannofossil chalk,with foraminifers [2014],nannofossil chalk with foraminifers,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,31,X,2,A,,,,
371-U1510A-31X-2-A,88,96,274.52,274.6,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,moderate [B06],3,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,31,X,2,A,,,,
371-U1510A-31X-2-A,96,140,274.6,275.04,,,,,,nannofossil chalk,with foraminifers [2014],nannofossil chalk with foraminifers,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,31,X,2,A,,,,
371-U1510A-31X-CC-A,0,11,275.04,275.15,,,,,,nannofossil chalk,with foraminifers [2014],nannofossil chalk with foraminifers,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,31,X,CC,A,,,,
371-U1510A-31X-CC-A,11,19,275.15,275.23,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,moderate [B06],3,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,31,X,CC,A,,,,
371-U1510A-32X-1-A,0,16,282.2,282.36,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,moderate [B06],3,fall in drilling disturbance.,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,32,X,1,A,,,,
371-U1510A-32X-1-A,16,76,282.36,282.96,,,,,,nannofossil chalk,with foraminifers [2014],nannofossil chalk with foraminifers,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,32,X,1,A,,,,
371-U1510A-33X-1-A,0,17,291.8,291.97,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,moderate [B06],3,fall in drilling disturbance.,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,33,X,1,A,,,,
371-U1510A-33X-1-A,17,40,291.97,292.2,,,,,,nannofossil chalk,with foraminifers [2014],nannofossil chalk with foraminifers,silicate minerals,bioclasts,2.5y 7/1 (light gray),,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1510,A,33,X,1,A,,,,
371-U1510A-33X-1-A,40,50,292.2,292.3,,,,,cherty,limestone [USGS],,cherty limestone,,,2.5Y 6/1 (gray),,,,,,clay [W22_1],1,,,moderate [B06],3,,,,,,,,,,,cherty limestone,limestone,,,,371,U1510,A,33,X,1,A,,,,
