Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
353-U1447C-18H-3-A,87,88.5,154.13,154.145,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,3,A,
353-U1447C-18H-3-A,88.5,132.5,154.145,154.585,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,3,A,
353-U1447C-18H-3-A,132.5,133.5,154.585,154.595,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,3,A,
353-U1447C-18H-3-A,133.5,141,154.595,154.67,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,3,A,
353-U1447C-18H-4-A,0,34,154.67,155.01,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,4,A,
353-U1447C-18H-4-A,34,34.5,155.01,155.015,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,4,A,
353-U1447C-18H-4-A,34.5,70,155.015,155.37,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,4,A,
353-U1447C-18H-4-A,70,72,155.37,155.39,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,4,A,
353-U1447C-18H-4-A,72,79,155.39,155.46,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,4,A,
353-U1447C-18H-4-A,79,80.5,155.46,155.475,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,4,A,
353-U1447C-18H-4-A,80.5,100,155.475,155.67,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,4,A,
353-U1447C-18H-4-A,100,104.5,155.67,155.715,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,4,A,
353-U1447C-18H-4-A,104.5,116.5,155.715,155.835,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,4,A,
353-U1447C-18H-4-A,116.5,118,155.835,155.85,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,4,A,
353-U1447C-18H-4-A,118,136,155.85,156.03,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,4,A,
353-U1447C-18H-4-A,136,142,156.03,156.09,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,4,A,
353-U1447C-18H-5-A,0,3,156.09,156.12,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,5,A,
353-U1447C-18H-5-A,3,16,156.12,156.25,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,5,A,
353-U1447C-18H-5-A,16,22.5,156.25,156.315,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,5,A,
353-U1447C-18H-5-A,22.5,38,156.315,156.47,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,5,A,
353-U1447C-18H-5-A,38,60,156.47,156.69,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,medium bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,5,A,
353-U1447C-18H-5-A,60,77,156.69,156.86,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,5,A,
353-U1447C-18H-5-A,77,80,156.86,156.89,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,5,A,
353-U1447C-18H-5-A,80,112.5,156.89,157.215,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,5,A,
353-U1447C-18H-5-A,112.5,113,157.215,157.22,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,5,A,
353-U1447C-18H-5-A,113,141,157.22,157.5,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,5,A,
353-U1447C-18H-6-A,0,31,157.5,157.81,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,6,A,
353-U1447C-18H-6-A,31,33,157.81,157.83,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,6,A,
353-U1447C-18H-6-A,33,44,157.83,157.94,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,6,A,
353-U1447C-18H-6-A,44,48,157.94,157.98,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,6,A,
353-U1447C-18H-6-A,48,69,157.98,158.19,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,6,A,
353-U1447C-18H-6-A,69,70,158.19,158.2,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,6,A,
353-U1447C-18H-6-A,70,95.5,158.2,158.455,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,6,A,
353-U1447C-18H-6-A,95.5,96.5,158.455,158.465,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,6,A,
353-U1447C-18H-6-A,96.5,145,158.465,158.95,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Light gray sandy blebs between 106 and 108 cm.,,,,353,U1447,C,18,H,6,A,
353-U1447C-18H-7-A,0,7,158.95,159.02,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,7,A,
353-U1447C-18H-7-A,7,9,159.02,159.04,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,7,A,
353-U1447C-18H-7-A,9,18,159.04,159.13,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,7,A,
353-U1447C-18H-7-A,18,19,159.13,159.14,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,7,A,
353-U1447C-18H-7-A,19,44,159.14,159.39,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,7,A,
353-U1447C-18H-7-A,44,46,159.39,159.41,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,7,A,
353-U1447C-18H-7-A,46,98,159.41,159.93,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,7,A,
353-U1447C-18H-7-A,98,99,159.93,159.94,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,7,A,
353-U1447C-18H-7-A,99,130,159.94,160.25,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,7,A,
353-U1447C-18H-7-A,130,131,160.25,160.26,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,7,A,
353-U1447C-18H-7-A,131,146,160.26,160.41,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,7,A,
353-U1447C-18H-8-A,0,14.5,160.41,160.555,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,8,A,
353-U1447C-18H-8-A,14.5,16,160.555,160.57,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,8,A,
353-U1447C-18H-8-A,16,56,160.57,160.97,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,8,A,
353-U1447C-18H-8-A,56,57,160.97,160.98,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,8,A,
353-U1447C-18H-8-A,57,91.5,160.98,161.325,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,8,A,
353-U1447C-18H-8-A,91.5,92.5,161.325,161.335,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,8,A,
353-U1447C-18H-8-A,92.5,98,161.335,161.39,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1447,C,18,H,8,A,
353-U1447C-18H-8-A,98,106,161.39,161.47,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),,,,medium bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,8,A,
353-U1447C-18H-CC-A,0,18,161.47,161.65,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,light gray,2.5Y 7/2 (light gray),,,,medium bed,normally graded,,,,,Turbidite,,,,,,,353,U1447,C,18,H,CC,A,
