Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
359-U1472A-24F-1-A,0,85,200.2,201.05,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/1 (gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,,,,,,CAVE-IN. Unlithified planktic foraminifera-rich PACKSTONE to RUDSTONE. Medium- to coarse-grained. Planktic foraminifera are abundant. Benthic foraminifera are present.,,,,359,U1472,A,24,F,1,A,,,,
359-U1472A-25F-1-A,0,71,204.9,205.61,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,,,,,,CAVE-IN. Unlithified planktic foraminifera-rich PACKSTONE to RUDSTONE. Medium- to coarse-grained. Planktic foraminifera are abundant. Benthic foraminifera are present.,,,,359,U1472,A,25,F,1,A,,,,
359-U1472A-25F-CC-A,0,7,205.61,205.68,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,,,,,,CAVE-IN. Unlithified planktic foraminifera-rich PACKSTONE to RUDSTONE. Medium- to coarse-grained. Planktic foraminifera are abundant. Benthic foraminifera are present.,,,,359,U1472,A,25,F,CC,A,,,,
359-U1472A-26F-1-A,0,8,209.6,209.68,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,,,,,,CAVE-IN. Unlithified planktic foraminifera-rich PACKSTONE to RUDSTONE. Medium- to coarse-grained. Planktic foraminifera are abundant. Benthic foraminifera are present.,,,,359,U1472,A,26,F,1,A,,,,
359-U1472A-26F-1-A,8,88,209.68,210.48,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 7/1 (light gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,slight,2.0,,sharp,horizontal,Unlithified planktic foraminifera-rich PACKSTONE. Coarse-grained. Planktic foraminifera are abundant. Benthic foraminifera are present. Aggregate grains are abundant.,,,,359,U1472,A,26,F,1,A,,,,
359-U1472A-26F-1-A,88,105,210.48,210.65,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,sharp,horizontal,Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained. Planktic foraminifera are abundant. Benthic foraminifera. Moderately- to poorly-sorted.,,,,359,U1472,A,26,F,1,A,,,,
359-U1472A-26F-1-A,105,128,210.65,210.88,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,partially lithified,3,2.5Y 7/2 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,slight,2.0,,sharp,horizontal,Partially lithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera are present.,,,,359,U1472,A,26,F,1,A,,,,
359-U1472A-26F-1-A,128,150,210.88,211.1,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5Y 8/1 (white),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,slight,2.0,,,,Partially lithified planktic foraminifera-rich PACKSTONE. Coarse-grained. Planktic foraminifera are abundant. Benthic foraminifera are present. Aggregate grains are abundant.,,,,359,U1472,A,26,F,1,A,,,,
359-U1472A-26F-2-A,0,98,211.1,212.08,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5Y 8/1 (white),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,slight,2.0,,sharp,horizontal,Partially lithified planktic foraminifera-rich PACKSTONE. Coarse-grained. Planktic foraminifera are abundant. Benthic foraminifera are present. Aggregate grains are abundant.,,,,359,U1472,A,26,F,2,A,,,,
359-U1472A-26F-2-A,98,138,212.08,212.48,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,gradational,horizontal,Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained. Planktic foraminifera are abundant. Benthic foraminifera. Moderately- to poorly-sorted.,,,,359,U1472,A,26,F,2,A,,,,
359-U1472A-26F-2-A,138,140,212.48,212.5,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5Y 8/1 (white),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,slight,2.0,,gradational,horizontal,Partially lithified planktic foraminifera-rich PACKSTONE. Coarse-grained. Planktic foraminifera are abundant. Benthic foraminifera are present. Aggregate grains are abundant.,,,,359,U1472,A,26,F,2,A,,,,
