Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data,Extra Sample ID Data
342-U1403B-11H-2-A,342,U1403,B,11,11-2,H,2,A,66,74,84.56,84.64,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10GY 7/1 (light greenish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-11H-2-A,342,U1403,B,11,11-2,H,2,A,74,81,84.64,84.71,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-11H-2-A,342,U1403,B,11,11-2,H,2,A,81,141,84.71,85.31,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10GY 7/1 (light greenish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-11H-2-A,342,U1403,B,11,11-2,H,2,A,93,122,84.83,85.12,,,,,,,,,,,fracture,"Fracture with dark infill material and within the light green color, presumably related as a reducing halo. Dark infill material is radiolarian ooze.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403B-11H-2-A,342,U1403,B,11,11-2,H,2,A,141,150,85.31,85.4,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-11H-3-A,342,U1403,B,11,11-3,H,3,A,0,113,85.4,86.53,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-11H-3-A,342,U1403,B,11,11-3,H,3,A,113,121,86.53,86.61,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10GY 7/1 (light greenish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-11H-3-A,342,U1403,B,11,11-3,H,3,A,121,126,86.61,86.66,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-11H-3-A,342,U1403,B,11,11-3,H,3,A,126,136,86.66,86.76,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10GY 7/1 (light greenish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
342-U1403B-11H-3-A,342,U1403,B,11,11-3,H,3,A,136,151,86.76,86.91,radiolarian [Leg339],clay [Leg339],,radiolarian  clay ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiolarian   clay ,clay ,,,,,,,
