Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
354-U1449A-23F-4-A,0,60,122.2,122.8,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,,,,,,,,,,"original main lithology is clay, silt is a flow in disturbance",,,,354,U1449,A,23,F,4,A,,,,
354-U1449A-23F-CC-A,0,29,122.8,123.09,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,,,,,,,,,,"original main lithology is clay, silt is a flow in disturbance",,,,354,U1449,A,23,F,CC,A,,,,
354-U1449A-24F-1-A,0,150,122.8,124.3,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,medium bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1449,A,24,F,1,A,,,,
354-U1449A-24F-2-A,0,101,124.3,125.31,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,medium bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1449,A,24,F,2,A,,,,
354-U1449A-24F-2-A,101,140,125.31,125.7,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,,,,,,,,,354,U1449,A,24,F,2,A,,,,
354-U1449A-24F-2-A,140,150,125.7,125.8,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,,,,,,,,,,,,,,,,,354,U1449,A,24,F,2,A,,,,
354-U1449A-24F-3-A,0,110,125.8,126.9,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,,,,,,,,,354,U1449,A,24,F,3,A,,,,
354-U1449A-24F-4-A,0,64,126.9,127.54,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,,,,,,,,,354,U1449,A,24,F,4,A,,,,
354-U1449A-24F-CC-A,0,29,127.54,127.83,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,,,,,,,,,354,U1449,A,24,F,CC,A,,,,
354-U1449A-25F-1-A,0,150,127.5,129,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,medium bed [B01],silt [Leg210],lamina [M&W53],,,,Medium thick beds consist of packets of silty lamina couplets.,,,,,,,354,U1449,A,25,F,1,A,,,,
354-U1449A-25F-2-A,0,111,129,130.11,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,gradational,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1449,A,25,F,2,A,,,,
354-U1449A-25F-2-A,111,150,130.11,130.5,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1449,A,25,F,2,A,,,,
354-U1449A-25F-3-A,0,110,130.5,131.6,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1449,A,25,F,3,A,,,,
354-U1449A-25F-4-A,0,64,131.6,132.24,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,,,,,Probably silty interbedding disturbed by drilling.,,,,354,U1449,A,25,F,4,A,,,,
354-U1449A-25F-CC-A,0,30,132.24,132.54,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,,,,,Probably silty interbedding disturbed by drilling.,,,,354,U1449,A,25,F,CC,A,,,,
354-U1449A-26F-1-A,0,150,132.2,133.7,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1449,A,26,F,1,A,,,,
354-U1449A-26F-2-A,0,138,133.7,135.08,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1449,A,26,F,2,A,,,,
354-U1449A-26F-3-A,0,120,135.08,136.28,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1449,A,26,F,3,A,,,,
354-U1449A-26F-4-A,0,66,136.28,136.94,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1449,A,26,F,4,A,,,,
354-U1449A-26F-CC-A,0,15,136.94,137.09,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,,,,,,,,,,,,,,354,U1449,A,26,F,CC,A,,,,
354-U1449A-27F-1-A,0,150,136.9,138.4,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,sub-horizontal,thick bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1449,A,27,F,1,A,,,,
354-U1449A-27F-2-A,0,50,138.4,138.9,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp irregular,sub-horizontal,medium bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1449,A,27,F,2,A,,,,
354-U1449A-27F-2-A,50,150,138.9,139.9,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,sub-horizontal,,,,,,,,,,all disturbed by drilling,,,,354,U1449,A,27,F,2,A,,,,
354-U1449A-27F-3-A,0,110,139.9,141,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,all disturbed by drilling,,,,354,U1449,A,27,F,3,A,,,,
354-U1449A-27F-4-A,0,63,141,141.63,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,all disturbed by drilling,,,,354,U1449,A,27,F,4,A,,,,
354-U1449A-28F-1-A,0,150,141.6,143.1,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,medium bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1449,A,28,F,1,A,,,,
354-U1449A-28F-2-A,0,137,143.1,144.47,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,medium bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1449,A,28,F,2,A,,,,
354-U1449A-28F-2-A,137,150,144.47,144.6,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,,,,,,,,,,,,,,,,,354,U1449,A,28,F,2,A,,,,
354-U1449A-28F-3-A,0,110,144.6,145.7,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1449,A,28,F,3,A,,,,
354-U1449A-28F-4-A,0,51,145.7,146.21,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1449,A,28,F,4,A,,,,
354-U1449A-28F-CC-A,0,17,146.21,146.38,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1449,A,28,F,CC,A,,,,
354-U1449A-29F-1-A,0,150,146.3,147.8,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],very thin bed [B01],T,,,,,,,,,,354,U1449,A,29,F,1,A,,,,
354-U1449A-29F-2-A,0,17,147.8,147.97,,,silt [Leg210],with mica,silt,silt with mica,silt with mica,,dark gray,sharp planar,horizontal,thin bed [B01],clay [Leg210],very thin bed [B01],T,,,,,,,,,,354,U1449,A,29,F,2,A,,,,
354-U1449A-29F-2-A,17,128,147.97,149.08,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T?,,,,,,,,,,354,U1449,A,29,F,2,A,,,,
354-U1449A-29F-3-A,0,111,149.08,150.19,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T?,,,,,,,,,,354,U1449,A,29,F,3,A,,,,
354-U1449A-29F-4-A,0,49,150.19,150.68,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T?,,,,,,,,,,354,U1449,A,29,F,4,A,,,,
354-U1449A-29F-CC-A,0,19,150.68,150.87,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T?,,,,,,,,,,354,U1449,A,29,F,CC,A,,,,
354-U1449A-30F-1-A,0,135,151,152.35,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,30,F,1,A,,,,
354-U1449A-30F-CC-A,0,20,152.35,152.55,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,30,F,CC,A,,,,
354-U1449A-31F-1-A,0,141,152.5,153.91,,,sand [Leg210],with mica,sand,sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,31,F,1,A,,,,
354-U1449A-31F-2-A,0,140,153.91,155.31,,,sand [Leg210],with mica,sand,sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,31,F,2,A,,,,
354-U1449A-31F-3-A,0,110,155.31,156.41,,,sand [Leg210],with mica,sand,sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,31,F,3,A,,,,
354-U1449A-31F-CC-A,0,21,156.41,156.62,,,sand [Leg210],with mica,sand,sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,31,F,CC,A,,,,
354-U1449A-33X,0,27,166.2,166.47,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1449,A,33,X,,,,,,
354-U1449A-34X-1-A,0,30,175.9,176.2,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1449,A,34,X,1,A,,,,
354-U1449A-34X-CC-A,0,38,176.23,176.61,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1449,A,34,X,CC,A,,,,
354-U1449A-37F-1-A,0,149,205,206.49,,,sand [Leg210],with mica,sand,sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,37,F,1,A,,,,
354-U1449A-37F-2-A,0,150,206.49,207.99,,,sand [Leg210],with mica,sand,sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,37,F,2,A,,,,
354-U1449A-37F-3-A,0,124,207.99,209.23,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,37,F,3,A,,,,
354-U1449A-37F-4-A,0,52,209.23,209.75,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,37,F,4,A,,,,
354-U1449A-38H-1-A,0,6,209.7,209.76,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp irregular,horizontal,,,,T,,,,,,,,,,354,U1449,A,38,H,1,A,,,,
354-U1449A-38H-1-A,6,33,209.76,210.03,,,sand [Leg210],with mica,sand,sand with mica,sand with mica,,dark gray,sharp planar,sub-horizontal,,,,T,,,,,,,,,,354,U1449,A,38,H,1,A,,,,
354-U1449A-38H-1-A,33,41,210.03,210.11,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,sub-horizontal,,,,T,,,,,,,,,,354,U1449,A,38,H,1,A,,,,
354-U1449A-38H-1-A,41,46,210.11,210.16,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,sub-horizontal,,,,T,,,,,,,,,,354,U1449,A,38,H,1,A,,,,
354-U1449A-38H-1-A,46,80,210.16,210.5,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,gradational,horizontal,,,,H ?,,mottling [BJ80],,,,mottled clay with calcareous ooze,,,,354,U1449,A,38,H,1,A,,,,
354-U1449A-38H-1-A,80,121,210.5,210.91,,,clay [Leg210],with nannofossils [2014],clay,clay with nannofossils,clay with nannofossils,,dark gray,sharp planar,horizontal,,,,H ?,,mottling [BJ80],,,,,,,,354,U1449,A,38,H,1,A,,,,
354-U1449A-38H-1-A,121,150,210.91,211.2,,,silt [Leg210],with mica,silt,silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,38,H,1,A,,,,
354-U1449A-38H-2-A,0,13,211.2,211.33,,,silt [Leg210],with mica,silt,silt with mica,silt with mica,,dark gray,sharp planar,sub-horizontal,,,,T,,,,,,,,,,354,U1449,A,38,H,2,A,,,,
354-U1449A-38H-2-A,13,135,211.33,212.55,,,clay [Leg210],with nannofossils [2014],clay,clay with nannofossils,clay with nannofossils,,dark gray,sharp planar,sub-horizontal,thin bed [B01],silt [Leg210],very thin bed [B01],T,,mottling [BJ80],,,,,,,,354,U1449,A,38,H,2,A,,,,
354-U1449A-38H-3-A,0,37,212.55,212.92,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],very thin bed [B01],T,,,,,,,,,,354,U1449,A,38,H,3,A,,,,
354-U1449A-38H-3-A,37,99,212.92,213.54,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,38,H,3,A,,,,
