Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1430B-3H-2-A,76.5,77.0,20.065,20.07,,tephra [FS84],,tephra ,pumice,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,3,H,2,A
346-U1430B-3H-2-A,77.0,86.0,20.07,20.16,,silty clay [MMK88],,silty clay ,,,,color banding,5GY 5/1 (greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,silty clay ,silty clay ,70.0,,,,,,,,,,,clayey silt [MMK88],,clayey silt ,clayey silt ,clayey silt ,,30.0,,,,,100.0,,,,,,346,U1430,B,3,H,2,A
346-U1430B-3H-2-A,86.0,92.0,20.16,20.22,,tephra [FS84],,tephra ,pumice,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,3,H,2,A
346-U1430B-3H-2-A,92.0,103.0,20.22,20.33,,silty clay [MMK88],,silty clay ,,,,color banding,5GY 5/1 (greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,silty clay ,silty clay ,70.0,,,,,,,,,,,clayey silt [MMK88],,clayey silt ,clayey silt ,clayey silt ,,30.0,,,,,100.0,,,,,,346,U1430,B,3,H,2,A
346-U1430B-3H-2-A,103.0,104.5,20.33,20.345,,tephra [FS84],,tephra ,pumice,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,3,H,2,A
346-U1430B-3H-2-A,104.5,150.0,20.345,20.8,,silty clay [MMK88],,silty clay ,,,,color banding,5GY 5/1 (greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,silty clay ,silty clay ,70.0,,,,,,,,,,,clayey silt [MMK88],,clayey silt ,clayey silt ,clayey silt ,,30.0,,,,,100.0,,,,,,346,U1430,B,3,H,2,A
346-U1430B-3H-2-A,137.0,150.0,20.67,20.8,,,,,,,,lamination,,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,3,H,2,A
346-U1430B-3H-3-A,0.0,6.5,20.8,20.865,,silty clay [MMK88],,silty clay ,,,,color banding,5GY 5/1 (greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,silty clay ,silty clay ,70.0,,,,,,,,,,,clayey silt [MMK88],,clayey silt ,clayey silt ,clayey silt ,,30.0,,,,,100.0,,,,,,346,U1430,B,3,H,3,A
346-U1430B-3H-3-A,0.0,80.0,20.8,21.6,,,,,,,,lamination,,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,3,H,3,A
346-U1430B-3H-3-A,6.5,7.0,20.865,20.87,,tephra [FS84],,tephra ,pumice,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,3,H,3,A
346-U1430B-3H-3-A,7.0,12.0,20.87,20.92,,silty clay [MMK88],,silty clay ,,,,color banding,5GY 5/1 (greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,silty clay ,silty clay ,70.0,,,,,,,,,,,clayey silt [MMK88],,clayey silt ,clayey silt ,clayey silt ,,30.0,,,,,100.0,,,,,,346,U1430,B,3,H,3,A
346-U1430B-3H-3-A,12.0,16.5,20.92,20.965,,calcareous ooze [Leg339],,calcareous ooze ,,,,color banding,5GY 5/1 (greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,calcareous ooze ,calcareous ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,3,H,3,A
346-U1430B-3H-3-A,16.5,18.0,20.965,20.98,,tephra [FS84],,tephra ,pumice,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,3,H,3,A
346-U1430B-3H-3-A,18.0,23.0,20.98,21.03,,calcareous ooze [Leg339],,calcareous ooze ,,,,color banding,5GY 5/1 (greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,calcareous ooze ,calcareous ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,3,H,3,A
346-U1430B-3H-3-A,23.0,25.0,21.03,21.05,,tephra [FS84],,tephra ,scoria,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,3,H,3,A
346-U1430B-3H-3-A,25.0,39.0,21.05,21.19,,calcareous ooze [Leg339],,calcareous ooze ,,,,color banding,5GY 5/1 (greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,calcareous ooze ,calcareous ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,3,H,3,A
346-U1430B-3H-3-A,39.0,50.0,21.19,21.3,,nannofossil ooze [Leg339],,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,3,H,3,A
