Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Minor Lithology Name
363-U1484A-4H-7-A,101,142.0,32.34,32.75,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks,,,,,,,,,,,,,363,U1484,A,4,H,7,A,,,,
363-U1484A-4H-8-A,0,72.0,32.75,33.47,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks,,,,,,,,,,,,,363,U1484,A,4,H,8,A,,,,
363-U1484A-4H-8-A,72,92.0,33.47,33.67,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,N 4 (dark gray),moderate [DB86],,,,,,sand; disturbed; gas exapansion,,,,,,,,,,,,,363,U1484,A,4,H,8,A,,,,
363-U1484A-4H-8-A,92,111.0,33.67,33.86,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks,,,,,,,,,,,,,363,U1484,A,4,H,8,A,,,,
363-U1484A-4H-CC-A,0,49.0,33.86,34.35,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks; sand layer: 35-37 cm,,,,,,,,,,,,,363,U1484,A,4,H,CC,A,,,,
363-U1484A-5H-1-A,0,80.0,33.5,34.3,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1484,A,5,H,1,A,,,,
363-U1484A-5H-1-A,80,88.0,34.3,34.38,,sand [Leg210],sand,,N 4 (dark gray),moderate [DB86],,,,,,sand,,,,,,,,,,,,,363,U1484,A,5,H,1,A,,,,
363-U1484A-5H-1-A,88,95.0,34.38,34.45,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks,,,,,,,,,,,,,363,U1484,A,5,H,1,A,,,,
363-U1484A-5H-2-A,0,4.0,34.45,34.49,,sand [Leg210],sand,,N 4 (dark gray),moderate [DB86],,,,,,sand,,,,,,,,,,,,,363,U1484,A,5,H,2,A,,,,
363-U1484A-5H-2-A,4,52.0,34.49,34.97,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1484,A,5,H,2,A,,,,
363-U1484A-5H-2-A,52,62.0,34.97,35.07,,sand [Leg210],sand,,N 4 (dark gray),moderate [DB86],,,,,,sand,,,,,,,,,,,,,363,U1484,A,5,H,2,A,,,,
363-U1484A-5H-2-A,62,101.0,35.07,35.46,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks,,,,,,,,,,,,,363,U1484,A,5,H,2,A,,,,
363-U1484A-5H-3-A,0,115.0,35.46,36.61,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks,,,,,,,,,,,,,363,U1484,A,5,H,3,A,,,,
363-U1484A-5H-3-A,115,130.0,36.61,36.76,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks; cm-scale sand layers; 36 cm: wood,,,,,,,,,,,,,363,U1484,A,5,H,3,A,,,,
363-U1484A-5H-4-A,0,103.0,36.76,37.79,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks; cm-scale sand layers,,,,,,,,,,,,,363,U1484,A,5,H,4,A,,,,
363-U1484A-5H-4-A,103,121.0,37.79,37.97,,sand [Leg210],sand,reverse grading,N 4 (dark gray),moderate [DB86],,,,,,"sand; sharp, irregular bottom contact",,,,,,,,,,,,,363,U1484,A,5,H,4,A,,,,
363-U1484A-5H-4-A,121,138.0,37.97,38.14,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks; cm-scale sand layers,,,,,,,,,,,,,363,U1484,A,5,H,4,A,,,,
363-U1484A-5H-5-A,0,108.0,38.14,39.22,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks; cm-scale sand layers with normal grading,,,,,,,,,,,,,363,U1484,A,5,H,5,A,,,,
363-U1484A-5H-6-A,0,85.0,39.22,40.07,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks; cm-scale sand layers with normal grading,,,,,,,,,,,,,363,U1484,A,5,H,6,A,,,,
363-U1484A-5H-6-A,85,90.0,40.07,40.12,,sand [Leg210],sand,,N 4 (dark gray),moderate [DB86],,,,,,sand; 4 cm wood fragment in working half,,,,,,,,,,,,,363,U1484,A,5,H,6,A,,,,
363-U1484A-5H-6-A,90,142.0,40.12,40.64,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks; cm-scale sand layers,,,,,,,,,,,,,363,U1484,A,5,H,6,A,,,,
363-U1484A-5H-7-A,0,105.0,40.64,41.69,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks; cm-scale sand layers,,,,,,,,,,,,,363,U1484,A,5,H,7,A,,,,
363-U1484A-5H-7-A,105,114.0,41.69,41.78,,sand [Leg210],sand,,N 4 (dark gray),moderate [DB86],,,,,,sand,,,,,,,,,,,,,363,U1484,A,5,H,7,A,,,,
363-U1484A-5H-7-A,114,135.0,41.78,41.99,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks; cm-scale sand layers,,,,,,,,,,,,,363,U1484,A,5,H,7,A,,,,
363-U1484A-5H-8-A,0,8.0,42.04,42.12,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks; cm-scale sand layers,,,,,,,,,,,,,363,U1484,A,5,H,8,A,,,,
363-U1484A-5H-8-A,8,14.0,42.12,42.18,,sand [Leg210],sand,,N 4 (dark gray),moderate [DB86],,,,,,sand,,,,,,,,,,,,,363,U1484,A,5,H,8,A,,,,
