Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Classification,Lithology Suffix,Complete name,Lithology [%],"Dominant grain size (Wentworth, 1922)",Clastic grain: roundness,Lithification,Lithology comment,Color,Color code,Volcaniclastic grain size name,Volcaniclastic grain minerals,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
324-U1347A-15R-1-A,324,U1347,A,15,15-1,R,1,A,99,126,187.19,187.46,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,indurated,,,,,,,,,
324-U1347A-16R-1-A,324,U1347,A,16,16-1,R,1,A,0,5,194.8,194.85,,Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians,Siltstone with radiolarians,100,silt [U14W22],,moderately indurated,,black,5Y 2.5/1,,,,,,
324-U1347A-16R-6-A,324,U1347,A,16,16-6,R,6,A,0,45,200.83,201.28,,Silty Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Silty Claystone,100,clay [U14W22],,moderately indurated,,black,N 2.5,,,,,,
324-U1347A-16R-6-A,324,U1347,A,16,16-6,R,6,A,45,55,201.28,201.38,radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with volcaniclastics,radiolarian bearing Sandy Siltstone with volcaniclastics,100,coarse silt [U14W22],,moderately indurated,,greenish black,10GY 2.5/1,fine ash [S81],,,,,
324-U1347A-16R-6-A,324,U1347,A,16,16-6,R,6,A,55,72,201.38,201.55,,Silty Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Silty Claystone,100,clay [U14W22],,moderately indurated,,black,5Y 2.5/1,,,,,,
324-U1347A-17R-1-A,324,U1347,A,17,17-1,R,1,A,0,6,204.4,204.46,,Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Claystone,100,clay [U14W22],,indurated,"fragments of claystone (<1-5cm) with some silt, original bedding is lost, hackly fracture.",black,N 2.5,,,,,,
324-U1347A-17R-1-A,324,U1347,A,17,17-1,R,1,A,6,40,204.46,204.8,radiolarian-rich,Sand-Silt-Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988","with carbonate, glauconite and volcaniclastics","radiolarian-rich Sand-Silt-Claystone with carbonate, glauconite and volcaniclastics",100,medium sand [U14W22],subrounded (Default),indurated,"waxy texture, coarser white  grains which appear to be pumice or other silica rich glassy chunks (>1mm in size), some are small vugs with microcrystalline quartz or pyrite,  are large part of interval at 15-20cm. Calcite-cemented with glauconite giving greenish color. Many of the radiolarians appear to have dissolved out and there are white areas which appear to be microcrystalline quartz.",dark greenish gray,10Y 4/1,lapillus [S81],"basalt, scoria, pumice?, glass?",,,,
324-U1347A-17R-1-A,324,U1347,A,17,17-1,R,1,A,40,44,204.8,204.84,,Silty Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Silty Claystone,100,clay [U14W22],,indurated,"waxy texture, very dark, with some suggestion of sandy material as burrow infills(?) in a few places. Irregular boundary with coarser material above and below.",very dark gray,N 3,,,,,,
324-U1347A-17R-1-A,324,U1347,A,17,17-1,R,1,A,44,45.5,204.84,204.855,,Sand-Silt-Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988","with radiolaria, volcaniclastics, glauconite and carbonate","Sand-Silt-Claystone with radiolaria, volcaniclastics, glauconite and carbonate",100,medium sand [U14W22],,indurated,"waxy texture, much like interval from 6 to 40 cm but does not contain the larger clasts of silica and volcaniclastics",dark greenish gray,10Y 4/1,coarse ash [S81],"basalt, glass?",,,,
324-U1347A-17R-1-A,324,U1347,A,17,17-1,R,1,A,45.5,143,204.855,205.83,radiolarian-rich,Clayey Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with volcanic glass,radiolarian-rich Clayey Sandstone with volcanic glass,100,fine sand [U14W22],subrounded (Default),indurated,"waxy texture, contains some carbonate either as microfossils or cements, also has silica cements.",greenish gray,5GY 5/1,fine ash [S81],"volcanic glass, scoria, basalt",,,,
324-U1347A-21R-1-A,324,U1347,A,21,21-1,R,1,A,0.84,17.87,242.708,242.879,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,,,,,,,,,,
324-U1347A-21R-1-A,324,U1347,A,21,21-1,R,1,A,17.83,22.86,242.878,242.929,,chert [MMK88],"Mazullo, Meyer & Kidd, 1988",,chert,100,cryptocrystalline,,well indurated,dropstone form higher up?,brown,7.5YR 4/2,,,,,,
324-U1347A-21R-1-A,324,U1347,A,21,21-1,R,1,A,23.2,54,242.932,243.24,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,,,,,,,,,,
324-U1347A-21R-2-A,324,U1347,A,21,21-2,R,2,A,0,125,243.24,244.49,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,,,,,,,,,,
324-U1347A-21R-3-A,324,U1347,A,21,21-3,R,3,A,0,150,244.49,245.99,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,,,,,,,,,,
324-U1347A-21R-4-A,324,U1347,A,21,21-4,R,4,A,0,126,245.99,247.25,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,,,,,,,,,,
324-U1347A-21R-5-A,324,U1347,A,21,21-5,R,5,A,0,73.74,247.25,247.987,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,,,,,,,,,,
324-U1347A-22R-1-A,324,U1347,A,22,22-1,R,1,A,0.98,146,252.41,253.86,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,well indurated,grey basalt,,,,,,,,
324-U1347A-22R-2-A,324,U1347,A,22,22-2,R,2,A,0,141,253.86,255.27,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,well indurated,grey basalt,,,,,,,,
324-U1347A-22R-3-A,324,U1347,A,22,22-3,R,3,A,0,144.5,255.27,256.715,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,well indurated,grey basalt,,,,,,,,
324-U1347A-22R-4-A,324,U1347,A,22,22-4,R,4,A,0,138.5,256.715,258.1,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,well indurated,grey basalt,,,,,,,,
324-U1347A-22R-5-A,324,U1347,A,22,22-5,R,5,A,0,18.46,258.1,258.285,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,well indurated,grey basalt,,,,,,,,
324-U1347A-22R-5-A,324,U1347,A,22,22-5,R,5,A,18.39,29.46,258.284,258.395,radiolarian-bearing,Silty Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",with volcanoclastics,radiolarian-bearing Silty Claystone with volcanoclastics,100,silt [U14W22],,slightly indurated,"brecciated pieces of gray, siltstone with many radiolarians. ",,,,,,,,
324-U1347A-22R-5-A,324,U1347,A,22,22-5,R,5,A,29.5,39.1,258.395,258.491,,Sandy siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians and volcanoclastics,Sandy siltstone with radiolarians and volcanoclastics,90,silt [U14W22],,slightly indurated,laminated clay and silt bands which are picked out by the greater abundance of radiolarians in the latter. ,,,,,,,,
324-U1347A-22R-5-A,324,U1347,A,22,22-5,R,5,A,29.5,39.1,258.395,258.491,,Silty Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Silty Claystone,10,clay [U14W22],,slightly indurated,,,,,,,,,
324-U1347A-22R-5-A,324,U1347,A,22,22-5,R,5,A,39.06,67.56,258.491,258.776,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,well indurated,Chilled margins on the basalt presumably from contact with the sediments above,,,,,,,,
324-U1347A-22R-5-A,324,U1347,A,22,22-5,R,5,A,67.56,72.55,258.776,258.826,sandy,limestone [MMK88],"Mazullo, Meyer & Kidd, 1988",with volcanoclastics,sandy limestone with volcanoclastics,100,fine sand [U14W22],,well indurated,,,,,,,,,
324-U1347A-22R-5-A,324,U1347,A,22,22-5,R,5,A,72.44,99.81,258.824,259.098,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,well indurated,glassy upper surface on piece just below sediment,,,,,,,,
324-U1347A-24R-4-A,324,U1347,A,24,24-4,R,4,A,0.05,140,275.571,276.97,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,,,,,,,,,,,,,
324-U1347A-24R-5-A,324,U1347,A,24,24-5,R,5,A,0,111,276.97,278.08,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,,,,,,,,,,,,,
324-U1347A-24R-5-A,324,U1347,A,24,24-5,R,5,A,0,111.2,276.97,278.082,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,,,,,,,,,,,,,
324-U1347A-24R-5-A,324,U1347,A,24,24-5,R,5,A,111,118,278.08,278.15,volcaniclastic,sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with glauconite,volcaniclastic sandstone with glauconite,100,fine sand [U14W22],subrounded (Default),moderately indurated,"Porous, pale gray rock. matrix is whitish clay-like material. Small amount of carbonate cement in places. black volcaniclastic grains and glauconite common. ",light gray,N 7,,,,,,
324-U1347A-24R-5-A,324,U1347,A,24,24-5,R,5,A,111.16,117.89,278.082,278.149,volcaniclastic,sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with glauconite,volcaniclastic sandstone with glauconite,100,fine sand [U14W22],subrounded (Default),moderately indurated,"Porous, pale gray rock. matrix is whitish clay-like material. Small amount of carbonate cement in places. black volcaniclastic grains and glauconite common. Altered volcanic ash?? dark, possibly baked, contact at the top of the piece.",light gray,N 7,,,,,,
324-U1347A-26R-1-A,324,U1347,A,26,26-1,R,1,A,0.08,12.85,290.701,290.829,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,,,,,,,,,,
324-U1347A-26R-1-A,324,U1347,A,26,26-1,R,1,A,12.85,23.85,290.829,290.939,recrystallized,sandy siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,recrystallized sandy siltstone,100,,,,"very dense, dark gray rock. Silty sandstone originally (traces of radiolarians?) with volcanoclastics and minor glauconite. Secondary calcite present as veins. ",dark gray,N 4,,,,,,
324-U1347A-26R-1-A,324,U1347,A,26,26-1,R,1,A,24.19,149.5,290.942,292.195,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,,,,,,,,,,
324-U1347A-26R-2-A,324,U1347,A,26,26-2,R,2,A,0,142.68,292.195,293.622,,basalt [IUGS-S78&79],"International Union of Geological Sciences-Streckeisen, 1978 & 1979",,basalt,100,,,,,,,,,,,,
324-U1347A-7R-CC-A,324,U1347,A,7,7-CC,R,CC,A,0,18.1,123.89,124.071,radiolarian bearing,sandy siltstone [MMK88],"Mazullo, Meyer ",,radiolarian bearing sandy siltstone,100,,,moderately indurated,,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-CC-A,324,U1347,A,7,7-CC,R,CC,A,0.03,18.14,123.89,124.071,,,,,,,,,,,,10Y 5/1,,,,,,
324-U1347A-8R-CC-A,324,U1347,A,8,8-CC,R,CC,A,0,34.44,134.4,134.744,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,heavily bioturbated,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-8R-CC-A,324,U1347,A,8,8-CC,R,CC,A,0,34.5,134.4,134.745,Radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Radiolarian bearing Sandy Siltstone,100,coarse silt [U14W22],,moderately indurated,heavily bioturbated,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
