Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
363-U1488A-20H-6-W 10/10-NANNO,0,0,184.5,184.5,,"TDJ - N. amplificus present - photo taken, hooray!!",M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,20,H,6,W,10/10-NANNO
363-U1488A-20H-CC-PAL-NANNO,0,5,186.72,186.77,,TDJ - D. quinqueramus common; no N. amplificus,M [P33],D [A22],,,,,,,,,C [A04],A [A23],,,,,,,C [A04],,,,F [A30],,F [A30],,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,A [A23],,,,F [A30],R [A30],F [A30],F [A30],F [A30],,,C [A04],F [A30],,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,20,H,CC,PAL,NANNO
363-U1488A-21H-2-W 80/80-NANNO,0,0,188.7,188.7,,TDJ - A. primus present,M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,21,H,2,W,80/80-NANNO
363-U1488A-21H-4-W 80/80-NANNO,0,0,191.7,191.7,,TDJ - searched (and searched again) no N. amplificus or A. primus seen,M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,A [A23],,,,F [A30],P [A30],,F [A30],C [A04],,,C [A04],C [A04],,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,21,H,4,W,80/80-NANNO
363-U1488A-21H-6-W 10/10-NANNO,0,0,194,194,,"TDJ - searched for N. amplificus, none seen yet",M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,21,H,6,W,10/10-NANNO
363-U1488A-21H-CC-PAL-NANNO,0,5,196.29,196.34,,"TDJ - searched for N. amplificus, none seen yet",M [P33],D [A22],,,,,,,,,A [A23],F [A30],,,,,F [A30],,F [A30],,,,F [A30],,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,A [A23],,,,F [A30],,F [A30],F [A30],C [A04],,,C [A04],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,21,H,CC,PAL,NANNO
363-U1488A-22H-2-W 80/80-NANNO,0,0,198.2,198.2,,"TDJ - searched for N. amplificus, none seen yet",M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,22,H,2,W,80/80-NANNO
363-U1488A-22H-4-W 80/80-NANNO,0,0,201.2,201.2,,"TDJ - searched for N. amplificus, none seen yet",M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,22,H,4,W,80/80-NANNO
363-U1488A-22H-6-W 10/10-NANNO,0,0,203.5,203.5,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,22,H,6,W,10/10-NANNO
363-U1488A-22H-CC-PAL-NANNO,0,5,205.85,205.9,,"TDJ - searched for N. amplificus, none seen yet",M [P33],D [A22],,,,,,,,,A [A23],C [A04],,,,,C [A04],,F [A30],,,,F [A30],,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,X [A115],,,A [A23],,,,C [A04],,,F [A30],F [A30],,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,22,H,CC,PAL,NANNO
363-U1488A-23H-2-W 80/80-NANNO,0,0,207.7,207.7,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,23,H,2,W,80/80-NANNO
363-U1488A-23H-4-W 80/80-NANNO,0,0,210.7,210.7,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,23,H,4,W,80/80-NANNO
363-U1488A-23H-6-W 10/10-NANNO,0,0,213,213,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,23,H,6,W,10/10-NANNO
363-U1488A-23H-CC-PAL-NANNO,0,5,215.13,215.18,,"TDJ - searched for N. amplificus, none seen yet",M [P33],D [A22],,,,,,,,,A [A23],A [A23],,F [A30],,,F [A30],,F [A30],,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],A [A23],,,F [A30],,R [A30],R [A30],C [A04],,,F [A30],F [A30],,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,23,H,CC,PAL,NANNO
363-U1488A-24H-CC-PAL-NANNO,0,5,224.76,224.81,NN11 [M71],LB,M [P33],D [A22],,,,,,,,,C [A04],A [A23],,,,,C [A04],,F [A30],,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],,,,C [A04],,,,,,,,,,,,,x [A115],,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,24,H,CC,PAL,NANNO
363-U1488A-25H-2-W 60/60-NANNO,0,0,226.5,226.5,,TDJ -,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,25,H,2,W,60/60-NANNO
363-U1488A-25H-4-W 60/60-NANNO,0,0,229.5,229.5,,TDJ -,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,25,H,4,W,60/60-NANNO
363-U1488A-25H-6-W 60/60-NANNO,0,0,232.5,232.5,,TDJ -,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,25,H,6,W,60/60-NANNO
363-U1488A-25H-CC-PAL-NANNO,0,5,234.14,234.19,NN11 [M71],LB,P [P33],D [A22],,,,,,,,,C [A04],A [A23],,,,,C [A04],,R [A30],,,,,,C [A04],,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,A [A23],,,,C [A04],,,,C [A04],,,,,,,,,x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,363,U1488,A,25,H,CC,PAL,NANNO
363-U1488A-26H-2-W 60/60-NANNO,0,0,236,236,,TDJ -,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,26,H,2,W,60/60-NANNO
363-U1488A-26H-4-W 60/60-NANNO,0,0,239,239,,TDJ -,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,26,H,4,W,60/60-NANNO
363-U1488A-26H-6-W 60/60-NANNO,0,0,242,242,,TDJ -,M [P33],C [A22],,,,,,,,,,A [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],,,,F [A30],,F [A30],,F [A30],,,F [A30],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,26,H,6,W,60/60-NANNO
363-U1488A-26H-CC-PAL-NANNO,0,5,243.57,243.62,NN11 [M71],LB - TDJ - one D. neohamatus - photo taken.,P [P33],D [A22],x [A115],,,,,,,,x [A115],A [A23],,,,,C [A04],,C [A04],,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],,,,F [A30],,F [A30],,F [A30],,,x [A115],F [A30],,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,26,H,CC,PAL,NANNO
363-U1488A-27H-2-W 60/60-NANNO,0,0,245.5,245.5,,TDJ -,M [P33],C [A22],,,,,,,,,,V [A94],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V [A94],,,,F [A30],,F [A30],,F [A30],,,x [A115],x [A115],,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,27,H,2,W,60/60-NANNO
363-U1488A-27H-4-W 60/60-NANNO,0,0,248.5,248.5,NN11 [M71],LB,P [P33],D [A22],,,,,,,,,,A [A23],,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],,,,F [A30],,F [A30],,R [A30],,,x [A115],x [A115],,P [A30],,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,27,H,4,W,60/60-NANNO
363-U1488A-27H-6-W 60/60-NANNO,0,0,251.5,251.5,NN11 [M71],LB,M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x [A115],x [A115],,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,27,H,6,W,60/60-NANNO
363-U1488A-27H-CC-PAL-NANNO,0,5,253.32,253.37,NN11 [M71],LB - TDJ - no good D. surculus seen; also no D. loeblichii.,M [P33],C [A22],x [A115],,,,,,,,x [A115],A [A23],,,,,C [A04],,C [A04],F [A30],,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],,,,C [A04],,F [A30],P [A30],,,,x [A115],,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,27,H,CC,PAL,NANNO
363-U1488A-28H-CC-PAL-NANNO,0,5,262.83,262.88,NN11 [M71],LB,M [P33],C [A22],x [A115],,,,,,,,x [A115],A [A23],,,,,C [A04],,F [A30],,,,,,C [A04],F [A30],,F [A30],F [A30],,C [A04],,,,,,,,,,,,,,,,,,,,,,A [A23],,,,,,,,,,,,,,P [A30],,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,28,H,CC,PAL,NANNO
363-U1488A-29H-CC-PAL-NANNO,0,5,272.3,272.35,NN10 [M71],LB,M [P33],C [A22],,,,,,,,,x [A115],C [A04],,,,,C [A04],,F [A30],F [A30],C [A04],,,,C [A04],,,,F [A30],,C [A04],,,,,,,,,,,,,,,,,,,,,,A [A23],,,,C [A04],,C [A04],C [A04],,,,x [A115],,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,29,H,CC,PAL,NANNO
363-U1488A-30H-CC-PAL-NANNO,0,5,281.81,281.86,NN10 [M71],LB,M [P33],C [A22],,,,,,x [A115],x [A115],x [A115],x [A115],R [A30],,,,,C [A04],,,F [A30],C [A04],,,,C [A04],,,,,,C [A04],,,,,,,,,,,,R [A30],,,,,,,,,,A [A23],,,,C [A04],,F [A30],C [A04],,,,x [A115],,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,30,H,CC,PAL,NANNO
363-U1488A-31H-4-W 100/100-NANNO,0,0,286.9,286.9,NN10 [M71],LB,M [P33],C [A22],,,,,,,,,x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,31,H,4,W,100/100-NANNO
363-U1488A-31H-6-W 100/100-NANNO,0,0,289.9,289.9,NN10 [M71],LB,M [P33],C [A22],,,,,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,31,H,6,W,100/100-NANNO
363-U1488A-31H-CC-PAL-NANNO,0,5,291.31,291.36,NN10 [M71],LB,M [P33],C [A22],,,,,,,,,C [A04],,,,,,C [A04],,F [A30],F [A30],,,,,C [A04],,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,A [A23],,,,,,C [A04],F [A30],,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,31,H,CC,PAL,NANNO
363-U1488A-32H-CC-PAL-NANNO,0,5,300.62,300.67,NN10 [M71],LB,M [P33],C [A22],,,,,,,,,A [A23],,,,,,C [A04],,,C [A04],,,,,C [A04],,,,,,C [A04],,,,,P [A30],,P [A30],,,,,,,,,,,,,,,A [A23],,,,C [A04],,F [A30],F [A30],,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,32,H,CC,PAL,NANNO
363-U1488A-33F-2-W 40/40-NANNO,0,0,301.17,301.17,NN10 [M71],LB,M [P33],C [A22],,,,,,,,,A [A23],,,,,,C [A04],,,F [A30],,,,,F [A30],,,,P [A30],,F [A30],,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,x [A115],,,,,,P [A30],P [A30],,x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,33,F,2,W,40/40-NANNO
363-U1488A-33F-CC-PAL-NANNO,0,5,305.34,305.39,NN9 [M71],LB,M [P33],C [A22],,,,,,,,,A [A23],,,,,,C [A04],,,,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],,,,F [A30],,C [A04],x [A115],,,,,,P [A30],,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,33,F,CC,PAL,NANNO
363-U1488A-34F-1-W 100/100-NANNO,0,0,306.1,306.1,NN9 [M71],LB,M [P33],C [A22],,,,,,,,,A [A23],,,,,,C [A04],,,F [A30],,,,,F [A30],,,,,,R [A30],,,,,,,P [A30],,,,,,,,,,,,,,,F [A30],,,,,,C [A04],,,,,,,f [A30],F [A30],,C [A04],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,34,F,1,W,100/100-NANNO
363-U1488A-34F-3-W 20/20-NANNO,0,0,308.3,308.3,NN9 [M71],LB,M [P33],C [A22],,,,,,,,,A [A23],,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,C [A04],,,,,,,F [A30],F [A30],,P [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,34,F,3,W,20/20-NANNO
363-U1488A-34F-CC-PAL-NANNO,0,5,309.91,309.96,NN9 [M71],LB,M [P33],C [A22],,,,,,,,,A [A23],,,,,,C [A04],,,F [A30],,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,,,,,P [A30],P [A30],,F [A30],,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,34,F,CC,PAL,NANNO
363-U1488A-35F-2-W 80/80-NANNO,0,0,312.1,312.1,NN9 [M71],LB,P [P33],C [A22],,,,,,,,,A [A23],,,,,,C [A04],,,F [A30],,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,C [A04],,,,,,,F [A30],C [A04],,F [A30],F [A30],,,,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,35,F,2,W,80/80-NANNO
363-U1488A-35F-3-W 60/60-NANNO,0,0,313.4,313.4,NN9 [M71],LB,P [P33],C [A22],,,,,,,,,A [A23],,,,,,C [A04],,,F [A30],,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,,,,,P [A30],F [A30],,F [A30],F [A30],,,,,,,,P [A30],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,35,F,3,W,60/60-NANNO
363-U1488A-35F-4-W 3/3-NANNO,0,0,314.03,314.03,NN9 [M71],LB,P [P33],C [A22],,,,,,,,,A [A23],,,,,,C [A04],,,F [A30],,,,,,,,,,,,,,,,,,p [A30],,,,,,,,,,,,,,,,,,,,,C [A04],,,,,,,P [A30],F [A30],,F [A30],P [A30],,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,35,F,4,W,3/3-NANNO
363-U1488A-35F-CC-PAL-NANNO,0,5,314.52,314.57,NN9 [M71],LB,M [P33],C [A22],,,,,,,,,A [A23],,,,,,C [A04],,F [A30],F [A30],,,,,F [A30],,,,,,P [A30],,,,,P [A30],,,,,,,,,,,,,,,,,A [A23],,,,,,C [A04],,,,,,,,f [A30],,F [A30],p [A30],,,,,,,,p [A30],p [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,35,F,CC,PAL,NANNO
