Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name
363-U1489C-29H-6-W 60/60-NANNO,0,0,268.1,268.1,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,29,H,6,W,60/60-NANNO,
363-U1489C-29H-CC-PAL-NANNO,0,5,269.93,269.98,NN10,TDJ - M. convallis and re-entrance of R. pseudoumbilicus >7um,G,D,,,,,,,,,C,,C,,,,C,,C,,,,F,,C,,,F,,,,,,,R,,,,,,,,,,,,,,,,,,C,C,,,F,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,29,H,CC,PAL,NANNO,
363-U1489C-30F-3-W 60/60-NANNO,0,0,271.31,271.31,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,30,F,3,W,60/60-NANNO,
363-U1489C-30F-CC-PAL-NANNO,0,5,273.54,273.59,NN9,LB,,,,,,,,,,,C,,,,,,C,,C,F,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,C,C,,,F,,F,x,,,,,,,P,,P,F,,,,,,P,,C,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,30,F,CC,PAL,NANNO,
363-U1489C-31F-CC-PAL-NANNO,0,5,279.11,279.16,NN9,LB,,,,,,,,,,,C,,,,,,C,,C,F,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,C,C,,,C,,F,x,,,,,,,P,,F,F,,,,,,,,C,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,31,F,CC,PAL,NANNO,
363-U1489C-32X-CC-PAL-NANNO,0,5,287.06,287.11,NN9,LB,M,C,,,,,,,,,A,,,,,,C,,C,F,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,C,C,,,C,,C,,,,,,,P,F,,C,F,,,,,,,,F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,32,X,CC,PAL,NANNO,
363-U1489C-33X-CC-PAL-NANNO,0,5,297.82,297.87,NN9,LB,,,,,,,,,,,A,,,,,,C,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,C,C,,,C,,C,,,,,,,P,F,,F,x,,,,,,P,,F,P,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,33,X,CC,PAL,NANNO,
363-U1489C-34X-2-W 75/75-NANNO,0,0,300.55,300.55,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,34,X,2,W,75/75-NANNO,
363-U1489C-34X-4-W 75/75-NANNO,0,0,303.55,303.55,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,34,X,4,W,75/75-NANNO,
363-U1489C-34X-6-W 60/60-NANNO,0,0,306.4,306.4,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,34,X,6,W,60/60-NANNO,
363-U1489C-34X-CC-PAL-NANNO,0,5,307.97,308.02,NN8,LB,,,,,,,,,,,A,,,,C,,C,P,,,,,,,,,,,,,P,x,,,,,,,,,,,,,,,,,,,,,C,,,,x,,C,,,,,,,,,,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,34,X,CC,PAL,NANNO,
363-U1489C-35X-2-W 75/75-NANNO,0,0,310.25,310.25,,TDJ -LB B H.stalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,35,X,2,W,75/75-NANNO,
363-U1489C-35X-4-W 75/75-NANNO,0,0,313.25,313.25,,TDJ -LB top H.walberdorfenis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,35,X,4,W,75/75-NANNO,
363-U1489C-35X-6-W 50/50-NANNO,0,0,316,316,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,35,X,6,W,50/50-NANNO,
363-U1489C-35X-CC-PAL-NANNO,0,5,317.58,317.63,NN8,LB,,,,,,,,,,,A,,,,C,,C,P,,,,,,,C,,,,,,x,P,,,,,,,,,,,,,,,,,,,,,c,F,,,x,,C,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,35,X,CC,PAL,NANNO,
363-U1489C-36X-CC-PAL-NANNO,0,5,327.18,327.23,NN7,LB,,,,,,,,,,,A,,,,C,,C,F,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,36,X,CC,PAL,NANNO,
363-U1489C-37X-2-W 75/75-NANNO,0,0,329.65,329.65,,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,37,X,2,W,75/75-NANNO,
363-U1489C-37X-4-W 75/75-NANNO,0,0,332.65,332.65,,,,,,,,,,,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,37,X,4,W,75/75-NANNO,
363-U1489C-37X-5-W 75/75-NANNO,0,0,334.15,334.15,,"AGSF - ""disappearance"" of large circular forms of C floridanus; 1 specimen S heteromorphus probably reworked",,,,,,,,,,,C,,,,,x,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,363,U1489,C,37,X,5,W,75/75-NANNO,
363-U1489C-37X-CC-PAL-NANNO,0,5,334.79,334.84,NN6,LB,,,,,,,,,,,A,,,,C,R,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,37,X,CC,PAL,NANNO,
363-U1489C-38X-2-W 40/40-NANNO,0,0,339,339,,AGSF - appearance of large R. pseudoumbilicus (~10 um); TDJ - also another distinct shift from more overgrown D. deflandrei type (below this level) to more gracile rays with stronger bifurcations in this samples (D. exilis type). Large circular Calcidiscus with large open CA (9um),,,,,,,,,,,F,,,,,R,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,F,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,363,U1489,C,38,X,2,W,40/40-NANNO,
363-U1489C-38X-4-W 40/40-NANNO,0,0,342,342,,AGSF - very rare R. pseudoumbilicus >7 um,,,,,,,,,,,R,,,,,R,C,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,,X,P,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,38,X,4,W,40/40-NANNO,
363-U1489C-38X-6-W 40/40-NANNO,0,0,345,345,,"AGSF - R. pseudoumbilicus specimens slightly over than 7um, very few >7 um morphotype;",,,,,,,,,,,F,,,,,F,C,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,C,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,38,X,6,W,40/40-NANNO,
363-U1489C-38X-CC-PAL-NANNO,0,5,346.95,347,NN6,LB,,,,,,,,,,,A,,,,C,F,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,38,X,CC,PAL,NANNO,
363-U1489C-39X-2-W 75/75-NANNO,0,0,349.05,349.05,,AGSF - R pseudoumbilicus ~7 um,,,,,,,,,,,F,,,,,F,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,R,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,39,X,2,W,75/75-NANNO,
363-U1489C-39X-4-W 75/75-NANNO,0,0,352.05,352.05,,AGSF - Discoasters poorly preserved; D. petaliformis present but poorly preserved; R pseudoumbilicus ~7 um,,,,,,,,,,,F,,,,,A,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,P,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,39,X,4,W,75/75-NANNO,
363-U1489C-39X-6-W 65/65-NANNO,0,0,354.95,354.95,,AGSF - less occurrence of D. deflandrei compared to the lower (older) samples (F-C); R pseudoumbilicus ~7 um,,,,,,,,,,,F,,,,,A,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,39,X,6,W,65/65-NANNO,
363-U1489C-39X-CC-PAL-NANNO,0,5,356.63,356.68,,,,,,,,,,,,,,,,,,C,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,,,,,,,,,,,,,,,C,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,39,X,CC,PAL,NANNO,
363-U1489C-40X-2-W 75/75-NANNO,0,0,358.75,358.75,,AGSF - discoasters are overgrown and difficult to identify; D. petaliformis (although poorly preserved) is present; noticeable decline in D. deflandrei,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,F,,R,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,40,X,2,W,75/75-NANNO,
363-U1489C-40X-4-W 75/75-NANNO,0,0,361.75,361.75,,AGSF -,,,,,,,,,,,,,,,,C,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,40,X,4,W,75/75-NANNO,
363-U1489C-40X-5-W 70/70-NANNO,0,0,363.2,363.2,,AGSF - R. pseudoumbilicus ~7um,,,,,,,,,,,P,,,,,A,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,,,P,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,40,X,5,W,70/70-NANNO,
363-U1489C-40X-CC-PAL-NANNO,0,5,364,364.05,,TDJ - S. heteromorphus,,,,,,,,,,,,,C,,,A,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,C,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,363,U1489,C,40,X,CC,PAL,NANNO,
363-U1489C-41X-1-W 100/100-NANNO,0,0,367.2,367.2,,AGSF - R pseudoumbilicus slightly >7um present; discoasters overgrown,,,,,,,,,,,R,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,41,X,1,W,100/100-NANNO,
363-U1489C-41X-3-W 100/100-NANNO,0,0,370.2,370.2,,AGSF - R pseudoumbilicus slightly >7um present; discoasters overgrown,,,,,,,,,,,R,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,41,X,3,W,100/100-NANNO,
363-U1489C-41X-CC-PAL-NANNO,0,5,371.98,372.03,NN4,TDJ - S. heteromorphus frequent; 1 S. belemnos seen (photo);,M,D,,,,,,,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,P,,,,,,,,,,,,,,,C,,,,,,,,,,,F,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,363,U1489,C,41,X,CC,PAL,NANNO,
363-U1489C-42X-3-W 60/60-NANNO,0,0,379.5,379.5,,AGSF -,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,F,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,42,X,3,W,60/60-NANNO,
363-U1489C-42X-4-W 120/120-NANNO,0,0,381.6,381.6,,AGSF - a form similar to C macintyrei (but smaller) is present,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,42,X,4,W,120/120-NANNO,
363-U1489C-42X-4-W 20/20-NANNO,0,0,380.6,380.6,,AGSF - R pseudoumbilicus ~7 um,,,,,,,,,,,R,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,42,X,4,W,20/20-NANNO,
363-U1489C-42X-4-W 30/30-NANNO,0,0,380.7,380.7,,AGSF - Sphenolithus dissimilis,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,42,X,4,W,30/30-NANNO,
363-U1489C-42X-CC-PAL-NANNO,0,5,384.21,384.26,NN2,TDJ - T. carinatus present; no S. heteromorphus or S. belemnos seen,M,D,,,,,,,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,C,,,,,,,,,,,F,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,363,U1489,C,42,X,CC,PAL,NANNO,
