pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,genus_taxon_name,genus_taxon_id,family_taxon_name,family_taxon_id,order_taxon_name,order_taxon_id,class_taxon_name,class_taxon_id,phylum_taxon_name,phylum_taxon_id,kingdom_taxon_name,kingdom_taxon_id,version,pbdb_name_count
433269,Skeletonemaceae,family,,,Skeletonemaceae,433269,Thalassiosirales,432628,Bacillariophyceae,69587,Ochrophyta,432613,,,old,2
433269,Skeletonemaceae,family,Skeletonemaceae,433269,,,Thalassiosirales,432628,Bacillariophyceae,69587,Ochrophyta,432613,,,updated,2
155931,Stilostomellidae,family,,,Stilostomellidae,155931,Nodosariida,429322,Nodosariata,428875,Foraminifera,288974,Rhizaria,212476,old,2
155931,Stilostomellidae,family,Stilostomellidae,155931,,,Nodosariida,429322,Nodosariata,428875,Foraminifera,288974,Rhizaria,212476,updated,2
434786,Tamarix,genus,Tamarix,434786,Tamaricaceae,55463,Caryophyllales,54896,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
434786,Tamarix,genus,Tamarix,434786,Tamaricaceae,55463,Caryophyllales,54896,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
435008,Taraxacum,genus,Taraxacum,435008,Asteraceae,183083,Asterales,54943,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
435008,Taraxacum,genus,Taraxacum,435008,Asteraceae,183083,Asterales,54943,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
434530,Textulariia,subclass,,,,,,,,,Foraminifera,288974,Rhizaria,212476,old,2
434530,Textulariia,subclass,Textulariia,434530,,,,,,,Foraminifera,288974,Rhizaria,212476,updated,2
71204,Thalassiosiraceae,family,,,Thalassiosiraceae,71204,Thalassiosirales,432628,Bacillariophyceae,69587,Ochrophyta,432613,,,old,2
71204,Thalassiosiraceae,family,Thalassiosiraceae,71204,,,Thalassiosirales,432628,Bacillariophyceae,69587,Ochrophyta,432613,,,updated,2
152649,Theocotyle (Theocotylissa),subgenus,,,Theocotylidae,87065,Nassellaria,402,,,Radiolaria,4,Rhizaria,212476,old,2
152649,Theocotyle (Theocotylissa),subgenus,Theocotyle,679,Theocotylidae,87065,Nassellaria,402,,,Radiolaria,4,Rhizaria,212476,updated,2
446918,Tintinnida,order,,,,,Tintinnida,446918,,,Ciliophora,720,,,old,2
446918,Tintinnida,order,Tintinnida,446918,,,,,,,Ciliophora,720,,,updated,2
82093,Trachyleberididae,family,,,Trachyleberididae,82093,Podocopida,23837,Ostracoda,22826,Arthropoda,18891,Animalia,325038,old,2
