column,type
Thiersteinia ecclesiastica,taxa
Umbilicosphaera bramlettei,taxa
Globigerina angustiumbilicata,taxa
Cyclicargolithus cf. floridanus,taxa
Euphorbia,taxa
Globigerinelloides paragottisi,taxa
Subbotina velascoensis,taxa
Operculodinium janduchenei,taxa
Zeugrhabdotus sigmoides,taxa
Dicarinella concavata,taxa
Eilohedra rotunda,taxa
Reinhardtites levis,taxa
Pyrgo lucernula,taxa
Calcidiscus premacintyrei,taxa
Skeletonemopsis barbabadensis,taxa
Coscinodiscus decrescens,taxa
Lophophaena sp.,taxa
Selenopemphix sp. 1,taxa
Oolina laevigata,taxa
Hyperammina spp.,taxa
Euuvigerina spp.,taxa
Borelis spp.,taxa
Acarinina bullbrooki,taxa
Antarctissa deflandrei,taxa
Fohsella peripheroronda _T_,taxa
Amphisphaera goruna,taxa
Anomalacantha dentata,taxa
Lamprocyclas junonis,taxa
Reticulofenestra pseudoumbilicus (5-7 µm),taxa
Goniothecium odontella,taxa
count_type,taxa
fungal spores,taxa
Aragonia tenera,taxa
Hedbergella delrioensis,taxa
Bekoma campechensis,taxa
Dorcadospyris copelata n. sp.,taxa
Discoaster hamatus/bellus,taxa
Gyroidina gemma,taxa
Reticulofenestra stavensis,taxa
Dentoglobigerina baroemoensis,taxa
Sphenolithus calyculus,taxa
Rouxia heteropolara,taxa
Bolivinita pliozea,taxa
Podocyrtis sinuosa,taxa
Thalassiosira convexa var. aspinosa,taxa
Gyraffospyris angulata,taxa
Uvigerina graciliformis,taxa
Uniplanarius,taxa
Shionodiscus oestrupii,taxa
Arenobulimina sp.,taxa
Helicosphaera stalis,taxa
Globanomalina compressa,taxa
Thalassiosira torokina,taxa
Pseudoemiliania lacunosa,taxa
Cribrocorona gallica,taxa
Monolete ornamented,taxa
Toweius occultatus,taxa
Aulacoseira granulata,taxa
Bolivina/Brizalina spp.,taxa
Siphonina pozonensis,taxa
Phormocyrtis alexandrae,taxa
Theocyrtis careotuberosa n. sp.,taxa
Orthomorphina challengeriana,taxa
Dictyocorine profunda,taxa
Coscinodiscus nodulifer,taxa
Hedbergella rischi,taxa
Dentalina,taxa
Acrobotrys tritubus,taxa
"Turborotalia pomeroli (Toumarkine & Bolli), 1970",taxa
Neogloboquadrina kagaensis,taxa
Thalassionema schraderi,taxa
Quadrimorphina,taxa
Spirolectinella,taxa
Neolenticulina variabilis,taxa
Stilodictya validispina,taxa
Phormocyrtis spp.,taxa
Pteroscenium pinnatum,taxa
Stylodictya arachnia,taxa
Globigerinoides obliquus _T_,taxa
Lenticulina,taxa
Lithoptychius ulii,taxa
Robertina sp. A,taxa
Globorotalia (Hirsutella) margaritae,taxa
Notorotalia zelandica,taxa
Radiolarian fragments,taxa
Marssonella trochoides,taxa
Gyroidinoides lenticulus,taxa
Gyroidinoides globosa,taxa
Hemiaulus incisus,taxa
Tamarix,taxa
Lychnocanium waiareka,taxa
Saracenaria altifrons,taxa
Dextral:Sinistral _P. spectabilis_,taxa
Globorotaloides eovariabilis,taxa
Dorcadospyris cyclacantha n. sp.,taxa
Actinocyclus sp. cf. tsugaruensis,taxa
Dicarinella hagni,taxa
Markalius astroporus,taxa
Acrosphaera sp.,taxa
Cribrosphaerella ehrenbergii,taxa
Cenosphaera coronata,taxa
Holodiscolithus macroporus,taxa
Azpeitia barronii,taxa
Uvigerina aculeata,taxa
Globorotalia (Menardella) cultrata,taxa
Abundance,taxa
Orthorhabdus rugosus,taxa
Nannotetrina alata,taxa
Blackites inflatus,taxa
Parvularugoglobigerina alabamensis,taxa
Microrhabdulus spp.,taxa
Acarinina nitida,taxa
Bolivina byramensis,taxa
Biloculina sp.,taxa
Notorotalia sp.,taxa
Trinacria spp.,taxa
Globorotalia inflata,taxa
Globigerina eamesi,taxa
Laevidentalina aphelis,taxa
Cyclorbiculina compressa,taxa
Spongoplegma sp.,taxa
Globorotalia (Hirsutella) cibaoenisis,taxa
Nitzschia fossilis,taxa
Globigerinita boweni,taxa
Piece,taxa
Fragilariopsis truncata,taxa
Rhagodiscus robustus,taxa
Pyrulina? angusta,taxa
Cruciplacolithus primus,taxa
Actinocyclus maccollumii,taxa
Arkhangelskiella maastrichtiensis,taxa
Alveus marinus,taxa
Nonion commune,taxa
Helicosphaera intermedia,taxa
Ship File Links,taxa
Trifarina ototara,taxa
Globoturborotalita obliquus,taxa
Praeglobotruncana delrioensis,taxa
Fragmentation,taxa
Globigerinoides conglobatus _B,taxa
Praeorbulina curva _B,taxa
"Gephyrocapsa oceanica (Large, Diagonal bridge)",taxa
Clavulina sp.,taxa
Reticulofenestra callida,taxa
Thalassiosira gersondei,taxa
Triloculina rotunda,taxa
Globorotalia exilis,taxa
Globorotalia birnageae,taxa
Stylodictya tenuispina,taxa
Lithelius sp. A,taxa
Elphidium saginatum,taxa
Lophospyris pentagona pentagona?,taxa
Astalocus bradyi,taxa
Reussoolina,taxa
Globigerina conglomerata,taxa
Paragloborotalia mayeri _T_ _M12,taxa
Proxifrons inaequalis,taxa
Fragilariopsis ritscheri,taxa
Sphaeroidinella excavata,taxa
Globigerinatheka index,taxa
Lenticulinella sp.,taxa
Bulimina triangularis,taxa
Helicosphaera walbersdorfensis,taxa
Neobiscutum spp.,taxa
Reticulofenestra rotaria,taxa
Helicosphaera kamptneri,taxa
Anthocyrtella (?) callopisma,taxa
Reticulofenestra pseudoumbilicus (>7 um),taxa
Staurolithites siesseri,taxa
Globoconella mons,taxa
Reticulofenestra minuta (<3µm),taxa
Globoconella triangula     (cf.),taxa
Elphidium novozealandicum,taxa
Helicosphaera spp. (Negoene),taxa
Triloculina trigonula,taxa
Pyrgo murrinha,taxa
Corbisema hastata hastata,taxa
Planoglobulina multicamerata,taxa
Planorbulinella larvata,taxa
Dictyococcites bisectus (>10 microns),taxa
Rossiella tatsunokuchiensis,taxa
Cassidulinoides tenuis,taxa
Amphora sp.,taxa
Schyphosphaera spp.,taxa
Turborotalia (Globorotalia) continuosa,taxa
Cocconeis pseudomarginatus,taxa
Hoeglundina sp.,taxa
Dorcadospyris circulus,taxa
Dictyophimus craticula,taxa
Dorothia exilis,taxa
Lisitzinia ornata,taxa
Spongodiscus sp.,taxa
Melonis affine,taxa
Rhagodiscus achylostaurion,taxa
Pyrgo sp.,taxa
Hyalodiscus spp.,taxa
Blackites creber,taxa
Recurvoides spp.,taxa
Porosira glaciais,taxa
Bolivina translucens,taxa
Discoaster sublodoensis,taxa
Lithopera renzae,taxa
Epistominella vitrea,taxa
Dictyococcites spp. (medium),taxa
Watznaueria barnesae,taxa
Coscinodiscus sp. A MSSTS,taxa
Gavelinopsis praegeri,taxa
Scyphosphaera pulcherrima,taxa
Acarinina pseudotopilensis,taxa
Lamptonium sanfilippoae,taxa
Truncorotaloides rohri,taxa
Acrosphaera? labrata,taxa
Arachnodiscus ehrenbergi,taxa
Berthelina sp. 2,taxa
Actinocyclus subtilis,taxa
Elphidium hampdenense,taxa
Whiteinella brittonensis,taxa
Paragloborotalia continuosa,taxa
Coccolithus pelagicus spp. azorinus,taxa
Pulleniatina primalis  _Tand B,taxa
Cycladophora golli regipileus,taxa
Epistominella sp.,taxa
Martinotiella spp.,taxa
Cycloclypeus? sp.,taxa
Paragloborotalia semivera (D),taxa
"Heliodiscus asteriscus Haeckel, 1887",taxa
Stainforthia sandiegoensis,taxa
Globigerinelloides bollii,taxa
Hyalinea balthica,taxa
Fissurina marginata,taxa
Remesella,taxa
Corylus,taxa
Gyroidina obicularis,taxa
Stilostomella consobrina,taxa
Ceratocyrtis spp.,taxa
Zeaglobigerina sp.,taxa
Hemiaulus caracteristicus,taxa
Theocotylissa ficus,taxa
Datum name generic,taxa
Globorotalia flexuosa,taxa
Discoaster moori,taxa
Fohsella fohsi _T and B_ _M10 and M9a_,taxa
Dictyococcites haqii,taxa
Pulleniatina spectabilis,taxa
Chrysalogonium spp.,taxa
Dactylacanthis spp.,taxa
Didymocyrtis tetrathalamus  tetrathalamus,taxa
Uvigerina cf. hispida,taxa
Globorotalia iwaiensis,taxa
Calcareous gen. et sp. indet.,taxa
Diatom abundance,taxa
Theocorythium trachelium,taxa
Discoaster blackstockae,taxa
Gansserina gansseri,taxa
Pterocorys group,taxa
Thecosphaera akitaensis,taxa
Lucianorhabdus cayeuxii,taxa
Globotruncana bulloides,taxa
Acrosphaera spinosa fasciculopora,taxa
Planorbulina sp.,taxa
Helicosphaera pavimentum,taxa
Chiastozygus,taxa
Speetonia colligata,taxa
Dorcadospyris ombros n. sp. (upper),taxa
Trochammina(?) sp.,taxa
Neogloboquadrina humerosa _B,taxa
Cocconeis costata,taxa
Neochiastozygus perfectus,taxa
Osangularia cf. schoenbachi,taxa
Globocassidulina spp.,taxa
Eucyrtidium plesiodiaphanes,taxa
Aulacodiscus brownei,taxa
Eiffellithus vonsalisiae,taxa
Nodosariids,taxa
Acarinina pentacamerata,taxa
Prunopyle titan,taxa
Theocorys spongoconus,taxa
Neochiastozygus rosenkrantzii,taxa
Sphaeroidinella dehiscens sensu lato _B_,taxa
Planospirina spp.,taxa
Globigerinatella insueta,taxa
"""Globigerina"" ciperoensis _T_",taxa
Reticulofenestra pseudoumbilicus  (5-7µm),taxa
Cibicidoides cf. havanensis,taxa
Globobulimina turgida,taxa
Stylodictya aculeata,taxa
Dictyococcites spp. (small),taxa
Lithelius barbatus,taxa
Zone author (year),taxa
Pontosphaera exilis,taxa
Tenuitella gemma,taxa
Fissurina alveolata,taxa
Lychnocanoma bellum,taxa
Paralia clavigera,taxa
Buryella clinata,taxa
Nodosaria,taxa
Gephyrocapsa parallela,taxa
Pulleniatina coiling (dextral),taxa
Haplophragmoides walteri,taxa
Cestodiscus pulchellus var. maculatus,taxa
Denticulopsis praedimorpha,taxa
Clathrocyclas universa,taxa
Annellus californicus,taxa
Rosalina bradyi,taxa
Vaginulina sp.,taxa
Lychnocanium grande,taxa
Subbotina roesnaesensis,taxa
Globorotalia (Forsella) fohsi lobata,taxa
Pontosphaera discopora,taxa
Discoaster wemmelensis,taxa
Biantholithus? flosculus,taxa
Neocrepidolithus watkinsii,taxa
Acarinina topilensis,taxa
Gephyrocapsa oceanica (>5 micron),taxa
Praebulimina sp.,taxa
Chiloguembelina wilcoxensis,taxa
Globorotalia (Menardella) fimbriata,taxa
Top Depth [m],taxa
Globorotalia (Truncorotalia) tosaensis,taxa
Genus and species indeterminate #1,taxa
Other pollen,taxa
Brigantedinium spp.,taxa
Ceratocyrtis mashae,taxa
Globigerina anguliofficinalis,taxa
Pontosphaera latelliptica,taxa
Globigerinelloides ultramicrus,taxa
Sigmoilopsis schlumbergeri,taxa
Pulleniatina primalis  _Tand B_,taxa
Racemiguembelina fructicosa,taxa
Sceptroneis sp. (small),taxa
Truncorotalia crassaconica (SIN),taxa
Hedera helix,taxa
Coccolithus spp.,taxa
Pleurostomella sp.,taxa
Globigerinella siphonifera (aequilateralis),taxa
Ammodiscus cretaceus,taxa
Bolivina minuta,taxa
Amphitetras spp.,taxa
Actinocyclus endoi,taxa
Stilostomella paleocenica,taxa
Robertina spp.,taxa
Azpeitia spp.,taxa
Globigerinoides ruber _pink_ _T_,taxa
No. specimens/tray,taxa
Globulina sp.,taxa
Ethmodiscus sp. fragments,taxa
Lenticulina iota,taxa
Globorotalia ikbei,taxa
Discanomalina semipunctata,taxa
Subbotina pseudoeocaena,taxa
Stainforthia complanata,taxa
Bekoma divaricata,taxa
Broinsonia galloisii,taxa
Patellinella spp.,taxa
Tenuitella,taxa
Morozovella crassata,taxa
Ellipsolithus bollii,taxa
Delphineis simonsenii,taxa
Sphenolithus spiniger,taxa
Chilostomella oolina,taxa
Daphne,taxa
Globigerinoidesella fistulosa _T and B_ _Pt1a_,taxa
Coronocyclus nitescens,taxa
Botryostrobus miralestensis,taxa
Asteromphalus elegans,taxa
Cibicides ihungia,taxa
Cribrostomoides subglobosus,taxa
"Neogloboquadrina pachyderma B (sinistral, inflated form)",taxa
Umbilicosphaera foliosa,taxa
Bolivina glutinata,taxa
Recurvoides sp.,taxa
Sphaeroidinellopsis paenedehiscens,taxa
Actinocyclus robustus,taxa
Spirotextularia spp.,taxa
Cibicides robertsonianus,taxa
Nonionellina labradorica,taxa
Eiffellithus angustus,taxa
Triloculinella obliquinodus,taxa
Dyctiophimus butschlii,taxa
Cycladophora  davisiana,taxa
Thoracosphaera heimii,taxa
Rhizosolenia spp. N/A,taxa
Ehrenbergina pupa?,taxa
Zeugrhabdotus scutula,taxa
Bolivina seminuda,taxa
Acarinina mckannai,taxa
Pullenia elegans,taxa
Discogypsina sp.,taxa
Cyclammina incisa,taxa
Naviculopsis foliacea,taxa
Thalassiosira vulnifica,taxa
Achnanthes lanceolata,taxa
Neosphaera coccolithomorpha,taxa
Cavitatus miocenica (Schrader),taxa
Globorotalia theyeri,taxa
Neodenticula kamtschatica,taxa
Acrosphaera collina,taxa
Discoaster tamalis,taxa
Buliminella spp.,taxa
Zygocircus cimelium,taxa
Lejeunecysta cowiei,taxa
Thalassiosira temperei,taxa
Globigerinoides obliquus,taxa
Axoprunum stauraxonium,taxa
PF preservation,taxa
"Neogloboquadrina pachyderma A (dextral, inflated form)",taxa
Nitzschia spp.,taxa
Acrosphaera inflata,taxa
Anomalinoides spissiformis,taxa
Denticulopsis crassa,taxa
Menardella multicamerata,taxa
Globorotalia excelsa _B_,taxa
Textularia pseudogramen,taxa
Gorkea spp.,taxa
Furserkoina sp.,taxa
Fohsella peripheroacuta,taxa
Praeorbulina sicana _T and B_ _M5a_,taxa
Heronallenia cf. polita,taxa
Globorotalia (Menardella) archeomenardii,taxa
Eucyrtidium nishimurae,taxa
Discoaster adamanteus,taxa
Discoaster spp. (Neogene),taxa
Alabammina dissonata,taxa
Globorotalia (Fohsella) peripheroacuta,taxa
Vulvulina pennatula,taxa
Nuttallinella sp.,taxa
Cassidulina cuneata,taxa
Gavelinopsis sp.,taxa
Gaudryina pyramidata,taxa
Lamaprocyrtis nigriniae,taxa
Cibicides sp. 1,taxa
Planularia australis,taxa
Buliminella grata,taxa
Hyperammina friabilis,taxa
Saracenaria,taxa
Thyrsocyrtis tensa,taxa
Black phytoclasts,taxa
Lophodolithus rotundus,taxa
Chrysalogonium intertenuatum,taxa
Pyrgo elongata,taxa
Quinqueloculina exmouthensis,taxa
Dictyocha deflandrei,taxa
Organic matter,taxa
Reticulofenestra sp. 1,taxa
Globigerinoides bulloideus,taxa
Octocyclus sp.,taxa
Alabamina tenuimarginata,taxa
Sliteria,taxa
Cornuspira involvens,taxa
Tetralithoides symeonidesii,taxa
Denticulopsis  cf. katayamae,taxa
Lithopera neotera,taxa
Paragloborotalia pseudokugleri _T_,taxa
Globigerinoides sicanus,taxa
Clavulina subangularis,taxa
Paragloborotalia acrostoma,taxa
Karreriella novozealandica,taxa
Uvigerina excellens,taxa
Taxodiaceae/Cupressaceae,taxa
Globorotalia (Globoconella) inflata,taxa
Algirosphaera robusta,taxa
Gephyrocapsa spp. (large >5.5 microns),taxa
Siphogenerina columellaris,taxa
Trilobatus trilobus,taxa
Eggerella spp.,taxa
Anomalinoides fasciatus,taxa
Globoturborotalita decoraperta _T and B,taxa
Stillostomellids,taxa
Globorotalia (Menardella) limbata,taxa
Elatomma penicillus,taxa
Haplophragmoides spp.,taxa
Coccolithus braarudii,taxa
Siphogeneria raphana,taxa
Frondricularia spp.,taxa
Heterohelix navarroensis,taxa
Anthocyrtidium sp.,taxa
Epithemia argus,taxa
Sphaeroidinella dehiscens,taxa
Fragilariopsis doliolus,taxa
Menardella menardii,taxa
Staurolithites,taxa
Heliolithus kleinpellii,taxa
Karreriella chapapotensis,taxa
Globoquadrina altispira altispira,taxa
Dictyococcites bisectus (>10µm),taxa
Microhedbergella pseudoplanispira,taxa
Tenuitella clemenciae,taxa
Alnus,taxa
Delphineis spp.,taxa
Epistominella spp.,taxa
Hexacontium laevigatum,taxa
Podocyrtis chalara,taxa
Siphostichoartus corona,taxa
Nuttallides umbonifera,taxa
Acarinina coalingensis,taxa
Pontosphaera millepuncta,taxa
Phormocyrtis proxima,taxa
Fursenkoina fusiformis,taxa
Pontosphaera punctosa,taxa
Pterotheca sp. A of Scherer et al. 2001,taxa
Stephanopyxis turris,taxa
Bolivina sp. (smooth flat),taxa
Sphenolithus pseudoheteromorphus,taxa
Bacteriastrum furcatum,taxa
Glencoeleberis? sp.,taxa
Rzehakina spp.,taxa
Calcarina calcar,taxa
Gephyrocapsa (<4 µm),taxa
Temperature Range,taxa
Cribrononion sp.,taxa
Sample,taxa
Chiasmolithus californicus (>13µm),taxa
Stainforthia fusiformis,taxa
Rouxia spp.,taxa
Rotalipora greenhornensis,taxa
Globigerina (Zeaglobigerina) decoraperta,taxa
Tristylospyris triceros,taxa
Lychnocanoma elongata,taxa
Distephanus speculum,taxa
Microrhabdulus decoratus,taxa
Peneroplis pertusus,taxa
Eucyrtidium pseudoinflatum,taxa
Vaginulinopsis sp.,taxa
Brizalina striatula,taxa
Reticulofenestra cisnerosii,taxa
Azpeitia aeginensis,taxa
Sphenolithus predistentus,taxa
Denticulopsis dimorpha var. areolata,taxa
Phormostichoartus doliolum,taxa
Theocalyptra davisiana,taxa
Dentoglobigerina globosa,taxa
Stichocorys spp. group,taxa
Phorticium polycladum,taxa
Rhabdammina? sp.,taxa
Guttulina yabei,taxa
Nitzschia capuluspalae,taxa
Neogloboquadrina praeatlantica,taxa
Gavelinella cf. stellula,taxa
Benthic Foraminifera group,taxa
Actinoptychus spp.,taxa
Araniscus lewisianus,taxa
Catapsydrax stainforthi,taxa
Sphenolithus pospichalii,taxa
Actinocyclus ellipticus f. lanceolata,taxa
Rhomboaster calcitrapa,taxa
Sphenolithus arthurii,taxa
Coscinodiscus radiatus,taxa
Lejeunecysta fallax,taxa
Eoglobigerina spiralis,taxa
Fohsella fohsi fohsi,taxa
Paragloborotalia semivera,taxa
Sagrinella spp.,taxa
Gaudryina sp. cf. retusa,taxa
Trinacria excavata,taxa
Sphenolithus orphanknollensis,taxa
Calciosolenia brasiliensis,taxa
Cibicidoides subhaidingerii,taxa
Pinnularia borealis,taxa
Planoheterohelix moremani,taxa
Minylitha convallis,taxa
Morozovella angulata,taxa
Fragmentation rank [auto-pop],taxa
Globigerinoides ruber,taxa
Rouxia sp. spatulate long heteropolar (MIS),taxa
Clinorhabdus anantomus,taxa
Gyroidinoides zelandicus,taxa
Paragloborotalia kugleri _T and B_,taxa
Cancris auriculus,taxa
Pullenia subcarinata,taxa
Actinocyclus moronensis,taxa
Cibicidoides aff. laurisae,taxa
Actynocyclus cf. aff. karstenii,taxa
Bomolithus elegans,taxa
Prediscosphaera columnata,taxa
Thalassiosira sp.4,taxa
Globoquadrina dehiscens _B and T_,taxa
Xanthiopyxis sp.,taxa
Zeugrhabdotus xenotus,taxa
Bolivina aliformis,taxa
Eubuliminella exilis,taxa
Vulvulina bortonica,taxa
Sigmoidella elegantissima,taxa
Discoaster musicus,taxa
Bulimina sp.,taxa
Betula,taxa
Pseudosolenia calcar-avis,taxa
Thalassiothrix robusta,taxa
Sigmavirgulina tortuosa,taxa
Globoconella puncticuloides (vaulted),taxa
Acarinina esnehensis,taxa
Acrosphaera trepanata,taxa
Heliodiscus asteriscus,taxa
Nannofossil abundance,taxa
Small Gephyrocapsa spp.,taxa
Nitzschia jouseae,taxa
Reticulofenestra pseudoumbilicus (5-7 um),taxa
Stainforthia exilis var. tenuata,taxa
Zygrhablithus bijugatus,taxa
Girgisia gammation,taxa
Discoaster neohamatus,taxa
Theocorythium vetulum,taxa
Centrobotrys gravida,taxa
Octopyle/Tetrapyle Group,taxa
Operculodinium sp.,taxa
Globigerinoides altiaperturus,taxa
Nonionella turgida,taxa
Ammodiscus spp.,taxa
Bacteriosira fragilis,taxa
Myllostomella huygaensis,taxa
Microhedbergella sp.,taxa
Podocyrtis fasciolata,taxa
Dictyophimus hirundo,taxa
Truncorotalia crassacarinina (DEX),taxa
Globorotalia conica,taxa
Bulimina costata,taxa
Calocyccletta costata,taxa
Thalassiosira mediaconvexa,taxa
Rhizosolenia hebetata f. semispina,taxa
Turborotalia frontosa,taxa
Acarinina quetra,taxa
Lophospyris pentagona hyperborea,taxa
Collonosphaera huxleyi,taxa
Bulimina glomarchallengeri,taxa
Rhaphoneis fossile,taxa
Globigerinoides altiaperturus _B,taxa
Amphistegina sp.,taxa
Textularia catenata,taxa
Rouxia antarctica,taxa
Fohsella robusta _B_ _M9b,taxa
Amaurolithus delicatus,taxa
"Reticulofenestra ""small""",taxa
Hyaline indet.,taxa
Actinocyclus ochotensis,taxa
Gephyrocapsa sp. (>5.5 microns),taxa
Dentoglobigerina altispira _T_ _PL5,taxa
Ticinella primula,taxa
Ellipsoidina sp.,taxa
Lychnocanium amphitrite,taxa
Rotelapillus laffittei,taxa
Globigerina ouachitaensis,taxa
Theocotyllissa ficus,taxa
Martinottiella hosoyaensis,taxa
Pararotalia spp.,taxa
Fragilariopsis januaria,taxa
Hayella challengeri,taxa
Chiasmolithus oamaruensis,taxa
Coscinodiscus spp.,taxa
Pulleniatina primalis,taxa
Acrosphaera? mercurius,taxa
Loxostomum truncatum,taxa
Valvulineria,taxa
Tube-shaped agglutinated forms,taxa
Tricolulina sp.,taxa
Discoaster delicatus,taxa
Phormocyrtis striata striata,taxa
Amphisphaera coronata s.l.,taxa
Cibicides refulgens,taxa
Scyphosphaera globulata,taxa
Cylindralithus nudus,taxa
Zone comment,taxa
Praeobulina glomerosa,taxa
Paragloborotalia mayeri (S),taxa
Thalassionema nitzschioides var. inflatum,taxa
Lejeunecysta sp.,taxa
Notorotalia uttleyi,taxa
Rhabdosphaera sicca,taxa
Whiteinella aumalensis,taxa
Prediscosphaera stoveri,taxa
Globoquadrina globularis,taxa
Parvicarinina alticamerata,taxa
Uniplanarius sissinghii,taxa
Uvigerina canariensis,taxa
Globigerinoides sacculifer,taxa
Globorotalia pseudomiocenica _T_ _PL6_,taxa
Acarinina densa,taxa
Deflandrea phosphoritica,taxa
Calloneis bacillum,taxa
Sphenolithus akropodus,taxa
Chiasmolithus consuetus,taxa
Acarinina acarinata,taxa
Denticulopsis crassa (closed copula),taxa
Karreriella chilostoma,taxa
Pterocorys campanula,taxa
Cyclicargolithus floridanus,taxa
Neobulimina canadaensis,taxa
Bolivinita pohana,taxa
Gephyrocapsa spp. (small <3.5 microns),taxa
Cibicides novozelandicus,taxa
Calluna,taxa
Globorotalia scitula,taxa
Gyphyrocapsa oceania,taxa
Corbisema flexuosa,taxa
Thalassiosira spinosa,taxa
Cyclammina amplectens,taxa
Dentoglobigerina venezuelana,taxa
Lithelius barbatus Motoyama,taxa
Valerianaceae,taxa
Ceratolithoides kamptneri,taxa
Globorotalia truncatulinoides (dex),taxa
Cassidulina crassa,taxa
Spongurus pylomaticus,taxa
Velicucullus sp. cf. oddgurneri,taxa
Globorotalites sp.,taxa
Bolivina sp. (crenulate),taxa
Globanomalina ehrenbergi,taxa
Laeviheterohelix dentata,taxa
Thalassiosira sp.6,taxa
Thalassiosira bioculata,taxa
Pseudammodochium lingii,taxa
Rouxia diploneides,taxa
Centrobotrys petrushevskayae,taxa
Shionodiscus spp.,taxa
Syracosphaera pulchra,taxa
Subbotina hornibrooki,taxa
Pyrgoella sp.,taxa
Axoprunum sp. ?,taxa
Marginulina spp.,taxa
Argilloecia spp.,taxa
Pontosphaera sp.,taxa
Morozovella pasionensis,taxa
Odontella spp.,taxa
Quadrum gartneri,taxa
Costellagerina pilula,taxa
Sphenolithus furcatolithoides morph A,taxa
Nitzschia bicapitata,taxa
Cussia lancettula,taxa
Neogloboquadrina pachyderma,taxa
Pyrgo subsphaerica,taxa
Labl ID,taxa
Catapsydrax taroubaensis,taxa
Sphenolithus spp.,taxa
Morozovella gracilis,taxa
Acrosphaera spinosa echinoides,taxa
Trilobatus trilobus _B_,taxa
Dictyococcites productus,taxa
Bolivinopsis compta,taxa
Actinomma boreale,taxa
Ramulina,taxa
Archaeoglobigerina blowi,taxa
Azpeitia apiculata,taxa
Diploneis elliptica,taxa
Amphicraspedum murrayanum,taxa
Discoaster sanmiguelensis,taxa
Rhizosolenia sp. C,taxa
Planulina sp.,taxa
Neochiastozygus modestus,taxa
Whiteinella paradubia,taxa
Elphidiella sp.,taxa
Falsotruncana maslakovae,taxa
Discoaster salisburgensis,taxa
Laevidentalina sp.,taxa
Broinsonia parca ssp expansa,taxa
Vertebralina sp.,taxa
Zone name,taxa
Theocyrtis setanios n. sp.,taxa
Globotruncanita stuarti,taxa
Helicosphaera vedderi,taxa
Catapsydrax unicavus,taxa
Globorotalia peripheroacuta,taxa
Anomalina praeacuta,taxa
Fohsella peripheroacuta _B_,taxa
Virgulopsis spp.,taxa
Solenosphaera omnitubus omnitubus,taxa
Trochammina globigeriniformis,taxa
Hantkenina spp.,taxa
Hantkenina dumblei,taxa
Discoaster pentaradiatus,taxa
Stichocorys seriata,taxa
Biscutum spp.,taxa
Denticulopsis hustedtii (elliptical),taxa
Fasciculithus shaubii,taxa
Heterohelix punctulata,taxa
Dicarinella canaliculata,taxa
Marginotruncana coldreriensis,taxa
Bacteriastrum spp.,taxa
Martinottiella spp.,taxa
Theocyrtis tuberosa,taxa
Neoeponides spp.?,taxa
Miliammina sp.,taxa
Calcidiscus quadriperforatus,taxa
Valvulineria glabra,taxa
Others,taxa
Globigerinopsis obesa,taxa
Fasciculithus magnus,taxa
Cyrtocapsella japonica,taxa
Actinoptychus splendens,taxa
Enneadocysta dictyostila,taxa
Spiroplectammina steinekei,taxa
Siphonina sp.,taxa
Tappanina laciniosa,taxa
Nodosarella robusta,taxa
Subbotina corpulenta (Subbotina) 1953 p 76-78 pl IX figs 5-7 pl X figs 2-4,taxa
Euuvigerina bortotara,taxa
Textularia secasensis,taxa
Chiasmolithus solitus,taxa
Cassidulina spp.,taxa
Lychnocanoma parallelipes,taxa
Nitzschia panduriformis var. minor,taxa
Neorotalia spp.,taxa
Cribromiliolinella sp.,taxa
Ceratobulimina jonesiana,taxa
Eucyrtidium matuyamai,taxa
Quinqueloculina neocostata,taxa
other pollen,taxa
Buryella pentadica,taxa
Globorotalia archeomenardii _T and B,taxa
Pseudouvigerina spp.,taxa
Bolivinita quadrilatera,taxa
Cornuspira sp.,taxa
Fragilariopsis linearis,taxa
Dentalina spp.,taxa
Thalassiosira mahoodii,taxa
Globorotalia lenguaensis,taxa
Globulotuba sp.,taxa
Gyroidinoides depressus,taxa
Cystophormis brevispina,taxa
Nummulites sp.,taxa
Cyclotella spp.,taxa
Pleurostomella,taxa
Hopkinsina mioindex,taxa
Praeorbulina curva,taxa
Cycladophora conica,taxa
Globigerinoides conglobatus,taxa
Batiacasphaera sphaerica,taxa
Catapsydrax africanus,taxa
Cestodiscus spp.,taxa
Discoaster bergenii,taxa
Ammosphaeroidina pseudopauciloculata,taxa
Cycladophora pliocenica,taxa
Discoaster hamatus,taxa
Larcopyle weddellium,taxa
Globorotalia truncatulinoides (sin),taxa
Neodenticula spp.,taxa
Gephyrocapsa sp.,taxa
Scyphosphaera spp.,taxa
Globoconella zealandica,taxa
Helicosphaera orientalis,taxa
Catinaster calyculus,taxa
Leptocylindrus spp.,taxa
Dictyococcites antarcticus,taxa
Anomalinoides semicribratus,taxa
Eprolithus octopetalus,taxa
Azpeitia salisburyana,taxa
Asphodelus,taxa
Globorotalia hirsuta (sin),taxa
Planogypsina sp. 1,taxa
Thalassiosira sp.5,taxa
Elphidium excavatum,taxa
Ethmodiscus sp.,taxa
Fissurina cf. radiata,taxa
Discoaster quinqueramus,taxa
Saracenaria sp.,taxa
Cibicidoides cf. ungerianus,taxa
Martinotiella nodulosa,taxa
Tryblionella spp.,taxa
Cruciplacolithus intermedius,taxa
Vaginulina subelegans,taxa
Datum group code,taxa
Carpocanopsis cingulata,taxa
