Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thoracosphaera spp.	Sphenolithus moriformis	Reticulofenestra umbilica	Discoaster barbadiensis	Coccolithus pelagicus	Coccolithus formosus	Chiasmolithus titus	Chiasmolithus solitus	Zygrhablithus bijugatus	Helicosphaera compacta	Discoaster tanii	Discoaster saipanensis	Cyclicargolithus floridanus	Coccolithus eopelagicus	Chiasmolithus grandis	Braarudosphaera spp.	Sphenolithus pseudoradians	Sphenolithus predistentus	Reticulofenestra bisecta	Pontosphaera spp.	Helicosphaera reticulata	Campylosphaera dela	Cribrocentrum reticulatum	Coronocyclus nitescens	Discoaster deflandrei	Clausicoccus fenestratus	Cyclicargolithus abisectus	Sphenolithus distentus	Helicosphaera recta	Micrantholithus flos	Triquetrorhabdulus carinatus	Sphenolithus ciperoensis	Discoaster variabilis	Discoaster triradiatus	Discoaster pentaradiatus	Discoaster neohamatus	Discoaster hamatus	Discoaster brouweri	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster berggrenii	Triquetrorhabdulus rugosus	Discoaster surculus	Discoaster quinqueramus	Amaurolithus primus	Amaurolithus delicatus	Sphenolithus abies	Reticulofenestra pseudoumbilica	Discoaster asymmetricus	Scyphosphaera spp.	Rhabdosphaera clavigera	Crenalithus doronicoides	Ceratolithus acutus	Discoaster tamalis	Ceratolithus cristatus	Amaurolithus tricorniculatus	Helicosphaera carteri	Hayaster perplexus	Ceratolithus armatus	Pseudoemiliania lacunosa	Discoaster bollii	Ceratolithus rugosus	Helicosphaera sellii	Umbilicosphaera sibogae	Scapholithus fossilis	Pontosphaera japonica	Gephyrocapsa oceanica	Gephyrocapsids (small)	Gephyrocapsa caribbeanica	Comment

  SR	Early Oligocene  	                 	CP18              	              	110	 672	A	 36	X	 4	  48.00	    327.7800	Clark    	Nannofossils                                 	F              	P                 	                   	                       	                         	                       	                     	                    	                   	                     	                       	                      	                	                      	F                          	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	R                         	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Oligocene  	                 	CP18              	              	110	 672	A	 36	X	 5	  48.00	    329.2800	Clark    	Nannofossils                                 	C              	M                 	F                  	A                      	                         	                       	A                    	                    	                   	                     	R                      	C                     	F               	                      	A                          	F                      	                     	R                   	F                         	C                        	F                       	F                	                        	                   	                         	F                     	C                    	F                       	C                         	F                     	C                  	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Oligocene  	                 	CP18              	              	110	 672	A	 36	X	 6	  48.00	    330.7800	Clark    	Nannofossils                                 	C              	P                 	F                  	C                      	rR                       	                       	A                    	                    	                   	                     	                       	F                     	R               	                      	A                          	F                      	                     	F                   	R                         	C                        	F                       	F                	                        	                   	                         	                      	C                    	                        	C                         	R                     	F                  	R                   	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Oligocene  	                 	CP18              	              	110	 672	A	 37	X	 1	  67.00	    332.9700	Clark    	Nannofossils                                 	C              	M                 	F                  	A                      	rR                       	                       	A                    	rR                  	                   	                     	R                      	C                     	R               	                      	A                          	F                      	                     	                    	R                         	C                        	F                       	F                	                        	                   	                         	                      	C                    	F                       	F                         	R                     	R                  	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Oligocene        	                 	CP16              	              	110	 672	A	 37	X	 6	  67.00	    340.4700	Clark    	Nannofossils                                 	C              	P                 	                   	                       	F                        	                       	A                    	                    	                   	                     	                       	                      	F               	                      	A                          	F                      	                     	                    	                          	F                        	F                       	                 	                        	                   	                         	                      	C                    	                        	F                         	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Eocene           	                 	CP15              	              	110	 672	A	 39	X	 2	  26.00	    353.0600	Clark    	Nannofossils                                 	C              	P                 	F                  	C                      	C                        	R                      	A                    	C                   	                   	                     	R                      	F                     	F               	R                     	A                          	F                      	                     	                    	                          	F                        	C                       	F                	F                       	                   	                         	                      	F                    	F                       	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Eocene           	                 	CP15              	              	110	 672	A	 40	X	 1	 102.00	    361.8200	Clark    	Nannofossils                                 	C              	P                 	F                  	F                      	C                        	F                      	A                    	C                   	R                  	rR                   	                       	F                     	F               	F                     	A                          	C                      	                     	                    	                          	R                        	C                       	                 	                        	                   	F                        	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Eocene           	                 	CP15              	              	110	 672	A	 40	X	 2	 102.00	    363.3200	Clark    	Nannofossils                                 	C              	M                 	F                  	F                      	F                        	C                      	A                    	C                   	                   	                     	R                      	R                     	F               	C                     	A                          	F                      	                     	                    	R                         	                         	C                       	F                	C                       	                   	F                        	                      	F                    	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Eocene           	                 	CP15              	              	110	 672	A	 40	X	 3	 102.00	    364.8200	Clark    	Nannofossils                                 	C              	P                 	                   	                       	C                        	F                      	C                    	C                   	                   	                     	                       	R                     	F               	F                     	C                          	F                      	                     	                    	                          	                         	F                       	R                	                        	                   	F                        	                      	F                    	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Eocene           	                 	CP15              	              	110	 672	A	 40	X	 4	 102.00	    366.3200	Clark    	Nannofossils                                 	C              	P                 	F                  	F                      	C                        	F                      	A                    	C                   	                   	                     	                       	R                     	R               	F                     	A                          	F                      	                     	                    	R                         	                         	C                       	F                	F                       	                   	C                        	                      	F                    	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Eocene           	                 	CP15              	              	110	 672	A	 40	X	 5	  13.00	    366.9300	Clark    	Nannofossils                                 	C              	P                 	F                  	C                      	C                        	F                      	C                    	C                   	R                  	                     	                       	R                     	R               	R                     	C                          	C                      	                     	                    	R                         	                         	C                       	C                	F                       	                   	C                        	R                     	                     	R                       	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Middle Eocene    	                 	CP14b             	              	110	 672	A	 40	X	 6	  44.00	    368.7400	Clark    	Nannofossils                                 	C              	P                 	F                  	C                      	C                        	C                      	C                    	C                   	                   	                     	R                      	                      	                	F                     	C                          	C                      	R                    	                    	                          	                         	C                       	F                	F                       	R                  	C                        	                      	F                    	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Middle Eocene    	                 	CP14b             	              	110	 672	A	 40	X	CC	  27.00	    370.3500	Clark    	Nannofossils                                 	F              	P                 	F                  	                       	F                        	                       	R                    	R                   	                   	rR                   	                       	                      	                	                      	F                          	                       	R                    	R                   	                          	                         	R                       	R                	R                       	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Middle Eocene    	                 	CP14b             	              	110	 672	A	 41	X	 1	 110.00	    371.4000	Clark    	Nannofossils                                 	F              	P                 	F                  	F                      	F                        	                       	F                    	R                   	                   	                     	                       	                      	                	                      	F                          	F                      	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Middle Eocene    	                 	CP14b             	              	110	 672	A	 41	X	 2	 147.00	    373.2700	Clark    	Nannofossils                                 	C              	P                 	F                  	F                      	C                        	F                      	C                    	C                   	R                  	                     	R                      	R                     	R               	F                     	A                          	F                      	R                    	                    	R                         	R                        	F                       	F                	F                       	                   	C                        	                      	F                    	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Middle Eocene    	                 	CP14b             	              	110	 672	A	 41	X	CC	  18.00	    373.4800	Clark    	Nannofossils                                 	C              	P                 	F                  	C                      	C                        	                       	C                    	C                   	                   	                     	                       	F                     	                	                      	C                          	F                      	                     	                    	                          	                         	F                       	R                	R                       	                   	C                        	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Middle Eocene    	                 	CP14b             	              	110	 672	A	 42	X	 1	  87.00	    380.6700	Clark    	Nannofossils                                 	F              	P                 	F                  	                       	                         	R                      	F                    	F                   	                   	                     	                       	                      	                	                      	C                          	F                      	                     	                    	                          	                         	F                       	R                	                        	                   	F                        	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Middle Eocene    	                 	CP14b             	              	110	 672	A	 42	X	 3	 137.00	    384.1700	Clark    	Nannofossils                                 	F              	P                 	                   	C                      	C                        	R                      	C                    	C                   	                   	                     	                       	R                     	                	                      	C                          	F                      	                     	                    	                          	                         	F                       	                 	                        	                   	C                        	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Middle Eocene    	                 	CP14b             	              	110	 672	A	 42	X	CC	  19.00	    386.4900	Clark    	Nannofossils                                 	C              	P                 	F                  	F                      	C                        	R                      	C                    	F                   	R                  	rR                   	R                      	F                     	                	F                     	                           	F                      	R                    	                    	                          	R                        	F                       	R                	                        	                   	C                        	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Middle Eocene    	                 	CP14b             	              	110	 672	A	 43	X	 3	  76.00	    393.0600	Clark    	Nannofossils                                 	F              	P                 	F                  	R                      	F                        	R                      	F                    	C                   	                   	                     	                       	F                     	                	R                     	F                          	F                      	R                    	                    	                          	                         	                        	R                	                        	                   	F                        	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Middle Eocene    	                 	CP14b             	              	110	 672	A	 43	X	 4	  76.00	    394.5600	Clark    	Nannofossils                                 	C              	P                 	F                  	F                      	C                        	F                      	C                    	C                   	                   	                     	                       	C                     	                	F                     	A                          	C                      	                     	                    	R                         	                         	F                       	F                	                        	                   	C                        	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Middle Eocene    	                 	CP14b             	              	110	 672	A	 43	X	 5	  76.00	    396.0600	Clark    	Nannofossils                                 	C              	P                 	F                  	F                      	C                        	F                      	C                    	C                   	                   	                     	                       	F                     	                	F                     	C                          	F                      	                     	                    	                          	                         	F                       	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Middle Eocene    	                 	CP14b             	              	110	 672	A	 43	X	 6	  76.00	    397.5600	Clark    	Nannofossils                                 	C              	P                 	F                  	F                      	C                        	F                      	C                    	C                   	                   	                     	                       	F                     	                	F                     	F                          	C                      	                     	                    	                          	                         	F                       	                 	                        	                   	                         	                      	R                    	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Middle Eocene    	                 	CP14b             	              	110	 672	A	 44	X	 1	  49.00	    399.2900	Clark    	Nannofossils                                 	C              	P                 	F                  	F                      	F                        	F                      	C                    	C                   	R                  	                     	                       	F                     	                	F                     	C                          	C                      	R                    	                    	R                         	                         	C                       	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Middle Eocene    	                 	CP14b             	              	110	 672	A	 44	X	 2	  59.00	    400.8900	Clark    	Nannofossils                                 	C              	M                 	F                  	C                      	C                        	C                      	C                    	C                   	F                  	                     	F                      	F                     	                	C                     	A                          	C                      	R                    	R                   	F                         	                         	C                       	F                	R                       	                   	R                        	R                     	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.
