Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Haplophragmoides sp.	Cyclammina spp.	Bathysiphon sp. 	Trochammina sp.	Spiroplectammina spectabilis	Ammodiscus sp.	Cyclammina amplectans	Cribrostomoides sp.	Tubes (unspecified)	Trochammina spp.	Haplophragmoides spp.	Spirolocammina sp.	Rhabdammina spp.	Recurvoides sp.	Spirosigmoilinella sp.	Melonis zaandamae	Epistominella exigua	Cibicidoides grimsdalei	Anomalinoides alazanensis	Spirosigmoilinella spp.	Cibicides spp.	Cassidulina subglobosa	Cassidulina laevigata	Oridorsalis umbonatus	Eponides umbonatus	Cibicides wuellerstorfi	Stainforthia loeblichi	Cassidulina reniforme	Pyrgo murrhina	Comment

  SR	                 	                 	C2                	              	104	 643	A	 29	X	 6	  75.00	    272.1500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 29	X	CC	  11.00	    273.4100	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	.6%               	                	               	2.7%                  	2.0%             	                    	                       	                         	                       	5.4%          	49.6%                 	1.3%                 	                     	                  	                       	                      	                     	              	Other taxa = 39.4%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	C2                	              	104	 643	A	 29	X	CC	  39.00	    273.6900	Osterman 	Benthic Foraminifers                         	R              	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	T                      	              	                      	                     	                     	                  	                       	                      	                     	              	Benthic forams = 100; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	C2                	              	104	 643	A	 31	X	CC	  26.00	    293.1500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 32	X	 3	  74.00	    297.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 33	X	 2	  75.00	    305.3500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 34	X	CC	  20.00	    316.7600	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C2                	              	104	 643	A	 35	X	CC	  18.00	    326.2200	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	D1                	              	104	 643	A	 35	X	CC	  42.00	    326.4600	Osterman 	Benthic Foraminifers                         	R              	M                 	                    	T              	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Benthic forams = 100; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	D2                	D1            	104	 643	A	 36	X	 1	  80.00	    333.3000	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	                	+                    	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 36	X	 2	  80.00	    334.8000	Osterman 	Benthic Foraminifers                         	               	                  	                    	+              	                	               	                            	              	                     	                   	+                  	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 36	X	 3	  80.00	    336.3000	Osterman 	Benthic Foraminifers                         	               	                  	                    	+              	                	               	                            	              	                     	                   	+                  	                	+                    	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 36	X	 5	  80.00	    339.3000	Osterman 	Benthic Foraminifers                         	               	                  	                    	+              	                	               	                            	              	                     	                   	+                  	                	+                    	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 36	X	CC	  12.00	    341.0800	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	                	+                    	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 37	X	 3	  69.00	    345.9900	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	                	+                    	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 37	X	CC	  26.00	    348.3600	Osterman 	Benthic Foraminifers                         	               	                  	                    	+              	                	               	                            	              	                     	                   	+                  	                	+                    	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 38	X	 2	  76.00	    354.3600	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	                	+                    	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 39	X	 1	  75.00	    362.5500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	+                    	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 42	X	 3	  78.00	    394.4800	Osterman 	Benthic Foraminifers                         	               	                  	                    	+              	                	               	                            	              	                     	                   	                   	                	+                    	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	D1                	              	104	 643	A	 43	X	CC	  38.00	    400.7800	Osterman 	Benthic Foraminifers                         	R              	M                 	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	T                      	T                        	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other benthic species = T; Benthic forams = ~100%; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	D2                	D1            	104	 643	A	 44	X	 1	  75.00	    410.7500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	+               	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 44	X	 2	  75.00	    412.2500	Osterman 	Benthic Foraminifers                         	               	                  	                    	7.0%           	                	               	                            	              	                     	                   	30.0%              	                	12.0%                	7.0%              	                	               	7.0%                  	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 37%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 44	X	 3	  75.00	    413.7500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	+               	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 44	X	 4	  75.00	    415.2500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	32.0%              	                	21.0%                	1.0%              	                	               	16.0%                 	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 30%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 44	X	 5	  75.00	    416.7500	Osterman 	Benthic Foraminifers                         	               	                  	                    	3.4%           	                	               	                            	              	                     	                   	10.2%              	22.0%           	4.2%                 	45.8%             	                	               	6.8%                  	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa =8.5%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 44	X	 6	  75.00	    418.2500	Osterman 	Benthic Foraminifers                         	               	                  	                    	2.0%           	                	               	                            	              	                     	                   	13.0%              	                	7.0%                 	25.0%             	                	               	18.0%                 	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 35%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 44	X	CC	  10.00	    419.5600	Osterman 	Benthic Foraminifers                         	               	                  	                    	+              	                	               	                            	              	                     	                   	+                  	+               	+                    	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	D1                	              	104	 643	A	 44	X	CC	  33.00	    419.7900	Osterman 	Benthic Foraminifers                         	F              	P                 	T                   	               	                	T              	                            	T             	                     	                   	                   	                	                     	                  	                	T              	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other benthic species = T; Benthic forams = 92%; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	D2                	D1            	104	 643	A	 45	X	 1	  74.00	    420.4400	Osterman 	Benthic Foraminifers                         	               	                  	                    	+              	                	               	                            	              	                     	                   	+                  	+               	+                    	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 45	X	 2	  74.00	    421.9400	Osterman 	Benthic Foraminifers                         	               	                  	                    	5.5%           	                	               	                            	              	                     	                   	24.6%              	21.0%           	8.2%                 	8.2%              	                	               	8.5%                  	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 16.4%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 45	X	 3	  74.00	    423.4400	Osterman 	Benthic Foraminifers                         	               	                  	                    	6.0%           	                	               	                            	              	                     	                   	24.0%              	3.0%            	8.0%                 	27.0%             	                	               	10.0%                 	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 22%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 45	X	 4	  74.00	    424.9400	Osterman 	Benthic Foraminifers                         	               	                  	                    	13.0%          	                	               	                            	              	                     	                   	24.0%              	8.2%            	1.4%                 	24.7%             	                	               	17.8%                 	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 9.6%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 45	X	 5	  74.00	    426.4400	Osterman 	Benthic Foraminifers                         	               	                  	                    	3.0%           	                	               	                            	              	                     	                   	26.0%              	1.0%            	16.0%                	14.0%             	                	               	6.0%                  	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 34%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 45	X	 6	  74.00	    427.9400	Osterman 	Benthic Foraminifers                         	               	                  	                    	+              	                	               	                            	              	                     	                   	+                  	+               	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 45	X	CC	  10.00	    428.3800	Osterman 	Benthic Foraminifers                         	               	                  	                    	4.0%           	                	               	                            	              	                     	                   	22.0%              	1.0%            	2.0%                 	16.0%             	                	               	1.0%                  	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 54%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 46	X	 1	  75.00	    430.1500	Osterman 	Benthic Foraminifers                         	               	                  	                    	37.0%          	                	               	                            	              	                     	                   	23.9%              	6.5%            	2.2%                 	1.1%              	                	               	8.7%                  	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 19.6%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 46	X	 2	  75.00	    431.6500	Osterman 	Benthic Foraminifers                         	               	                  	                    	7.0%           	                	               	                            	              	                     	                   	17.0%              	                	24.0%                	7.0%              	                	               	12.0%                 	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 33%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 46	X	 3	  75.00	    433.1500	Osterman 	Benthic Foraminifers                         	               	                  	                    	16.4%          	                	               	                            	              	                     	                   	19.6%              	6.4%            	8.5%                 	25.9%             	                	               	4.2%                  	                 	.5%                 	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 14.3%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 46	X	 4	  75.00	    434.6500	Osterman 	Benthic Foraminifers                         	               	                  	                    	5.0%           	                	               	                            	              	                     	                   	23.0%              	4.0%            	5.0%                 	12.0%             	                	               	2.0%                  	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 49%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 46	X	 5	  75.00	    436.1500	Osterman 	Benthic Foraminifers                         	               	                  	                    	36.4%          	                	               	                            	              	                     	                   	29.9%              	5.8%            	5.2%                 	1.9%              	                	               	3.9%                  	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 18.2%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 46	X	CC	  13.00	    438.8800	Osterman 	Benthic Foraminifers                         	               	                  	                    	21.4%          	                	               	                            	              	                     	                   	23.8%              	12.0%           	13.1%                	3.6%              	                	               	10.7%                 	3.6%             	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 11.9%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 47	X	 1	  75.00	    439.8500	Osterman 	Benthic Foraminifers                         	               	                  	                    	7.0%           	                	               	                            	              	                     	                   	20.0%              	4.0%            	7.0%                 	5.0%              	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 57%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 47	X	 2	  75.00	    441.3500	Osterman 	Benthic Foraminifers                         	               	                  	                    	24.9%          	                	               	                            	              	                     	                   	50.0%              	3.6%            	11.9%                	.6%               	                	               	.6%                   	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 8.9%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 47	X	 3	  75.00	    442.8500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	29.0%              	                	12.0%                	2.0%              	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 57%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 47	X	 4	  75.00	    444.3500	Osterman 	Benthic Foraminifers                         	               	                  	                    	31.8%          	                	               	                            	              	                     	                   	22.2%              	4.2%            	13.0%                	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 28.9%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 47	X	 5	  75.00	    445.8500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	28.0%              	                	34.0%                	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 38%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 47	X	 6	  75.00	    447.3500	Osterman 	Benthic Foraminifers                         	               	                  	                    	+              	                	               	                            	              	                     	                   	+                  	+               	+                    	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 47	X	CC	  21.00	    448.7100	Osterman 	Benthic Foraminifers                         	               	                  	                    	3.0%           	                	               	                            	              	                     	                   	19.0%              	3.0%            	24.0%                	1.0%              	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 50%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	D2                	              	104	 643	A	 47	X	CC	  37.00	    448.8700	Osterman 	Benthic Foraminifers                         	F              	P                 	T                   	               	                	               	                            	              	T                    	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other benthic species = T; Benthic forams = 100%; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	D2                	D1            	104	 643	A	 48	X	 1	  75.00	    449.4500	Osterman 	Benthic Foraminifers                         	               	                  	                    	8.1%           	                	               	                            	              	                     	                   	46.9%              	4.5%            	25.2%                	                  	                	               	4.5%                  	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 10.8%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 48	X	 2	  75.00	    450.9500	Osterman 	Benthic Foraminifers                         	               	                  	                    	1.0%           	                	               	                            	              	                     	                   	15.0%              	2.0%            	16.0%                	1.0%              	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 65%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 48	X	 3	  75.00	    452.4500	Osterman 	Benthic Foraminifers                         	               	                  	                    	19.8%          	                	               	                            	              	                     	                   	48.8%              	1.2%            	10.5%                	3.5%              	                	               	2.3%                  	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 14.9%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 48	X	 4	  75.00	    453.9500	Osterman 	Benthic Foraminifers                         	               	                  	                    	4.0%           	                	               	                            	              	                     	                   	7.0%               	                	25.0%                	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 64%; from ODP 104 SR Chapter 37 Table 5 p 757-762
