Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygodiscus sigmoides,Toweius pertusus,Prinsius martinii,Prinsius bisulcus,Neocrepidolithus sp.,Neochiastozygus concinnus,Neochiastozygus chiastus,Cruciplacolithus subrotundus,Cruciplacolithus primus (large),Coccolithus pelagicus,Ericsonia subpertusa,Cruciplacolithus tenuis,Cruciplacolithus primus (small),Chiasmolithus danicus,Fasciculithus tympaniformis,Ellipsolithus macellus,Zygodiscus herlynii,Toweius eminens,Sphenolithus orphanknollensis,Sphenolithus anarrhopus,Neococcolithes protenus,Neochiastozygus junctus,Markalius inversus,Ericsonia robusta,Discoaster nobilis,Chiasmolithus consuetus,Chiasmolithus bidens,Zygodiscus adamas,Transversopontis pulcher,Toweius tovae,Semihololithus kerabyi,Semihololithus biskayae,Scapholithus rhombiformis,Prinsius spp.,Neochiastozygus distentus,Lophodolithus nascens,Heliolithus riedelii,Fasciculithus schaubii,Fasciculithus richardii,Fasciculithus involutus,Fasciculithus hayi,Ericsonia formosa,Ellipsolithus distichus,Discoaster salisburgensis,Discoaster multiradiatus,Discoaster mohleri,Cruciplacolithus frequens,Cruciplacolithus cribellum,Coronocyclus prionion,Chiasmolithus californicus,Campylosphaera eodela,Biscutum sp.,Transversopontis pulcheroides,Rhomboaster cuspis,Pontosphaera rimosa,Discoaster limbatus,Transversopontis rectipons,Transversopontis pax,Rhomboaster bitrifida,Pontosphaera plana,Neochiastozygus rosenkrantzii,Fasciculithus clinatus,Discoaster megastypus,Discoaster falcatus,Discoaster delicatus,Scapholithus fossilis,Rhomboaster calcitrapa,Pontosphaera punctosa,Hornibrookina australis,Fasciculithus bobii,Discoaster mahmoudii,Transversopontis exilis,Sphenolithus moriformis,Cruciplacolithus spp.,Chiasmolithus eograndis,Campylosphaera dela,Toweius callosus,Tribrachiatus bramlettei,Toweius occultatus,Discoaster binodosus,Zygrhablithus bijugatus,Sphenolithus sp. 1,Discoaster diastypus,Discoaster barbadiensis,Chiasmolithus solitus,Tribrachiatus contortus,Sphenolithus editus,Sphenolithus radians,Pedinocyclus larvalis,Chiasmolithus grandis,Braarudosphaera bigelowii,Tribrachiatus orthostylus,Sphenolithus conspicuus,Discoaster elegans,Toweius gammation,Pontosphaera pectinata,Discoaster lodoensis,Discoaster kuepperi,Neococcolithes dubius,Ericsonia pacifica,Toweius crassus,Micrantholithus flos,Helicosphaera seminulum,Helicosphaera lophota,Cyclolithella kalianata,Sphenolithus spiniger,Sphenolithus furcatolithoides,Reticulofenestra samodurovii,Reticulofenestra dictyoda,Pseudotriquetrorhabdulus inversus,Nannotetrina sp. (small),Nannotetrina alata,Markalius sp. 2,Markalius sp. 1,Holococcolith type A,Discoaster saipanensis,Discoaster deflandrei,Cyclicargolithus floridanus,Cruciplacolithus vanheckae,Cruciplacolithus staurion,Coccolithus eopelagicus,Chiasmolithus titus,Chiasmolithus gigas,Calcidiscus protoannulus,Bramletteius serraculoides,Sphenolithus pseudoradians,Rhabdosphaera tenuis,Pontosphaera segmenta,Pontosphaera scissura,Pontosphaera formosa,Lanternithus minutus,Helicosphaera heezenii,Calcidiscus kingii,Toweius? sp. 1,Pontosphaera bicaveata,Micrantholithus altus,Discoaster bifax,Ericsonia obruta,Coccolithus sp.1,Chiasmolithus expansus,Lophodolithus acutus,Discoaster tanii,Reticulofenestra umbilica,Discoaster nodifer,Cribrocentrum reticulatum,Sphenolithus obtusus,Sphenolithus intercalaris,Helicosphaera reticulata,Helicosphaera compacta,Dictyococcites scrippsae,Dictyococcites bisectus,Hayella situliformis,Coronocyclus nitescens,Ericsonia subdisticha,Isthmolithus recurvus,Sphenolithus predistentus,Peritrachelina joidesa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP13c             ,              ,115, 707,C, 10,R,CC,   8.00,    267.1000,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,6.0%                 ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,F                 ,                 ,                  ,F                      ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,1.0%             ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,1.0%                   ,F                    ,                       ,3.0%               ,                ,                        ,                  ,                    ,4.0%                   ,                  ,                    ,6.0%                   ,F                    ,                       ,                   ,F                   ,F                    ,F                    ,R                        ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,1.0%              ,               ,                    ,F                      ,F                    ,                       ,5.0%                 ,6.0%                         ,F                           ,2.0%                     ,3.0%                             ,R                       ,R                 ,F              ,1.0%           ,F                   ,1.0%                  ,R                    ,44.0%                      ,R                         ,F                        ,1.0%                   ,F                  ,                   ,F                       ,F                         ,                          ,                    ,R                    ,F                    ,F                   ,F                   ,1.0%                  ,R                 ,1.0%          ,R                     ,                     ,2.0%            ,                ,R               ,R                     ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP13c             ,              ,115, 707,C, 11,R, 1,  50.00,    271.1000,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,4.0%                 ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,1.0%              ,                 ,                  ,R                      ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,F                ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,4.0%                   ,F                    ,                       ,F                  ,                ,                        ,                  ,                    ,6.0%                   ,                  ,                    ,5.0%                   ,F                    ,                       ,                   ,1.0%                ,1.0%                 ,F                    ,F                        ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,F                 ,               ,                    ,R                      ,F                    ,F                      ,3.0%                 ,7.0%                         ,                            ,1.0%                     ,3.0%                             ,R                       ,R                 ,F              ,F              ,F                   ,F                     ,F                    ,46.0%                      ,F                         ,2.0%                     ,1.0%                   ,F                  ,                   ,F                       ,2.0%                      ,R                         ,                    ,                     ,F                    ,R                   ,F                   ,1.0%                  ,R                 ,F             ,                      ,                     ,R               ,R               ,F               ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP13c             ,              ,115, 707,C, 11,R,CC,   9.00,    271.7300,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,8.0%                 ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,1.0%              ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,2.0%             ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,6.0%                   ,F                    ,                       ,2.0%               ,                ,                        ,                  ,                    ,5.0%                   ,                  ,                    ,12.0%                  ,1.0%                 ,                       ,                   ,F                   ,1.0%                 ,F                    ,F                        ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,R                 ,               ,                    ,R                      ,1.0%                 ,R                      ,9.0%                 ,3.0%                         ,F                           ,2.0%                     ,5.0%                             ,F                       ,R                 ,F              ,F              ,F                   ,F                     ,F                    ,30.0%                      ,F                         ,F                        ,2.0%                   ,1.0%               ,                   ,1.0%                    ,1.0%                      ,                          ,                    ,R                    ,F                    ,R                   ,F                   ,F                     ,                  ,F             ,R                     ,R                    ,R               ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP13b             ,              ,115, 707,C, 12,R, 1,  30.00,    280.6000,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,12.0%                ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,R                 ,                 ,                  ,R                      ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,3.0%             ,                       ,                         ,                        ,                  ,                         ,R                         ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,2.0%                   ,F                    ,                       ,1.0%               ,                ,                        ,                  ,                    ,4.0%                   ,                  ,                    ,9.0%                   ,1.0%                 ,                       ,                   ,F                   ,5.0%                 ,1.0%                 ,F                        ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,R                 ,               ,                    ,F                      ,F                    ,                       ,3.0%                 ,6.0%                         ,F                           ,2.0%                     ,6.0%                             ,F                       ,R                 ,R              ,1.0%           ,F                   ,F                     ,F                    ,31.0%                      ,R                         ,1.0%                     ,F                      ,F                  ,R                  ,1.0%                    ,F                         ,R                         ,R                   ,R                    ,F                    ,R                   ,F                   ,R                     ,R                 ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP13b             ,              ,115, 707,C, 12,R, 1,  66.00,    280.9600,Okada    ,Nannofossils                                 ,C              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,5.0%                 ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,                  ,                 ,                  ,F                      ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,4.0%             ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,2.0%                   ,F                    ,                       ,F                  ,                ,                        ,                  ,                    ,2.0%                   ,                  ,                    ,7.0%                   ,F                    ,                       ,                   ,F                   ,1.0%                 ,1.0%                 ,F                        ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,F                 ,               ,                    ,                       ,                     ,R                      ,3.0%                 ,1.0%                         ,1.0%                        ,3.0%                     ,7.0%                             ,F                       ,R                 ,R              ,F              ,1.0%                ,1.0%                  ,F                    ,53.0%                      ,F                         ,1.0%                     ,F                      ,F                  ,R                  ,F                       ,F                         ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP11              ,              ,115, 707,C, 13,R, 1,  20.00,    290.0000,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,14.0%                ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,F                            ,                       ,R                      ,                       ,F                 ,                 ,                  ,F                      ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,15.0%            ,                       ,                         ,                        ,                  ,                         ,2.0%                      ,2.0%                 ,F                         ,                     ,F           ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,4.0%                   ,                     ,R                      ,12.0%              ,                ,                        ,                  ,                    ,F                      ,                  ,                    ,7.0%                   ,R                    ,                       ,F                  ,7.0%                ,2.0%                 ,                     ,F                        ,                         ,                       ,                  ,14.0%            ,                      ,1.0%                ,F                  ,R                    ,R                 ,F              ,                    ,F                      ,2.0%                 ,F                      ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 6. pages 142-143.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP11              ,              ,115, 707,C, 13,R, 1,  57.00,    290.3700,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,17.0%                ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,1.0%                         ,                       ,R                      ,                       ,F                 ,                 ,                  ,F                      ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,F                    ,                    ,                      ,                       ,                       ,                  ,10.0%            ,                       ,                         ,                        ,                  ,                         ,F                         ,1.0%                 ,F                         ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,1.0%                   ,                     ,                       ,15.0%              ,F               ,                        ,                  ,                    ,1.0%                   ,                  ,                    ,10.0%                  ,R                    ,                       ,1.0%               ,5.0%                ,1.0%                 ,                     ,F                        ,                         ,                       ,                  ,6.0%             ,                      ,13.0%               ,F                  ,R                    ,                  ,1.0%           ,                    ,1.0%                   ,1.0%                 ,1.0%                   ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 6. pages 142-143.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP11              ,              ,115, 707,C, 13,R,CC,   9.00,    291.0500,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,15.0%                ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,1.0%                         ,                       ,R                      ,                       ,F                 ,                 ,                  ,R                      ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,F                    ,                    ,                      ,                       ,                       ,                  ,8.0%             ,                       ,                         ,                        ,                  ,                         ,1.0%                      ,F                    ,F                         ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,2.0%                   ,                     ,                       ,21.0%              ,F               ,                        ,                  ,                    ,1.0%                   ,                  ,F                   ,12.0%                  ,                     ,                       ,F                  ,6.0%                ,F                    ,                     ,F                        ,                         ,F                      ,                  ,4.0%             ,                      ,11.0%               ,1.0%               ,R                    ,                  ,R              ,F                   ,1.0%                   ,1.0%                 ,F                      ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 6. pages 142-143.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP10              ,              ,115, 707,C, 14,R, 1,  23.00,    299.5300,Okada    ,Nannofossils                                 ,A              ,M                 ,R                   ,8.0%            ,                 ,                 ,R                   ,                         ,                        ,                            ,                               ,19.0%                ,                    ,                       ,                               ,                     ,                           ,1.0%                  ,                   ,R              ,                             ,                       ,1.0%                   ,F                      ,F                 ,                 ,                  ,R                      ,                    ,R                ,                        ,             ,                      ,                       ,                         ,             ,R                        ,2.0%                 ,                    ,                      ,                       ,                       ,                  ,10.0%            ,                       ,R                        ,                        ,                  ,                         ,F                         ,5.0%                 ,1.0%                      ,                     ,            ,                             ,                  ,                   ,                   ,1.0%                      ,                    ,                     ,                  ,R                            ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,2.0%                   ,R                    ,R                      ,11.0%              ,F               ,                        ,8.0%              ,R                   ,F                      ,                  ,1.0%                ,1.0%                   ,                     ,                       ,F                  ,1.0%                ,F                    ,                     ,                         ,R                        ,2.0%                   ,R                 ,5.0%             ,F                     ,1.0%                ,1.0%               ,R                    ,R                 ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 6. pages 142-143.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP10              ,              ,115, 707,C, 14,R, 1,  52.00,    299.8200,Okada    ,Nannofossils                                 ,A              ,M                 ,R                   ,7.0%            ,                 ,                 ,R                   ,                         ,                        ,                            ,                               ,14.0%                ,                    ,                       ,                               ,                     ,rR                         ,2.0%                  ,                   ,R              ,                             ,                       ,1.0%                   ,2.0%                   ,F                 ,                 ,                  ,F                      ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,R                        ,F                    ,                    ,                      ,                       ,                       ,                  ,17.0%            ,R                      ,1.0%                     ,R                       ,                  ,                         ,F                         ,2.0%                 ,1.0%                      ,F                    ,            ,                             ,                  ,                   ,                   ,1.0%                      ,                    ,                     ,                  ,R                            ,rR                    ,                     ,F                  ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,2.0%                   ,                     ,                       ,11.0%              ,2.0%            ,                        ,4.0%              ,R                   ,F                      ,                  ,1.0%                ,3.0%                   ,                     ,                       ,F                  ,3.0%                ,R                    ,                     ,                         ,R                        ,3.0%                   ,F                 ,4.0%             ,F                     ,F                   ,F                  ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,slight reworking.from 115 SR. Chapter 14. Table 6. pages 142-143.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP9b              ,              ,115, 707,C, 15,R, 1,  50.00,    309.4000,Okada    ,Nannofossils                                 ,A              ,M                 ,R                   ,17.0%           ,                 ,                 ,F                   ,                         ,                        ,                            ,                               ,26.0%                ,                    ,                       ,                               ,                     ,rR                         ,3.0%                  ,                   ,               ,2.0%                         ,                       ,F                      ,1.0%                   ,F                 ,                 ,R                 ,F                      ,R                   ,                 ,                        ,             ,                      ,                       ,                         ,F            ,R                        ,F                    ,                    ,                      ,                       ,                       ,R                 ,7.0%             ,                       ,F                        ,R                       ,                  ,                         ,R                         ,2.0%                 ,R                         ,F                    ,            ,                             ,                  ,                   ,                   ,R                         ,                    ,                     ,                  ,R                            ,                      ,                     ,F                  ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,4.0%                   ,                     ,R                      ,5.0%               ,4.0%            ,                        ,5.0%              ,F                   ,F                      ,3.0%              ,F                   ,1.0%                   ,                     ,                       ,F                  ,1.0%                ,F                    ,                     ,                         ,F                        ,2.0%                   ,1.0%              ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,slight reworking.from 115 SR. Chapter 14. Table 6. pages 142-143.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP9a              ,              ,115, 707,C, 15,R, 2,  50.00,    310.9000,Okada    ,Nannofossils                                 ,A              ,M                 ,R                   ,42.0%           ,                 ,                 ,F                   ,                         ,                        ,                            ,                               ,16.0%                ,                    ,                       ,                               ,                     ,rR                         ,F                     ,                   ,R              ,2.0%                         ,                       ,F                      ,1.0%                   ,R                 ,                 ,                  ,F                      ,R                   ,R                ,F                       ,             ,                      ,                       ,                         ,F            ,F                        ,F                    ,                    ,                      ,                       ,                       ,                  ,4.0%             ,                       ,1.0%                     ,R                       ,                  ,                         ,F                         ,1.0%                 ,1.0%                      ,1.0%                 ,            ,                             ,                  ,                   ,                   ,R                         ,                    ,                     ,                  ,R                            ,                      ,                     ,R                  ,                    ,R                    ,                      ,                     ,                       ,                   ,                    ,R                      ,4.0%                   ,R                    ,R                      ,3.0%               ,2.0%            ,                        ,9.0%              ,1.0%                ,R                      ,2.0%              ,1.0%                ,F                      ,                     ,F                      ,1.0%               ,1.0%                ,R                    ,R                    ,R                        ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,                     ,                           ,                          ,                         ,                       ,                   ,                   ,                        ,                          ,                          ,                    ,                     ,                     ,                    ,                    ,                      ,                  ,              ,                      ,                     ,                ,                ,                ,                      ,                    ,                ,                         ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,slight reworking.from 115 SR. Chapter 14. Table 6. pages 142-143.
