Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina varianta	Subbotina patagonica	Subbotina hardingae	Subbotina cf. S. hornibrooki	Pseudohastigerina micra	Planorotalites reissi	Planorotalites chapmani	Planorotalites australiformis	Guembelitria triseriata	Cassigerinelloita amekiensis	Acarinina primitiva	Acarinina pentacamerata	Acarinina cuneicamerata	Acarinina cf. A. collactea	Subbotina velascoensis	Acarinina wilcoxensis	Acarinina soldadoensis	Acarinina broedermanni	Subbotina linaperta s.s.	Acarinina matthewsae	Acarinina coalingensis	Acarinina spinuloinflata	Acarinina bullbrooki	Subbotina linaperta s.l.	Pseudohastigerina sp.	Subbotina eocaena	Muricoglobigerina senni	Chiloguembelina cubensis	Praetenuitella sp. 1	Globigerinatheka index	Chiloguembelina crinita	Morozovella spinulosa	Globorotaloides suteri	Subbotina corpulenta	Globigerina leroyi	Acarinina collactea	Catapsydrax unicavus	Subbotina angiporoides	Morozovella cf. M.quetra	Globigerina cf. G. praebulloides	Praetenuitella sp. 2	Praetenuitella sp. 3	Subbotina spp.	Subbotina yeguaensis	Subbotina gortanii	Catapsydrax echinatus	Acarinina aculeata	Paragloborotalia nana	Paragloborotalia pseudocontinuosa	Globorotaloides aff. testarugosa	Praetenuitella insolita	Subbotina utilisindex	Globigerinatheka barri	Subbotina pseudovenezuelana	Tenuitella gemma	Neogloboquadrina pachyderma	Globigerina bulloides	Turborotalia quinqueloba	Globorotalia scitula	Comment
  SR	Middle Eocene    	                 	AP8 (Huber 1991)  	              	119	 738	B	 21	X	 1	  90.00	    176.7000	Huber    	Planktonic Foraminifers                      	A              	G                 	F                 	                    	                   	R                           	F                      	C                    	                       	                             	C                      	                            	C                  	C                      	                       	C                         	R                     	                     	                      	                      	R                       	F                   	                      	                        	                    	F                       	                     	                 	                       	                        	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP8 (Huber 1991)  	              	119	 738	B	 21	X	 3	  90.00	    179.1600	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	F                   	F                  	R                           	F                      	R                    	                       	                             	F                      	                            	C                  	C                      	R                      	F                         	R                     	                     	                      	                      	                        	F                   	                      	                        	R                   	R                       	                     	                 	                       	                        	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP8 (Huber 1991)  	              	119	 738	B	 21	X	CC	  34.00	    180.2200	Huber    	Planktonic Foraminifers                      	A              	M                 	C                 	F                   	                   	                            	R                      	                     	                       	F                            	R                      	R                           	R                  	C                      	                       	F                         	                      	                     	                      	                      	R                       	R                   	                      	                        	R                   	                        	                     	                 	                       	                        	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP7               	              	119	 738	B	 22	X	 2	  90.00	    187.8000	Huber    	Planktonic Foraminifers                      	A              	G                 	C                 	                    	F                  	                            	R                      	C                    	                       	F                            	R                      	                            	F                  	C                      	F                      	C                         	                      	                     	                      	                      	F                       	R                   	                      	R                       	                    	                        	                     	                 	                       	                        	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP7               	              	119	 738	B	 22	X	 4	  90.00	    190.8000	Huber    	Planktonic Foraminifers                      	A              	G                 	C                 	F                   	                   	R                           	R                      	C                    	                       	F                            	                       	A                           	F                  	C                      	R                      	F                         	                      	R                    	                      	                      	                        	                    	                      	                        	                    	                        	                     	                 	                       	                        	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP7               	              	119	 738	B	 22	X	CC	  31.00	    191.4900	Huber    	Planktonic Foraminifers                      	A              	M                 	F                 	F                   	                   	R                           	                       	C                    	                       	F                            	                       	A                           	R                  	C                      	R                      	F                         	                      	R                    	                      	R                     	                        	                    	                      	                        	                    	                        	                     	                 	                       	                        	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP7               	              	119	 738	B	 23	X	 1	  90.00	    195.9000	Huber    	Planktonic Foraminifers                      	A              	G                 	C                 	F                   	F                  	R                           	                       	F                    	                       	F                            	                       	A                           	F                  	C                      	R                      	C                         	                      	R                    	                      	F                     	F                       	R                   	R                     	                        	                    	                        	                     	                 	                       	                        	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP7               	              	119	 738	B	 23	X	CC	  40.00	    196.9000	Huber    	Planktonic Foraminifers                      	C              	M                 	F                 	                    	R                  	                            	                       	C                    	R                      	F                            	                       	C                           	R                  	F                      	                       	C                         	                      	R                    	                      	                      	R                       	                    	                      	                        	                    	                        	                     	                 	                       	                        	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP7               	              	119	 738	B	 24	X	 2	  90.00	    207.0000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	F                   	C                  	R                           	                       	F                    	R                      	R                            	                       	R                           	F                  	F                      	R                      	C                         	R                     	F                    	R                     	R                     	                        	                    	                      	                        	                    	                        	                     	                 	                       	                        	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP7               	              	119	 738	B	 24	X	CC	  39.00	    208.8600	Huber    	Planktonic Foraminifers                      	C              	M                 	C                 	F                   	F                  	R                           	R                      	R                    	F                      	C                            	R                      	R                           	R                  	F                      	R                      	C                         	                      	                     	                      	                      	                        	                    	                      	                        	                    	                        	                     	                 	                       	                        	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

