Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Collosphaera tuberosa,Lamaprocyrtis nigriniae,Theocorythium trachelium,Cycladophora davisiana,Amphirhopalum ypsilon,Spongaster tetras tetras,Nephrospyris renila,Acrobotrys disolenia,Stylatractus universus,Lamaprocyrtis neoheteroporos,Anthocyrtidium angulare,Theocorythium vetulum,Lamaprocyrtis heteroporos,Pterocorys minythorax,Pterocanium prismatium,Didymocyrtis avita,Stichocorys pergrina,Anthocyrtidum pliocenica,Phormostichoartus fistula,Lychnodictyum audax,Phormostichoartus doliolum,Spongaster pentas,Didymocyrtis penultima,Solenosphaera omnitubus,Spongaster berminghami,Didymocyrtis antipenultima,Stichocorys johnsoni,Calocycletta caepa,Didymocyrtis tetratharamus,Stichocorys delmontensis,Acrobotrys tritubus,Diartus hughesi,Diartus petterssoni,Didymocyrtis laticonus,Botryostrobus miralestensis,Stichocorys wolffii,Cladococcus abietinus,Stauroxiphos commuinis,Cyrtocapsella japonica,Carpocanopsis cristata,Lithopera neotera,Cyrtocapsella cornuta,Dorcadospyris alata,Cyrtocapsella tetrapera,Lithopera renzae,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris forcipata,Dorcadospyris dentata,Liriospyris stauropora,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Dorcadospyris scambos,Dorcadospyris ateuchus,Dorcadospyris simplex,Dorcadospyris praeforcipata,Calocycletta serrata,Lophocyrtis pegetrum,Theocyrtis annosa,Lophocyrtis leptetrum,Eucyrtidium mitodes,Artophormis gracilis,Didymocyrtis bassanii,Dorcadospyris cyclacantha,Dorcadospyris riedeli,Dorcadospyris papilio,Dorcadospyris circulus,Liriospyris longicornuta,Lychnocanoma apodora,Theocorys puriri,Eucyrtidium plesiodiaphanes,Lithocyclia angusata,Theocyrtis setanios,Theocyrtis perysinos,Tristylospyris triceros,Lophocyrtis milowi,Lophocyrtis oberhaensliae,Lythocyclia crux,Theocyrtis tuberosa,Dorcadospyris quadripes,Dorcadospyris spinosa,Spirocyrtis subtilis,Dorcadospyris pseodopapilio,Centrobotrys gravida,Centrobotris petrushevskayae,Theocyrtis careotuberosa,Dictyoprora  mongolfieri,Thyrsocyrtis triacantha,Lithocyclia ocellus group,Lithocyclia aristotelis group,Calocyclas hispida,Cryptocarpium ornatum,Calocycletta anekathen,Dictyoprora armadillo,Dictyoprora pirum,Lophocyrtis jacchia,Lophocyrtis exitelus,Lophocyrtis hadra,Lychnocanoma amhitrite,Lychnocanoma babylonis,Thyrsocyrtis bromia,Dorcadospyris copelata,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Thyrsocyrtis tetracantha,Rhopalocanium aff. contiguum,Dorcadospyris omboros,Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cyrtocarpium azyx,Thyrsocyrtis rhizodon,Thysocyrtis krooni,Artophormis dominasinensis,Lychnocanoma turgidum,Thysocyrtis perpumila,Thyrsocyrtis orthotenes,Podocyrtis papalis,Thysocyrtis lochites,Spongastractus pachystylus,Anthocyrtoma spp.,Calocycletta ampulla,Zygocircus cimelium,Rhopalocanium ornatum,Dorcadospyris anastasis,Theocotylissa ficus,Dictyophimus craticula,Podocyrtis goetheana,Podocyrtis chalara,Botryocella sp. group,Podocyrtis apeza,Lithochytris vespertilio,Sethochyrtis triconiscus,Podocyrtis mitra,Lophocyrtis biaurita,Podocyrtis trachodes,Pterocodon ampla,Buryella clinata,Zealithapium anoectum,Eusyringium lagena,Podocyrtis fasciolata,Zealithapium plegmacantha,Podocyrtis sinuosa,Podocyrtis helenae,Podocyrtis diamesa,Podocyrtis phyxis,Podocyrtis ampla,Spongastractus balbis,Thyrsocyrtis tensa,Theocotyle venezuelensis,Theocotyle conica,Lamptonium fabaeforme fabaeforme,Theocotyle cryptocephala,Periphaena tripyramis triangula,Theocyrtis orthotenes,Thyrsocyris robusta,Thysocyrtis hirsuta,Lamptonium fabaeforme chaunothorax,Lamptonium fabaeforme constrictum,Theocorys anaclasta,Calocycloma castum,Phormocyrtis stnata striata,Theocotylissa fimbria,Amphicraspedum murrayanum,Dendospyris fragoides,Diploplegma somophum,Giraffospyris lata,Lamptonium pennatum,Lamptonium sanfilippoae,Lithochytris archaea,Lithocyrtis vespertilio,Lychnocanoma auxilla,Phormocyrtis cubensis,Phormocyrtis stnata exquisita,Pterocodon tenellus,Theocotylissa alpha,Thysocyrtis rhizodon,Lychnocanoma pileus,Periphaena delta,Pterocodon anteclinata,Phormocyrtis turgida,eodp_id
321-U1338A-25H-3-W 19/21-RADS95,321,U1338,A,25,25-3,H,3,W,19/21-RADS95,0,0,224.41,224.41,M,A,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,R,,F,,,F,R,R,R,,,C,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04a6430b66f47ffdb65f00fd533c4c8f
321-U1338A-25H-6-W 16/18-RADS96,321,U1338,A,25,25-6,H,6,W,16/18-RADS96,0,0,228.9,228.9,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,F,R,R,R,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992fb340c18749cb487ba6e816ac983e
321-U1338A-25H-CC-PAL,321,U1338,A,25,25-CC,H,CC,PAL,,0,0,231.12,231.12,M,A,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,F,,,F,R,R,R,,,C,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4569bc89e1e47a2163fe94b3d2951f88
321-U1338A-26H-2-W 38/40-RADS31,321,U1338,A,26,26-2,H,2,W,38/40-RADS31,0,0,232.58,232.58,M,A,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,R,,F,,,F,R,R,R,,,C,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394c06699ac8243e9c5b14b66290110c
321-U1338A-26H-6-W 140/142-RADS40,321,U1338,A,26,26-6,H,6,W,140/142-RADS40,0,0,239.6,239.6,M,A,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,R,,F,,,F,R,R,R,,,C,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84a3d6d7d6e0e2cd1cbe0c9c6b4bd0b2
321-U1338A-26H-CC-PAL,321,U1338,A,26,26-CC,H,CC,PAL,,0,0,240.64,240.64,M,A,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,R,,F,,,F,R,R,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e207905ddf38254f5595db04f5e36c80
321-U1338A-27X-2-W 30/32-RADS54,321,U1338,A,27,27-2,X,2,W,30/32-RADS54,0,0,242,242,G,A,,,,,,,,,,,,,,,,,,,R,R,R,,,,,,,R,,F,,,F,R,R,R,,,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e1a40f878ce576df1f657b5dc9c6a5a3
321-U1338A-27X-4-W 15/17-RADS59,321,U1338,A,27,27-4,X,4,W,15/17-RADS59,0,0,244.85,244.85,G,A,,,,,,,,,,,,,,,,,,,R,R,R,,,,,,,R,,F,,,F,R,R,R,,,C,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74a47d0f6c2cb4e235ad88046d241a8d
321-U1338A-27X-CC-PAL,321,U1338,A,27,27-CC,X,CC,PAL,,0,0,247.6,247.6,G,A,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,R,,F,,,F,R,R,,,,C,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2f6e0fdb47779bbb0517af1f0ed47716
321-U1338A-29X-2-W 130/132-RADS75,321,U1338,A,29,29-2,X,2,W,130/132-RADS75,0,0,262.2,262.2,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,F,R,R,R,,,F,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7ff1bb3442c03590e68c28fe9164808c
321-U1338A-29X-4-W 24/26-RADS78,321,U1338,A,29,29-4,X,4,W,24/26-RADS78,0,0,264.14,264.14,G,A,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,C,,,F,R,R,R,,,F,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595b2378bee586931cc809aaaaf615a7
321-U1338A-29X-CC-PAL,321,U1338,A,29,29-CC,X,CC,PAL,,0,0,268.33,268.33,G,A,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,R,,C,,,R,R,R,,,,,R,F,R,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70c5c356b8b100e7cd165d79ca4bfd2a
321-U1338A-31X-CC-PAL,321,U1338,A,31,31-CC,X,CC,PAL,,0,0,278.5,278.5,G,A,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,R,,C,,,R,R,R,R,,,,,R,R,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b67ea35968e7cdc43facd82fadc92a99
321-U1338A-32X-2-W 83/85-RADS88,321,U1338,A,32,32-2,X,2,W,83/85-RADS88,0,0,290.43,290.43,M,A,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,R,,C,,,,R,R,,,,,R,R,R,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177158459a4b7b3025195fb71dd8c3d2
321-U1338A-32X-4-W 87/89-RADS91,321,U1338,A,32,32-4,X,4,W,87/89-RADS91,0,0,293.47,293.47,M,A,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,C,,,,R,R,R,,,,R,R,R,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d551e49c14b92fc534d0478c9e0d683
321-U1338A-32X-CC-PAL,321,U1338,A,32,32-CC,X,CC,PAL,,0,0,296.57,296.57,M,A,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,F,,C,,,,R,R,R,,,,R,R,R,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4fb5b32e5643e808af8eb20c60f3878e
321-U1338A-33X-3-W 58/60-RADS51,321,U1338,A,33,33-3,X,3,W,58/60-RADS51,0,0,301.28,301.28,M,A,,,,,,,,,,,,,,,,,,,R,R,R,,,,,,,R,,C,,,,R,R,,,,,R,R,R,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b50dddc13c7deb3c961527caa95742d4
321-U1338A-33X-5-W 69/71-RADS54,321,U1338,A,33,33-5,X,5,W,69/71-RADS54,0,0,304.39,304.39,M,A,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,C,,,,R,R,,,,,R,,R,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9ebe38e1292c4d46f148d33aaace5671
321-U1338A-33X-CC-PAL,321,U1338,A,33,33-CC,X,CC,PAL,,0,0,306.45,306.45,M,A,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,C,,,,R,R,,,,,R,,R,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cf0e498b3e5a381e59c00274200db61d
321-U1338A-34X-2-W 67/69-RADS97,321,U1338,A,34,34-2,X,2,W,67/69-RADS97,0,0,309.47,309.47,G,A,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,R,,F,,,,R,R,R,,,,R,R,R,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9e03febe130addce342ad3e9423537f1
321-U1338A-34X-4-W 81/83-RADS98,321,U1338,A,34,34-4,X,4,W,81/83-RADS98,0,0,312.61,312.61,G,A,,,,,,,,,,,,,,,,,,R,,R,R,,,,,,,R,,F,,,,R,R,R,,,,R,R,R,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5deac80603aa22755523befe7be13558
321-U1338A-34X-CC-PAL,321,U1338,A,34,34-CC,X,CC,PAL,,0,0,316.1,316.1,M,A,,,,,,,,,,,,,,,,,,R,R,,R,,,,,,,F,,C,,,,R,R,,,,,R,,R,R,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cebe31c642df19c50118eee7d61f40e4
321-U1338A-35X-2-W 2/4-RADS61,321,U1338,A,35,35-2,X,2,W,2/4-RADS61,0,0,318.42,318.42,M,A,,,,,,,,,,,,,,,,,,,R,R,R,,,,,,,R,,C,,,,R,R,,,,,R,,R,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,086e5e568b55e537ebe1a9164c337e1b
321-U1338A-35X-CC-PAL,321,U1338,A,35,35-CC,X,CC,PAL,,0,0,319.79,319.79,M,A,,,,,,,,,,,,,,,,,,R,R,R,,,,,,,,R,,C,,,,R,R,,,,,,,R,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7bc3318ab9a911cfd4225afcc7bd69d9
321-U1338A-36X-1-W 29/31-RADS0,321,U1338,A,36,36-1,X,1,W,29/31-RADS0,0,0,326.79,326.79,M,A,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,R,,F,,,,,R,,,,,,,R,,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bb7f3891af7c2e18de7ec292e636b383
321-U1338A-36X-CC-PAL,321,U1338,A,36,36-CC,X,CC,PAL,,0,0,327.68,327.68,M,A,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,C,,,,R,R,,,,,,,R,,C,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7e59bf94157e7c32d2d4572526b0dbfd
321-U1338A-37X-1-W 37/39-RADS6,321,U1338,A,37,37-1,X,1,W,37/39-RADS6,0,0,336.37,336.37,M,A,,,,,,,,,,,,,,,,,,,R,R,R,,,,,,,R,,C,,,,R,R,R,,,,,,R,,C,R,R,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ee6309de5cebe98e5767d95b9cb80bbc
321-U1338A-37X-CC-PAL,321,U1338,A,37,37-CC,X,CC,PAL,,0,0,337.18,337.18,M,A,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,R,,C,,,,R,R,,,,,R,,R,,C,R,R,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ea35b2081a2649acc39db74f3d18bd4
321-U1338A-38X-2-W 35/37-RADS56,321,U1338,A,38,38-2,X,2,W,35/37-RADS56,0,0,347.35,347.35,M,A,,,,,,,,,,,,,,,,,,R,R,R,R,,,,,,,,,C,,,,,R,R,,,,R,,,,C,R,,,R,R,R,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b375b533871acb36463d21266e6edb4f
321-U1338A-38X-5-W 92/94-RADS57,321,U1338,A,38,38-5,X,5,W,92/94-RADS57,0,0,352.42,352.42,M,A,,,,,,,,,,,,,,,,,,,R,R,R,,,,,,,R,,C,,,,R,R,R,,,,R,,R,,C,R,F,,R,R,R,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fac696717dddc2a3955be1510153c108
321-U1338A-38X-CC-PAL,321,U1338,A,38,38-CC,X,CC,PAL,,0,0,354.7,354.7,M,A,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,C,,,,,R,R,,,,R,,R,R,C,R,F,,R,R,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c51c19547ad7e60456f447d3833f7314
321-U1338A-39X-2-W 75/78-RADS17,321,U1338,A,39,39-2,X,2,W,75/78-RADS17,0,0,357.05,357.05,M,A,,,,,,,,,,,,,,,,,,,R,R,R,,,,,,,,,C,,,,R,R,,,,,R,,R,R,C,R,F,,R,R,R,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c6dd6034f7ff99d389490d7bc1cf7eba
321-U1338A-39X-5-W 87/89-RADS18,321,U1338,A,39,39-5,X,5,W,87/89-RADS18,0,0,361.67,361.67,M,A,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,F,,,,R,R,R,,,,R,,R,R,C,,F,,R,R,,,R,R,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f3814e186e11b2da870396ff853459b0
321-U1338A-39X-CC-PAL,321,U1338,A,39,39-CC,X,CC,PAL,,0,0,363.76,363.76,M,A,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,R,,C,,,,,R,,,,,R,,R,R,C,,R,,R,,R,,R,R,R,R,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2b9eb1334e3ac1f242c3f713159f6ac8
321-U1338A-40X-1-W 103/105-RADS65,321,U1338,A,40,40-1,X,1,W,103/105-RADS65,0,0,365.43,365.43,M,A,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,F,,,,,,,,,,R,,R,,C,R,R,,R,,R,,R,R,R,R,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a3d230a8a1a5f4400fdd23257284351
321-U1338A-40X-3-W 27/29-RADS63,321,U1338,A,40,40-3,X,3,W,27/29-RADS63,0,0,367.16,367.16,M,A,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,C,,,,R,R,,,,,R,,R,,C,,F,,R,R,,,R,R,R,R,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e1fafad5166976f98d1582cb3c6238f
321-U1338A-40X-CC-PAL,321,U1338,A,40,40-CC,X,CC,PAL,,0,0,367.74,367.74,M,A,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,C,,,,R,R,,,,,,,R,,C,,F,,R,R,R,,R,R,R,R,R,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a29f7e25910a39052e75948385f82a0a
321-U1338A-41X-2-W 34/36-RADS99,321,U1338,A,41,41-2,X,2,W,34/36-RADS99,0,0,375.84,375.84,M,A,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,C,,,,,R,,,,,,,R,,C,R,R,,R,R,R,,R,R,R,R,R,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ea103b6c83e68bd2b92f9daa39745279
321-U1338A-41X-4-W 22/24-RADS43,321,U1338,A,41,41-4,X,4,W,22/24-RADS43,0,0,378.72,378.72,M,A,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,C,,,,,R,,,,,,,R,,C,,R,,R,R,R,,R,R,R,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57ffe30efbe176f6d98f929be95a13e5
