Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Sphenolithus moriformis	Sphenolithus intercalaris	Rhabdosphaera tenuis	Reticulofenestra umbilica	Reticulofenestra samodurovii	Reticulofenestra minutula	Pedinocyclus larvalis	Helicosphaera wilcoxonii	Helicosphaera euphratis	Helicosphaera compacta	Discoaster saipanensis	Discoaster barbadiensis	Dictyococcites bisectus	Cyclicargolithus floridanus	Cribrocentrum reticulatum	Coronocyclus nitescens	Coccolithus pelagicus	Coccolithus miopelagicus	Coccolithus formosus	Clausicoccus fenestratus	Chiasmolithus titus	Calcidiscus protoannulus	Bramletteius serraculoides	Braarudosphaera bigelowii	Bicolumnus ovatus	Sphenolithus radians	Rhabdosphaera crebra	Pontosphaera scissura	Pontosphaera ovata	Helicosphaera bramlettei	Discoaster tanii ssp. indet.	Discoaster nodifer	Discoaster deflandrei	Dictyococcites daviesii	Cyclicargolithus luminis	Pyrocyclus hermosus	Isthmolithus recurvus	Helicosphaera reticulata	Chiasmolithus oamaruensis	Braarudosphaera discula	Chiasmolithus grandis	Sphenolithus pseudoradians	Discoaster tanii ornatus	Sphenolithus predistentus	Pemma papillatum	Micrantholithus flos	Micrantholithus aequalis	Sphenolithus predistentus/distentus intergrade	Micrantholithus truncus	Cyclicargolithus abisectus	Chiasmolithus altus	Sphenolithus distentus	Sphenolithus dissimilis	Triquetrorhabdulus carinatus	Sphenolithus ciperoensis	Peritrachelina joidesa	Helicosphaera recta	Pyrocyclus orangensis	Triquetrorhabdulus milowii	Syracosphaera sp.	Sphenolithus sp. cf. S. capricornutus	Helicosphaera perch-nielseniae	Hayaster perplexus	Scyphosphaera spp.	Ilselithina fusa	Sphenolithus belemnos	Helicosphaera carteri	Cryptococcolithus takayamae	Calcidiscus tropicus	Sphenolithus heteromorphus	Reticulofenestra minuta	Discoaster druggii	Umbilicosphaera sibogae	Calcidiscus leptoporus	Discoaster variabilis	Pontosphaera spp.	Calcidiscus premacintyrei	Pontosphaera multipora	Helicosphaera ampliaperta	Geminilithella rotula	Discoaster signus	Solidopons petrae	Rhabdosphaera procera	Pontosphaera discopora	Discoaster musicus	Triquetrorhabdulus rugosus	Reticulofenestra pseudoumbilicus	Helicosphaera walbersdorfensis	Hayella aperta	Discoaster brouweri	Triquetrorhabdulus auritus	Syracosphaera spp.	Holodiscolithus macroporus	Discoaster bollii	Catinaster coalitus	Discoaster pseudovariabilis	Discoaster kugleri	Holodiscolithus solidus	Calcidiscus macintyrei	Sphenolithus abies	Lithostromation perdurum	Discoaster hamatus	Catinaster calyculus	Helicosphaera stalis	Helicosphaera orientalis	Discoaster bellus	Minylitha convallis	Discoaster prepentaradiatus	Discoaster neohamatus	Triquetrorhabdulus extensus	Discoaster pentaradiatus	Discoaster loeblichii	Discoaster quinqueramus	Discoaster bergenii	Discoaster surculus	Scapholithus fossilis	Amaurolithus primus	Reticulofenestra rotaria	Amaurolithus delicatus	Amaurolithus amplificus	Discoaster asymmetricus	Amaurolithus tricorniculatus	Amaurolithus ninae	Comment

  SR	Middle Miocene   	                 	CN5a              	              	157	 950	A	 30	X	 6	  95.00	    273.8500	Howe     	Nannofossils                                 	M              	M                 	                       	R                      	                         	                    	                         	                            	C                        	                     	                        	S                      	                      	                      	                       	                       	R                          	                         	                      	F                    	R                       	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	R                    	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	R                    	                           	R                   	                          	C                      	                  	R                      	S                     	F                    	                 	                         	R                     	                         	R                    	                 	                 	                     	                      	R                 	R                         	F                               	S                             	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	From SR. Ch 29. Table 1.

  SR	Middle Miocene   	                 	CN5a              	              	157	 950	A	 31	X	 2	 100.00	    277.6000	Howe     	Nannofossils                                 	M              	M                 	                       	R                      	                         	                    	                         	                            	C                        	                     	                        	                       	                      	                      	                       	                       	R                          	                         	                      	F                    	R                       	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	R                  	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	R                    	R                          	R                   	                          	C                      	                  	R                      	                      	C                    	                 	S                        	R                     	                         	R                    	                 	                 	R                    	                      	                  	                          	C                               	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	From SR. Ch 29. Table 1.

  SR	Middle Miocene   	                 	CN5a              	              	157	 950	A	 31	X	 5	  27.00	    281.3700	Howe     	Nannofossils                                 	M              	G                 	                       	F                      	                         	                    	                         	                            	A                        	                     	                        	R                      	                      	                      	                       	                       	F                          	                         	S                     	C                    	F                       	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	R                  	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	S                 	                	                     	R                    	                           	R                   	S                         	C                      	                  	                       	R                     	C                    	                 	R                        	R                     	S                        	F                    	R                	S                	                     	S                     	                  	                          	C                               	                              	S             	                   	                          	                  	                          	F                	?R                 	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	Rare Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Middle Miocene   	                 	CN5a              	              	157	 950	A	 31	X	 5	  56.00	    281.6600	Howe     	Nannofossils                                 	VH             	M-G               	                       	                       	                         	                    	                         	                            	A                        	                     	                        	R                      	                      	                      	                       	                       	F                          	                         	R                     	C                    	F                       	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	R                    	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	F                 	                	                     	F                    	R                          	F                   	R                         	A                      	                  	                       	S                     	A                    	F                	F                        	F                     	                         	C                    	R                	                 	C                    	                      	R                 	R                         	C                               	                              	S             	                   	R                         	R                 	S                         	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	Few Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Middle Miocene   	                 	CN5a              	              	157	 950	A	 31	X	 5	 121.00	    282.3100	Howe     	Nannofossils                                 	H              	M-G               	                       	F                      	                         	                    	                         	                            	A                        	                     	                        	                       	                      	                      	                       	                       	R                          	                         	S                     	C                    	F                       	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	S                  	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	R                    	S                          	R                   	R                         	C                      	                  	                       	                      	C                    	R                	R                        	R                     	                         	C                    	                 	                 	                     	                      	R                 	S                         	C                               	R                             	S             	F                  	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	Few biogenic siliceous debris.From SR. Ch 29. Table 1.

  SR	Middle Miocene   	                 	CN5a              	              	157	 950	A	 32	X	 2	  30.00	    286.6000	Howe     	Nannofossils                                 	M              	M                 	                       	R                      	                         	                    	                         	                            	C                        	                     	                        	                       	                      	                      	                       	                       	R                          	                         	                      	F                    	R                       	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	R                    	S                          	                    	R                         	C                      	                  	                       	                      	F                    	                 	                         	S                     	                         	F                    	                 	                 	                     	                      	R                 	F                         	F                               	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	Abundant biogenic siliceous debris.From SR. Ch 29. Table 1.

  SR	Middle Miocene   	                 	CN4               	              	157	 950	A	 32	X	 6	  19.00	    292.4900	Howe     	Nannofossils                                 	H              	M-G               	                       	                       	                         	                    	                         	F                           	A                        	                     	                        	                       	                      	                      	                       	                       	A                          	                         	R                     	C                    	F                       	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	R                    	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	S                    	                          	                 	                                     	                              	                  	                  	                	                     	F                    	                           	C                   	                          	A                      	                  	                       	                      	C                    	                 	R                        	R                     	                         	C                    	C                	                 	F                    	                      	R                 	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	Single Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Middle Miocene   	                 	CN4               	              	157	 950	A	 33	X	 2	  89.00	    296.7900	Howe     	Nannofossils                                 	M-H            	M-G               	                       	F                      	                         	                    	                         	R                           	C                        	                     	                        	R                      	                      	                      	                       	                       	C                          	                         	R                     	C                    	F                       	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	R                 	                	                     	C                    	                           	F                   	F                         	A                      	                  	                       	                      	C                    	                 	R                        	F                     	R                        	C                    	C                	?S               	R                    	R                     	R                 	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	Few Cretaceous & rare Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Middle Miocene   	                 	CN4               	              	157	 950	A	 34	X	 2	  50.50	    306.1050	Howe     	Nannofossils                                 	H              	M                 	                       	C                      	                         	                    	                         	F                           	C                        	                     	                        	R                      	                      	                      	                       	                       	A                          	                         	R                     	C                    	F                       	                    	                        	                   	                        	                          	R                        	                 	                    	                    	                     	                  	                        	                            	                  	C                    	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	R                    	                          	                 	                                     	R                             	                  	R                 	                	S                    	R                    	                           	F                   	C                         	C                      	                  	                       	R                     	F                    	R                	R                        	R                     	S                        	F                    	?F               	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	Rare Cretaceous & common Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Early Miocene    	Middle Miocene   	CN3               	CN4           	157	 950	A	 35	X	 1	  31.00	    314.0100	Howe     	Nannofossils                                 	L              	P-M               	                       	F                      	                         	                    	                         	R                           	R                        	                     	                        	                       	                      	                      	                       	                       	C                          	                         	                      	F                    	R                       	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	F                    	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	?S                   	S                    	S                          	S                   	R                         	R                      	                  	R                      	                      	R                    	R                	S                        	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	Few Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Early Miocene    	                 	CN3               	              	157	 950	A	 36	X	 1	  55.00	    323.8500	Howe     	Nannofossils                                 	L              	P                 	                       	                       	                         	                    	                         	R                           	R                        	                     	                        	                       	                      	                      	                       	                       	F                          	                         	                      	F                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	C                    	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	R                      	F                 	                       	                      	C                    	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	From SR. Ch 29. Table 1

  SR	Early Miocene    	                 	CN3               	              	157	 950	A	 36	X	 2	   7.00	    324.8700	Howe     	Nannofossils                                 	VL             	P                 	                       	F                      	                         	                    	                         	                            	R                        	                     	                        	                       	                      	                      	                       	                       	F                          	                         	R                     	F                    	R                       	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	F                    	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	S                    	                     	                           	S                   	F                         	                       	                  	S                      	?S                    	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	Rare Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Early Miocene    	                 	                  	              	157	 950	A	 36	X	 2	  57.00	    325.3700	Howe     	Nannofossils                                 	VL             	P                 	                       	R                      	                         	                    	                         	R                           	R                        	                     	                        	                       	                      	                      	                       	                       	R                          	                         	                      	R                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	R                    	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	                       	                  	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	From SR. Ch 29. Table 1

  SR	Early Miocene    	                 	CN2               	              	157	 950	A	 36	X	 2	 109.00	    325.8900	Howe     	Nannofossils                                 	H              	M                 	                       	C                      	                         	                    	                         	F                           	C                        	                     	                        	S                      	                      	                      	                       	                       	A                          	                         	R                     	C                    	F                       	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	C                    	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	F                    	R                    	                           	                    	?R                        	C                      	R                 	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	Rare Cretaceous & common Paleogene reworking.From SR. Ch 29. Table 1.

  SR	Early Miocene    	                 	CN2               	              	157	 950	A	 36	X	CC	  25.00	    326.5500	Howe     	Nannofossils                                 	VL             	P                 	                       	R                      	                         	                    	                         	R                           	                         	                     	                        	                       	                      	                      	                       	                       	F                          	                         	S                     	R                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	R                    	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	R                    	R                    	?S                         	S                   	                          	                       	                  	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	Rare Paleogene reworking.From SR. Ch 29. Table 1.
