Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina ecuadorensis,Triloculina sp.,Stichocassidulina thalmanni,Oridorsalis umbonatus,Haplophragmoides sp.,Hansenisca multilocula,Globocassidulina sublaevigata,Globocassidulina subglobosa,Globocassidulina globosa,Globobulimina diversa,Fursenkoina nuda,Eponides sp. (small),Dorothia asiphonia,Cyclammina simiensis,Cibicides sp.,Buliminella mirifica,Bulimina peruviana,Bulimina chirana,Buccella sp.,Brizalina sp.,Bolivinellina basisenta,Bolivina maculata,Bathysiphon eocenica,Amphimorphina stainforthi,Alabamina atlantisae,Unilocular species,Spirolocammina tenuis,Quinqueloculina sp.,Plectofrondicularia vaughni,Nodosaria longiscata,Gyroidina sp.,Asterigerina crassaformis,Anomalinoides alazanensis,Valvulineria peruviana,Uvigerina peruviana,Stilostomella sp.,Plectofrondicularia spp.,Nodogenerina sp.,Gyroidina perampla,Cibicidoides spp.,Cibicidoides perlucidus,Cibicidoides martinezensis,Bulimina stalacta,Bulimina alazanensis,Anomalinoides pompiloides,Nonionella sp. cf. N.ecuadorana,Buliminella peruviana,Buliminella chirana,Vaginulina elegans mexicana,Uvigerina mexicana,Uvigerina gallowayi basicordata,Uvigerina auberiana,Sphaeroidina chilostoma,Sigmomorphina trinitatensis,Robulus spp.,Robulus cristobalensis,Robulus americanus,Pullenia bulloides,Pseudoclavulina bullbrooki,Plectofrondicularia sp.,Osangularia interrupta,Melonis sp. cf. N.pompilioides,Lenticulina subpapillosa,Heterolepa(?) crebbsi,Hansenisca altiformis,Guttulina irregularis,Buliminella cf. curta,Bulimina bleeckeri,Brizalina pisciformis,Brizalina mantaensis,Bathysiphon sp. ,Amphicoryina sp. A,Alabamina polita,Uvigerina rustica,Uvigerina mantaensis,Uvigerina gallowayi,Siphonodosaria paucistriata,Robulus sp.,Plectofrondicularia californica,Plectofrondicularia advena,Planulina renzi,Cibicidoides compressus,Buliminella curta,Bulimina alligata,Amphimorphina sp.,Uvigerina hispidocostata,Rotorbinella garveyensis,Pseudoparrella subperuviana,Hansenisca zealandica,Gyroidina lamarckiana,Epistominella smithi,Eilohedra levicula,Cassidulina cushmani,Buliminella elegantissima limbosa,Bulimina elongata,Bolivinellina seminuda var.,Valvulineria compressa,Bolivinita minuta,Bolivinellina ecuadorana,Bolivina vaughani,Ambitropus thalmanni,Fontbotia wuellerstorfi,Buliminella subfusiformis,Bolivina sinuata,Uvigerina peregrina dirupta,Uvigerina marksi,Bulimina hebespinata,Bolivinellina sp.,Buccella oregonensis,Brizalina imbricata,Planulina ornata,Nonionella ecuadorana,Lagenoglandulina sp.,Galliherina uvigerinaformis charapotoensis,Holmanella sp. cf. D.valmonteensis Kleinpell,Bolivina decussata,Bolivina costata,Bolivinellina foraminata,Nodosaria consobrina,Fursenkoina restinensis,Bolivina sinuata alisoensis,Bolivina granti,Stilostomella fistuca,Sphaeroidina bulloides,Pleurostomella alternans,Melonis pompilioides,Melonis affinis,Cassidulinoides bradyi,Bulimina exilis tenuata,Bolivinellina goudkoffi,Bolivinellina girardensis,Bolivinellina californica,Anomalinoides sp.,Triloculina trigonula,Pullenia quinqueloba,Martinottiella communis,Globocassidulina depressa,Eggerella bradyi,Cassidelina complanata,Uvigerina senticosa,Globobulimina pacifica,Bulimina striata mexicana,Pyrgo murrhyna,Pseudoparrella  exigua,Nonionella auris,Hoeglundina elegans,Fursenkoina glabra,Eponides tumidulus,Ehrenbergina trigona,Bolivinellina pacifica,Astrononion schwageri,Parrelloides bradyi,Globobulimina affinis,Bolivinellina humilis,Nodosaria calomorpha,Gyroidina turgida,Comment
  SR,Early Oligocene  ,                 ,                  ,              ,112, 682,A, 38,X,CC,  28.00,    344.7200,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,2                    ,                    ,                      ,                             ,2                          ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,2                        ,                    ,T                 ,                     ,                   ,                           ,6                   ,             ,                         ,                         ,                      ,                   ,                 ,                        ,                ,                  ,                 ,                       ,                          ,                 ,9                   ,                         ,                               ,                     ,                   ,T                          ,T                 ,T                              ,T                  ,T                      ,T                          ,2           ,T                     ,7                 ,T                 ,6                         ,T                      ,4                     ,3                             ,T                       ,6                    ,5                    ,T                    ,13                   ,1                 ,9                    ,13                  ,2               ,1                 ,4               ,                 ,                    ,                   ,                           ,           ,                               ,                          ,               ,                       ,                 ,                 ,                 ,                        ,                        ,                           ,                     ,                     ,                    ,                  ,                    ,                                 ,                 ,                           ,                      ,                 ,                        ,                 ,                    ,                       ,                         ,                ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,                ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=164 from ODP Leg 112 SR Chapter 16 Table 8 p 288
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,112, 682,A, 44,X,CC,  17.00,    397.2700,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,53                         ,                     ,7                   ,                      ,                             ,                           ,                        ,                     ,4               ,                    ,                  ,                    ,             ,                    ,                  ,3               ,            ,             ,17                     ,T                ,                    ,                         ,3                   ,                  ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,3                  ,                 ,                        ,                ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,3                              ,2                    ,5                  ,                           ,                  ,                               ,                   ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,                    ,                   ,                           ,           ,                               ,                          ,               ,                       ,                 ,                 ,                 ,                        ,                        ,                           ,                     ,                     ,                    ,                  ,                    ,                                 ,                 ,                           ,                      ,                 ,                        ,                 ,                    ,                       ,                         ,                ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,                ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=101 from ODP Leg 112 SR Chapter 16 Table 8 p 288
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,112, 682,A, 46,X,CC,  16.00,    410.1300,Resig    ,Benthic Foraminifers                         ,               ,                  ,2                     ,               ,                           ,5                    ,                    ,T                     ,T                            ,                           ,10                      ,1                    ,                ,19                  ,                  ,                    ,             ,                    ,                  ,20              ,            ,             ,25                     ,                 ,                    ,                         ,                    ,                  ,                     ,                   ,                           ,5                   ,             ,1                        ,1                        ,2                     ,T                  ,2                ,1                       ,1               ,T                 ,4                ,1                      ,T                         ,T                ,T                   ,T                        ,                               ,                     ,                   ,                           ,                  ,                               ,                   ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,                    ,                   ,                           ,           ,                               ,                          ,               ,                       ,                 ,                 ,                 ,                        ,                        ,                           ,                     ,                     ,                    ,                  ,                    ,                                 ,                 ,                           ,                      ,                 ,                        ,                 ,                    ,                       ,                         ,                ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,                ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=105 from ODP Leg 112 SR Chapter 16 Table 8 p 288
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,112, 682,A, 47,X,CC,  28.00,    421.7700,Resig    ,Benthic Foraminifers                         ,               ,                  ,1                     ,               ,4                          ,4                    ,                    ,                      ,                             ,2                          ,2                       ,5                    ,2               ,2                   ,                  ,30                  ,             ,                    ,                  ,1               ,            ,             ,20                     ,                 ,1                   ,2                        ,                    ,2                 ,1                    ,1                  ,3                          ,8                   ,7            ,1                        ,1                        ,                      ,                   ,                 ,                        ,                ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,                   ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,                    ,                   ,                           ,           ,                               ,                          ,               ,                       ,                 ,                 ,                 ,                        ,                        ,                           ,                     ,                     ,                    ,                  ,                    ,                                 ,                 ,                           ,                      ,                 ,                        ,                 ,                    ,                       ,                         ,                ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,                ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=101 from ODP Leg 112 SR Chapter 16 Table 8 p 288
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,112, 682,A, 48,X,CC,  34.00,    427.9300,Resig    ,Benthic Foraminifers                         ,               ,                  ,2                     ,1              ,2                          ,2                    ,5                   ,1                     ,1                            ,1                          ,18                      ,1                    ,T               ,7                   ,1                 ,6                   ,2            ,1                   ,1                 ,8               ,5           ,1            ,27                     ,1                ,2                   ,T                        ,4                   ,                  ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,                        ,                ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,                   ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,                    ,                   ,                           ,           ,                               ,                          ,               ,                       ,                 ,                 ,                 ,                        ,                        ,                           ,                     ,                     ,                    ,                  ,                    ,                                 ,                 ,                           ,                      ,                 ,                        ,                 ,                    ,                       ,                         ,                ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,                ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=111 from ODP Leg 112 SR Chapter 16 Table 8 p 288
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
