Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina triloculinoides,Globigerina linaperta,Acarinina mckannai,Planorotalites pseudomenardii,Morozovella aequa,Acarinina primitiva,Planktonic spp. indeterminate,Morozovella spp.,Globigerina spp.,Acarinina spp.,Morozovella spinulosa,Globigerina senni,Acarinina pentacamerata,Acarinina bullbrooki,Acarinina broedermanni,Morozovella aragonensis,Globigerinatheka index,Globorotalia cerroazulensis frontosa,Globigerinatheka subconglobata,Globigerinatheka spp.,Globigerinatheka subconglobata subconglobata,Globigerina eocaena,Truncorotaloides rohri,Truncorotaloides spp.,Catapsydrax spp.,Globigerina cryptomphala,Catapsydrax dissimilis,Morozovella lehneri,Globorotaloides spp.,Globigerinoides higginsi,Acarinina pseudotopilensis,Truncorotaloides topilensis,Pseudohastigerina micra,Globorotaloides suteri,Globorotalia cerroazulensis,Catapsydrax unicavus,Globigerinatheka kugleri,Globigerinatheka barri,Truncorotaloides rohri/topilensis transition,Hantkenina spp.,Globorotalia opima nana,Globorotalia cerroazulensis pomeroli,Globorotalia cerroazulensis cerroazulensis,Globigerina yeguaensis,Globorotalia cerroazulensis/pomeroli transition,Globoquadrina venezuelana,Globorotalia cerroazulensis/cocoaensis transition,Globigerina corpulenta,Globorotalia cerroazulensis cocoaensis,Globigerina sellii,Globigerina praebulloides,Globigerina ouachitaensis,Globigerina euapertura,Globigerina tripartita,Hantkenina alabamensis/primitiva,Planorotalites palmerae,Globigerina ampliapertura,Globoquadrina spp.,Pseudohastigerina naguewichiensis,Globorotalia increbescens,Globigerina woodi woodi,Globigerina ciperoensis angustiumbilicata,Globigerina ciperoensis,Globigerinelloides spp.,Globorotalia opima opima,Globigerina tapuriensis,Globigerina ciperoensis ciperoensis,Globigerina ciperoensis angulisuturalis,Globorotalia opima nana/opima opima transition,Globigerina gortanii,Hedbergella spp.,Globorotalia nana/continuosa transition,Globorotalia siakensis,Globorotalia mayeri,Globoquadrina globularis,Globorotalia obesa,Globigerinita naparimaensis,Globigerina praeturritilina,Cassigerinella chipolensis,Globigerinoides primordius,Globigerinoides spp.,Globoquadrina dehiscens,Globorotalia fohsi peripheroronda,Globoquadrina dehiscens praedehiscens,Globigerina falconensis,Globoquadrina altispira,Globorotalia kugleri,Globorotalia continuosa,Globigerinoides altiaperturus,Globigerina venezuelana,Globoquadrina baroemoenensis,Globoquadrina dehiscens dehiscens,Globigerinoides trilobus/immaturus,Globorotalia praescitula,Globoquadrina altispira globosa,Globigerinoides sacculifer,Catapsydrax stainforthi,Globorotalia acrostoma,Globigerinoides subquadratus,Globoquadrina altispira altispira,Globoquadrina altispira conica,Globorotalia archeomenardii,Globorotalia miozea,Globigerina druryi,Praeorbulina transitoria,Hastigerina praesiphonifera,Praeorbulina sicana,Sphaeroidinellopsis disjuncta,Globorotalia scitula s.l.,Globigerina bulloides,Sphaeroidinellopsis seminulina,Praeorbulina glomerosa glomerosa,Praeorbulina glomerosa curva,Praeorbulina glomerosa,Globorotalia conoidea,Orbulina universa,Orbulina suturalis,Globorotalia scitula,Globorotalia fohsi peripheroacuta,Globorotalia fohsi fohsi,Globigerina decoraperta,Globorotalia praemenardii,Globorotalia cibaoensis,Globorotalia menardii,Globigerina nepenthes,Globigerina apertura,Sphaeroidinellopsis paenedehiscens,Neogloboquadrina pachyderma,Neogloboquadrina atlantica,Globorotalia merotumida,Neogloboquadrina acostaensis,Beella praedigitata,Neogloboquadrina humerosa,Globigerinoides trilobus/sacculifer transition,Globigerinoides ruber (white),Sphaeroidinellopsis subdehiscens,Globigerinatella insueta,Pseudotextularia elegans,Marginotruncana spp.,Hedbergella holmdelensis,Globotruncanita stuartiformis,Globigerinoides obliquus obliquus,Globigerinoides conglobatus,Hastigerina siphonifera,Globorotalia puncticulata,Globorotalia crassaformis ronda,Globorotalia crassaformis crassaformis,Globorotalia crassaformis,Globotruncana marginata,Hastigerina aequilateralis,Globorotalia margaritae margaritae,Globigerina megastoma cariacoensis,Neogloboquadrina dutertrei,Orbulina bilobata,Globigerinoides elongatus/obliquus extremus,Sphaeroidinella dehiscens,Globorotalia truncatulinoides,Globorotalia inflata,Globorotalia triangula,Pulleniatina primalis,Globorotalia tosaensis,Globorotalia crassaformis hessi,Pulleniatina obliquiloculata,Globigerina bermudezi,Globorotalia hirsuta,Globigerinoides ruber (pink),Beella digitata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,Early Miocene    ,N4                ,              ,149, 900,A, 37,R, 1, 100.00,    335.5000,Gervais  ,Planktonic Foraminifers                      ,C              ,P                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,R                     ,                   ,                    ,                        ,                          ,                           ,                       ,R                     ,                           ,?                   ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,R                        ,                                                 ,                      ,                                      ,?                 ,R                        ,                         ,                      ,R                     ,                                ,                       ,                         ,R                 ,                                 ,                         ,                       ,R                                        ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,F                                      ,R                     ,R                  ,                        ,R                 ,                           ,                           ,                          ,?                         ,?                   ,R                      ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,                     ,                              ,                                ,                            ,                      ,                     ,                 ,                  ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,                           ,                          ,                       ,                            ,                   ,                         ,                                              ,                             ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,                           ,                       ,                         ,                               ,                                      ,                         ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 13. page 184.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,Early Miocene    ,N4                ,              ,149, 900,A, 37,R, 4,  57.00,    339.5700,Gervais  ,Planktonic Foraminifers                      ,R              ,P                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,R               ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,?                     ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,R                 ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,R                                      ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,?                   ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,                     ,                              ,                                ,                            ,                      ,                     ,                 ,                  ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,                           ,                          ,                       ,                            ,                   ,                         ,                                              ,                             ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,                           ,                       ,                         ,                               ,                                      ,                         ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 13. page 184.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,Early Miocene    ,N4                ,              ,149, 900,A, 37,R, 5,  64.00,    341.1400,Gervais  ,Planktonic Foraminifers                      ,A              ,P                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,R               ,                        ,R                     ,                   ,R                   ,                        ,                          ,                           ,                       ,R                     ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,R                        ,                                                 ,                      ,                                      ,                  ,R                        ,                         ,                      ,                      ,                                ,                       ,                         ,R                 ,                                 ,                         ,                       ,R                                        ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,F                                      ,                      ,R                  ,                        ,                  ,                           ,                           ,                          ,                          ,R                   ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,                     ,                              ,                                ,                            ,                      ,                     ,                 ,                  ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,                           ,                          ,                       ,                            ,                   ,                         ,                                              ,                             ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,                           ,                       ,                         ,                               ,                                      ,                         ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 13. page 184.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,149, 900,A, 37,R, 6,  12.00,    342.1200,Gervais  ,Planktonic Foraminifers                      ,F              ,P                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,R               ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,R                     ,                   ,                    ,                        ,                          ,                           ,                       ,R                     ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,R                                      ,                      ,R                  ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,                     ,                              ,                                ,                            ,                      ,                     ,                 ,                  ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,                           ,                          ,                       ,                            ,                   ,                         ,                                              ,                             ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,                           ,                       ,                         ,                               ,                                      ,                         ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 14. page 185.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,149, 900,A, 38,R, 1,  76.00,    344.9600,Gervais  ,Planktonic Foraminifers                      ,F              ,P                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,R                     ,                           ,R                   ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,R                        ,                                                 ,                      ,                                      ,R                 ,                         ,                         ,                      ,?                     ,                                ,                       ,                         ,R                 ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,R                  ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,                     ,                              ,                                ,                            ,                      ,                     ,                 ,                  ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,                           ,                          ,                       ,                            ,                   ,                         ,                                              ,                             ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,                           ,                       ,                         ,                               ,                                      ,                         ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 14. page 185.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,149, 900,A, 38,R, 2, 134.00,    347.0400,Gervais  ,Planktonic Foraminifers                      ,F              ,M                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,R                        ,                         ,                      ,                      ,                                ,                       ,                         ,R                 ,                                 ,                         ,                       ,R                                        ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,R                                      ,                      ,R                  ,                        ,R                 ,                           ,                           ,R                         ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,                     ,                              ,                                ,                            ,                      ,                     ,                 ,                  ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,                           ,                          ,                       ,                            ,                   ,                         ,                                              ,                             ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,                           ,                       ,                         ,                               ,                                      ,                         ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 14. page 185.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,149, 900,A, 38,R, 3, 134.00,    348.5400,Gervais  ,Planktonic Foraminifers                      ,F              ,P                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,R               ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,R                        ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,                     ,                              ,                                ,                            ,                      ,                     ,                 ,                  ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,                           ,                          ,                       ,                            ,                   ,                         ,                                              ,                             ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,                           ,                       ,                         ,                               ,                                      ,                         ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 14. page 185.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,149, 900,A, 38,R, 5,  48.00,    350.6800,Gervais  ,Planktonic Foraminifers                      ,R              ,P                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,R                        ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,                     ,                              ,                                ,                            ,                      ,                     ,                 ,                  ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,                           ,                          ,                       ,                            ,                   ,                         ,                                              ,                             ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,                           ,                       ,                         ,                               ,                                      ,                         ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 14. page 185.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,149, 900,A, 38,R, 6,  71.00,    352.4100,Gervais  ,Planktonic Foraminifers                      ,F              ,P                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,R               ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,R                     ,                   ,                    ,                        ,                          ,                           ,                       ,R                     ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,R                        ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,R                  ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,                     ,                              ,                                ,                            ,                      ,                     ,                 ,                  ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,                           ,                          ,                       ,                            ,                   ,                         ,                                              ,                             ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,                           ,                       ,                         ,                               ,                                      ,                         ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 14. page 185.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,149, 900,A, 39,R, 1,  78.00,    354.5800,Gervais  ,Planktonic Foraminifers                      ,F              ,P                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,R               ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,?                     ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,R                        ,                                                 ,                      ,                                      ,                  ,R                        ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,R                                        ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,R                     ,                   ,                        ,R                 ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,                     ,                              ,                                ,                            ,                      ,                     ,                 ,                  ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,                           ,                          ,                       ,                            ,                   ,                         ,                                              ,                             ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,                           ,                       ,                         ,                               ,                                      ,                         ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 14. page 185.
