Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygabikodinium lenticulatum	Xandarodinium xanthum	Tuberculodinium vancampoae	Trinovantedinium capitatum	Tectatodinium sp. II	Tectatodinium sp. I	Tectatodinium pellitum	Stelladinium reidii	Spiniferites spp.	Spiniferites scabratus	Spiniferites elongatus	Spiniferites bentorii	Selenopemphix quanta	Selenopemphix nephroides	Quinquecuspis spp.	Polysphaeridium zoharyi	Peridinium faeroense	Pediastrum sp.	Operculodinium israelianum	Operculodinium centrocarpum	Nematosphaeropsis lemniscata	Nematosphaeropsis labyrinthea	Multispinula minuta	Lingulodinium machaerophorum	Impagidinium spp.	Impagidinium sphaericum	Impagidinium multiplexum	Filisphaera filifera	Cordosphaeridium sp. 1	Brigantedinium sp. group. H	Brigantedinium sp. group B	Brigantedinium simplex	Bitectatodinium tepikiense	Ataxiodinium choanum	Achomosphaera ramulifera	Achomosphaera andalousiensis	Comment
  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  7	H	 4	  86.00	     57.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                          	R                    	-                         	-                         	-                   	-                  	-                     	-                  	-                	R                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	R             	-                         	R                          	-                           	-                            	C                  	R                           	-                	-                      	-                       	-                   	-                     	C                          	-                         	C                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  8	H	 1	  86.00	     62.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	C                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	-                          	-                           	-                            	C                  	C                           	-                	-                      	-                       	-                   	-                     	C                          	-                         	C                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  8	H	 2	  86.00	     63.9600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	-                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	R             	-                         	-                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	-                          	-                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	                 	                 	                  	              	104	 644	B	  8	H	 3	  86.00	     65.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	B              	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	-                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	-                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	-                          	-                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	                 	                 	                  	              	104	 644	B	  8	H	 4	  86.00	     66.9600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	B              	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	-                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	-                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	-                          	-                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	                 	                 	                  	              	104	 644	B	  9	H	 1	  86.00	     71.9600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	B              	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	-                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	-                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	-                          	-                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  9	H	 2	  86.00	     73.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	R                     	R                  	C                	-                     	-                     	R                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	A                          	-                           	-                            	R                  	-                           	-                	-                      	-                       	-                   	-                     	R                          	-                         	R                     	C                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  9	H	 3	  86.00	     74.9600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	-                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	-                          	-                           	-                            	A                  	-                           	-                	-                      	-                       	-                   	-                     	-                          	-                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  9	H	 4	  86.00	     76.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	R                   	-                  	R                     	R                  	R                	-                     	R                     	-                    	-                   	-                       	-                 	-                      	R                   	-             	-                         	R                          	-                           	R                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	R                          	-                         	R                     	A                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	 10	H	 1	  86.00	     81.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	-                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	-                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	-                          	-                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

