Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Neogloboquadrina pachyderma,Neogloboquadrina cf. continuosa,Globorotalia cibaoensis,Globigerinita glutinata,Globigerina woodi,Globigerina quinqueloba,Globigerina decoraperta,Globigerina cf. woodi,Globigerina bulloides,Globigerina cf. bulloides,Neogloboquadrina pachyderma (sin.),Globorotalia sp. aff. G.sphericonomiozea,Globorotalia sp. aff. G. juanai,Globorotalia scitula,Globigerinella obesa,Globigerina clarkei,Globigerina aff. bulloides,Globorotalia sphericomiozea,Globorotalia juanai,Globorotalia sp. aff. G. puncticulata,Globorotalia sp. cf. G.pliozea,Globigerinita uvula,Neogloboquadrina pachyderma (dex.),Neogloboquadrina sp. A,Globorotalia theyeri,Globorotalia crassaformis,Globigerinella calida,Globorotalia cf. Gr. margaritae,Globorotalia puncticulata var. A,Globorotalia puncticulata puncticulata,Globorotalia puncticulata,Globigerina falconensis,Globigerina cariacoensis,Globigerinita cf. uvula,Globigerinita iota,Globigerina eamesi,Globorotalia inflata,Globigerina rubescens,Globorotalia tosaensis,Globigerina sp. A,Beella praedigitata,Neogloboquadrina pachyderma sp. 1 left-coiling,Globorotalia crassula,Globorotalia sp. A,Globigerina bulloides umbilicata,Globorotalia cf. Gr. tosaensis,Globorotalia blowi,Globorotaloides hexagona,Beella digitata,Sphaeroidinellopsis sp. cf. S. seminulina,Globigerinella pseudobesa,Globorotalia truncatulinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. puncticulata   ,              ,114, 704,A, 19,X, 4,  70.00,    173.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,+                      ,+                      ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,+                        ,                     ,                               ,+                               ,+                                     ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 19,X, 5,  40.00,    175.1000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,2.1%                   ,                 ,.1%                    ,                       ,                     ,34.4%                ,                         ,56.1%                             ,                                        ,                               ,                    ,                    ,                   ,2.1%                      ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,5.0%                     ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,33600 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. puncticulata   ,              ,114, 704,A, 19,X, 5,  70.00,    175.4000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,+                ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,+                        ,                     ,                               ,                                ,                                      ,                         ,+                      ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. puncticulata   ,              ,114, 704,A, 19,X, 6,  70.00,    176.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,+                      ,+                ,                       ,                       ,                     ,+                    ,+                        ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,+                  ,                                  ,+                     ,                    ,+                        ,                     ,                               ,+                               ,+                                     ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. puncticulata   ,              ,114, 704,A, 20,X, 1,  90.00,    179.1000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,+                        ,                     ,                               ,+                               ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 20,X, 1, 130.00,    179.5000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,8.1%                   ,                 ,                       ,                       ,                     ,25.5%                ,                         ,42.5%                             ,                                        ,                               ,.1%                 ,                    ,                   ,3.7%                      ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,20.2%                    ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,58800 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. puncticulata   ,              ,114, 704,A, 20,X, 2,  90.00,    180.6000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,                         ,                     ,                               ,+                               ,+                                     ,                         ,                       ,                        ,+                      ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. puncticulata   ,              ,114, 704,A, 20,X, 3,  90.00,    182.1000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,+                      ,+                      ,                 ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,                         ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 20,X, 3, 130.00,    182.5000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,2.3%                   ,                 ,                       ,                       ,                     ,1.7%                 ,                         ,2.3%                              ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,93.0%                    ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,300 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. puncticulata   ,              ,114, 704,A, 20,X, 4,  90.00,    183.6000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,+                      ,+                      ,                 ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,                      ,+                   ,                         ,                     ,                               ,                                ,+                                     ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. puncticulata   ,              ,114, 704,A, 20,X, 5,  90.00,    185.1000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,+                      ,+                      ,                 ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,+                     ,                    ,                         ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 20,X, 5, 130.00,    185.5000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,5.4%                   ,                 ,                       ,                       ,                     ,5.0%                 ,                         ,6.7%                              ,                                        ,                               ,.4%                 ,                    ,                   ,2.1%                      ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,80.0%                    ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,59400 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. puncticulata   ,              ,114, 704,A, 20,X, 6,  90.00,    186.6000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,+                      ,+                      ,                 ,+                      ,                       ,                     ,                     ,+                        ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,+                   ,                         ,                     ,                               ,+                               ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. puncticulata   ,              ,114, 704,A, 21,X, 1,   8.00,    187.7800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,+                      ,+                      ,                 ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,+                   ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,+                   ,+                        ,                     ,                               ,+                               ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 21,X, 1,  70.00,    188.4000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,1.2%                   ,                 ,                       ,                       ,                     ,37.4%                ,                         ,.6%                               ,                                        ,                               ,10.8%               ,                    ,                   ,.3%                       ,                           ,                   ,4.8%                                 ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,1.8%                     ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,131400 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. puncticulata   ,              ,114, 704,A, 21,X, 2,   8.00,    189.2800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,+                      ,+                      ,                 ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,+                  ,                                     ,                              ,                   ,                                  ,+                     ,+                   ,                         ,+                    ,+                              ,+                               ,+                                     ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. puncticulata   ,              ,114, 704,A, 21,X, 3,   8.00,    190.7800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,+                      ,+                      ,                 ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,+                   ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,+                  ,                                  ,+                     ,                    ,                         ,                     ,+                              ,+                               ,+                                     ,                         ,+                      ,+                       ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 21,X, 3,  70.00,    191.4000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,1.7%                   ,                 ,.4%                    ,                       ,                     ,45.6%                ,                         ,2.5%                              ,                                        ,                               ,8.6%                ,                    ,                   ,                          ,                           ,                   ,35.0%                                ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,6.0%                     ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,54000 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. puncticulata   ,              ,114, 704,A, 21,X, 4,   8.00,    192.2800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,+                      ,+                      ,                 ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,+                   ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,+                  ,                                  ,+                     ,+                   ,+                        ,                     ,+                              ,+                               ,+                                     ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. puncticulata   ,              ,114, 704,A, 22,X, 1,  39.00,    197.5900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,+                   ,                         ,                     ,+                              ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 22,X, 1, 104.00,    198.2400,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,5.8%                   ,                 ,                       ,                       ,                     ,3.6%                 ,                         ,22.7%                             ,                                        ,                               ,.7%                 ,                    ,                   ,.7%                       ,                           ,                   ,53.1%                                ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,15000 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. puncticulata   ,              ,114, 704,A, 22,X, 2,  39.00,    199.0900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,+                   ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,+                     ,+                   ,+                        ,+                    ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. puncticulata   ,              ,114, 704,A, 22,X, 3,  39.00,    200.5900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,+                ,                       ,                       ,                     ,                     ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 22,X, 3, 104.00,    201.2400,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,2.0%                   ,                 ,                       ,                       ,                     ,3.0%                 ,                         ,71.0%                             ,                                        ,                               ,                    ,                    ,                   ,24.0%                     ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,170 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. puncticulata   ,              ,114, 704,A, 22,X, 5,  39.00,    203.5900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,+                ,+                          ,                               ,                       ,                       ,+                ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 22,X, 5, 104.00,    204.2400,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,3.0%                   ,                 ,                       ,                       ,                     ,64.0%                ,                         ,28.5%                             ,                                        ,                               ,                    ,                    ,                   ,20.5%                     ,                           ,                   ,9.0%                                 ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,170 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,114, 704,A, 23,X, 1,  10.00,    206.8000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,2.5%                   ,                 ,                       ,                       ,                     ,29.0%                ,                         ,25.0%                             ,                                        ,                               ,                    ,                    ,                   ,3.8%                      ,                           ,                   ,37.5%                                ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,8400 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
