Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Victoriellidae (unspecified taxon or taxa),Rotaliid taxa,Orbitolites sp.,Orbitolites cf. douvellei,Miliolid taxa,Foraminifers (small),Alveolina sp.,Alveolina fornasinii,Alveolina aragonensis group,Rotalia sp.,Nummulites sp.,Nummulites burdigalensis group,Alveolina dainellii/palermitana,Alveolina cf. dainellii,Alveolina aff. palermitana,Discocyclina sp.,Somalina sp.,Operculina sp.,Nummulites burdigalensis cantabricus/campesinus,Alveolina canavarii group,Asterocyclina sp.,Linderina? sp.,Nummulites partchi group,Gypsina sp.,Discocyclina sella,Discocyclina douvillei,Assilina sp.,Nummulites pratti,Nummulites cf. caupennensis,Uvigerina pigmea (spinose),Stilostomella lepidula,Osangularia bengalensis,Orthomorphina perversa,Oridorsalis umbonatus,Melonis pacificus,Gyroidinoides altispirus,Globocassidulina subglobosa (small form),Globocassidulina subglobosa (medium size),Globocassidulina subglobosa (large form),Cibicidoides kullenbergi,Cassidulina crassa,Bulimina semicostata,Bolivinopsis gryzbowski,Bolivinita quadrilatera,Bolivinid (crenulate),Bolivina striatocola,Bolivina pulchra,Pullenia bulloides,Planulina renzi,Lenticulina vortex,Cibicidoides havanensis,Bulimina striata,Bulimina macilenta,Anomalinoides semicribratus,Stilostomella subspinosa,Pleurostomella subcylindrica,Martinottiella variabilis,Karreriella bradyi,Eggerella propinqua,Chrysalogonium equisetiformis,Bulimina alazanensis,Siphonodosaria modesta,Rectuvigerina spinea,Bolivina pseudoplicata,Uvigerina auberiana,Melonis affinis,Loxostomum sp.,Hanzawaia cushmani,Bolivina subreticulata,Bolivina peregrina,Bolivina arta,Sphaeroidina bulloides,Bolivina sp.,Pullenia sp.,Cassidulina laevigata,Nuttallides umbonifera,Cibicidoides cf. C. perlucidus,Lenticulina cf. L. calcar,Heterolepa dohmi,Pullenia quadriloba,Eggerella bradyi,Cibicidoides bradyi,Bulimina tuxpamensis,Bolivina tongi,Planulina cf. C. wuellerstorfi,Gyroidinoides planulatus,Stilostomella insecta,Trifarina pigmea,Planulina marialanna,Karreriella subrotundata,Gyroidinoides soldanii,Cibicidoides haitensis,Gaudryina sp.,Cassidulinoides bradyi,Bolivina tortuosa,Laticarinina pauperata,Heterolepa rugosa,Bulava sp.,Siphonina tenuicarinata,Ehrenbergina hystrix,Cibicides wuellerstorfi,Pullenia quinqueloba,Bolivina sp. (inflated),Bolivina cf. B. pulchra,Martinottiella petrosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 12,R, 1, 102.00,    105.6200,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,A             ,                              ,                               ,                       ,                          ,A               ,            ,              ,                                               ,                         ,C                ,              ,                        ,           ,C                 ,C                     ,            ,+                ,+                          ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 12,R, 1, 117.00,    105.7700,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,C             ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,+          ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 12,R,CC,  18.00,    105.9900,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,C             ,                              ,                               ,                       ,                          ,A               ,            ,              ,                                               ,                         ,A                ,              ,                        ,           ,C                 ,+                     ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 12,R,CC,  24.00,    106.0500,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,+             ,                              ,                               ,                       ,                          ,A               ,            ,              ,                                               ,                         ,A                ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 13,R, 1,   1.00,    114.3100,Nicora   ,Benthic Foraminifers                         ,               ,                  ,+                                         ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,+             ,                              ,                               ,                       ,                          ,+               ,            ,              ,                                               ,                         ,+                ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 13,R, 1,   8.00,    114.3800,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,             ,               ,                         ,             ,+                   ,             ,                    ,                           ,           ,+             ,                              ,                               ,                       ,                          ,A               ,            ,              ,                                               ,                         ,A                ,              ,                        ,           ,+                 ,                      ,            ,                 ,+                          ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 13,R, 1,  10.00,    114.4000,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,C            ,               ,                         ,C            ,A                   ,+            ,                    ,                           ,           ,+             ,                              ,                               ,                       ,                          ,A               ,            ,              ,                                               ,+                        ,A                ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 13,R, 1,  14.00,    114.4400,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,+            ,               ,                         ,+            ,+                   ,             ,                    ,                           ,           ,A             ,                              ,                               ,                       ,                          ,A               ,            ,              ,                                               ,                         ,A                ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 13,R, 1,  15.00,    114.4500,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,+            ,               ,                         ,+            ,C                   ,+            ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,A               ,            ,              ,                                               ,+                        ,A                ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 13,R, 1,  20.00,    114.5000,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,C            ,+              ,                         ,+            ,A                   ,+            ,                    ,                           ,+          ,A             ,A                             ,                               ,                       ,                          ,A               ,            ,              ,                                               ,                         ,A                ,              ,                        ,           ,                  ,                      ,            ,+                ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 14,R, 1,  12.00,    124.0200,Nicora   ,Benthic Foraminifers                         ,               ,                  ,+                                         ,C            ,               ,                         ,C            ,A                   ,             ,                    ,                           ,           ,              ,A                             ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 14,R, 1,  33.00,    124.2300,Nicora   ,Benthic Foraminifers                         ,               ,                  ,+                                         ,C            ,               ,                         ,C            ,A                   ,             ,                    ,                           ,           ,A             ,A                             ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 14,R, 1,  40.00,    124.3000,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,C            ,+              ,+                        ,C            ,A                   ,+            ,                    ,                           ,           ,A             ,A                             ,+                              ,                       ,                          ,+               ,            ,+             ,                                               ,+                        ,+                ,+             ,                        ,           ,                  ,+                     ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 14,R, 1,  44.00,    124.3400,Nicora   ,Benthic Foraminifers                         ,               ,                  ,+                                         ,C            ,               ,                         ,C            ,A                   ,+            ,                    ,                           ,           ,A             ,A                             ,                               ,                       ,                          ,+               ,            ,              ,                                               ,                         ,+                ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 14,R, 1,  47.00,    124.3700,Nicora   ,Benthic Foraminifers                         ,               ,                  ,+                                         ,A            ,+              ,+                        ,A            ,A                   ,C            ,                    ,                           ,C          ,A             ,A                             ,+                              ,+                      ,                          ,A               ,            ,+             ,                                               ,+                        ,A                ,+             ,                        ,+          ,                  ,+                     ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 15,R, 1,  42.00,    133.9200,Nicora   ,Benthic Foraminifers                         ,               ,                  ,+                                         ,C            ,+              ,                         ,C            ,A                   ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,+             ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 15,R, 1,  61.00,    134.1100,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,C            ,               ,                         ,C            ,A                   ,+            ,                    ,                           ,+          ,+             ,                              ,+                              ,+                      ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
