leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
15,149,,12,4,17.0,106.0,93.00,97.67,98.56,, NANNO MARL," 10YR6/4-GRAYISH ORANGE,10YR8/4-PALE G RAYISH ORANGE,5Y7/2-YELLOWISH GRAY",, VERY DISTURBED,,,," GRAYISH ORANGE UP TO 50 CM,VARICOLORED GRAYISH ORA NGE AND YELLOWISH GRAY ELSEWHERE"," FIRM,PLASTIC", 00000000
15,149,,12,5,0.0,108.0,93.00,99.00,100.08,, CLAYEY NANNO CHALK, 10YR7/4-PALE GRAYISH ORANGE, SMALL BURROW MOTTLING, VERY DISTURBED THROUGHOUT,,,,, MODERATELY FIRM, 00000000
15,149,,12,6,0.0,133.0,93.00,100.50,101.83,, CLAYEY NANNO CHALK," 10YR7/4-GRAYISH ORANGE,5GY7/2 -YELLOWISH GRAY", BASAL CONTACT MARKS COLOR CHANGE A T 127 CM,,,,," 0-127 CM IS GRAYISH ORANGE WHILE 127-133 IS YELLOWISH GRAY,BECOMES LIGHTER TOWARD LOWER ZONE",, 00000000
15,149,,13,1,18.0,150.0,102.00,102.18,103.50,, CLAY," 10YR5/4-MODERATE YELLOWISH BROWN,10YR8/4-PA LE GRAYISH ORANGE,5GY6/1", ZONE 36-46 CM AND 66-82 C M,,,,," 36-46 CM ZONE IS PALE GRAYISH ORANGE FORAM NANNO CHALK,66-82CM IS DISTURBED SLIGHT SHADE OF GREEN"," PLASTIC,FIRM", 00000000
15,149,,13,2,0.0,150.0,102.00,103.50,105.00,, CLAY," 10YR5/4-MODERATE YELLOWISH BROWN,10YR8/4,5Y 6/1-LIGHT OLIVE GRAY"," CHALK LAYER 51-62 CM,LIGHT OL IVE GRAY LAYER 81-100 CM", DISTURBED THROUGHOUT,,,, BE YOND 100 CM CARBONATE CONTENT INCREASES TOWARD BOTTO M," FIRM,PLASTIC", 00000000
15,149,,13,3,0.0,38.0,102.00,105.00,105.38,, MARL," 10YR5/4-YELLOWISH BROWN,6YR8/4-MODERATE ORA NGE PINK,5GY7/2-GRAYISH YELLOW GREEN",, VERY DISTURBE D,,,, VARICOLORED DUE TO MIXTURE OF ABOVE MENTIONED CO LORS,, 00000000
15,149,,13,3,38.0,150.0,102.00,105.38,106.50,, MARL, 5GY7/2-GRAYISH YELLOW GREEN,,,,,," FORAM RICH ZO NE 38-60 CM,FORAM POOR ZONE 60-68 CM"," FIRM,PLASTIC", 00000000
15,149,,13,4,22.0,150.0,102.00,106.72,108.00,, NANNO MARL," 5Y7/2-YELLOWISH GRAY,5YR5/6-LIGHT BRO WN",, DISTURBED,,,, LIGHT BROWN LAMINAE 115 CM," FIRM,P LASTIC", 00000000
15,149,,13,5,0.0,150.0,102.00,108.00,109.50,, NANNO MARL," 5Y7/2-YELLOWISH GRAY,5YR5/6-LIGHT BRO WN,10YR5/4-YELLOWISH BROWN"," BURROW-LIKE MOTTLING IN LOWER 40CM,DISTURBED ZONE 27-50 CM",,,,, VARIEGATED STR UCTURES OF OLIVE GRAY LIGHT BROWN AND YELLOWISH BROW N,, 00000000
15,149,,13,6,0.0,54.0,102.00,109.50,110.04,, NANNO CHALK, 5Y7/2-YELLOWISH GRAY, BURROW MOTTLI NGS IN UPPER 10 CM, VERY DISTURBED,,,," HOMOGENOUS,BAS AL CONTACT IS SHARP IN UNDERLYING ZONE,HOMOGENOUS", FIRM AND PLASTIC, 00000000
15,149,,13,6,54.0,82.0,102.00,110.04,110.32,, CLAY, 10YR5/4-MODERATE YELLOWISH BROWN,, VERY DIS TURBED,,,,," VERY FIRM,PLASTIC", 00000000
15,149,,14,1,98.0,150.0,112.00,112.98,113.50,, MARL," 10YR7/4-GRAYISH ORANGE,-GREEN,-BROWN",, EXTE NSIVE DISTURBANCES FLOW IN,,,, MIXED GREENISH AND BROW NISH LENSES," SOFT,PLASTIC", 00000000
15,149,,14,2,3.0,150.0,112.00,113.53,115.00,, MARL,,, EXTENSIVE DISTURBANCES THROUGHOUT,,,," VARICOL ORED DUE TO DISTURBANCES,DISTORTED LAYERS OCCUR AS B IG LUMPS,SIMILAR IN COLOR TO OVERLYING SECTION",, 00000000
15,149,,14,3,0.0,105.0,112.00,115.00,116.05,, CLAY," 10YR5/4-MODERATE YELLOWISH BROWN,5GY7/2-GRA YISH YELLOW GREEN,5YR5/6-LIGHT BROWN",," VERY DISTURBE D,DRILLING BRECCIA TYPE OF DISTURBANCES",,,," VARICOLORE D LUMPS OF MARLEY LAYERS,GEOCHEM BELOW 105 CM",, 00000000
15,149,,14,4,0.0,150.0,112.00,116.50,118.00,, CLAY," 10YR5/4-MODERATE YELLOWISH BROWN,5GY7/2-GRA YISH YELLOW GREEN,5YR5/6-LIGHT BROWN"," STRIKING LIGH T BROWN LAMINAE AT 105 CM,FAINT MOTTLING THROUGHOUT",,,,, YELLOWISH BROWN BECOMING YELLOW GREEN TOWARDS BOTT OM, FIRM TO VERY FIRM IN LOWER PART, 00000000
15,149,,15,1,0.0,32.0,121.00,121.00,121.32,, MARL," 10YR8/4-GRAYISH ORANGE,10YR5/4-MODERATE YEL LOWISH BROWN", BURROW MOTTLING, VERY DISTURBED THRO UGHOUT,,,,,, 00000000
15,149,,15,1,32.0,150.0,121.00,121.32,122.50,, CLAY," 10YR5/4-MODERATE YELLOWISH BROWN,5YR5/6-LIG HT BROWN", LIGHT BROWN LAMINAE SIMILAR TO PRECEDING SECTION AT 102 CM,,, MN ABUNDANT 48-55 CM,,,, 00000000
15,149,,15,2,0.0,150.0,121.00,122.50,124.00,, CLAY," 10YR5/4-MODERATE YELLOWISH BROWN,-SLIGHTLY GREENISH,-SLIGHTLY BROWNISH"," SLIGHT MOTTLING THROUG HOUT,BROWNISH ZONE 105-117 CM",,, MN,," CARBONATE CONTE NT NIL IN UPPER ZONE,MN SPECKLES OCCUR ESPECIALLY IN LOWER PART"," FIRM,PLASTIC", 00000000
15,149,,15,3,0.0,150.0,121.00,124.00,125.50,, NANNO MARL," 10YR8/4-GRAYISH ORANGE,5YR5/6,10YR5/4"," BURROW MOTTLING ABUNDANT,TWO INTERBEDDED CLAY ZON ES 8-13 AND 31-46 CM",,," FEL,GLAUC,PLAG",," SMALL LENSES CONTAINING FEL,PLAG.GLAUC AT 63,108 CM",, 00000000
15,149,,15,4,0.0,150.0,121.00,125.50,127.00,, NANNO MARL," 10YR8/4-GRAYISH ORANGE,10YR7/4,10YR5/ 4"," BURROW MOTTLING THROUGHOUT,INTERBEDDED DARKER ZO NES RICH IN CLAY",,,,, BURROW MOTTLING BLURS ACTUAL SEQU ENTIAL APPEARANCE OF ZONES,, 12131210.3320
15,149,,15,5,0.0,150.0,121.00,127.00,128.50,, NANNO MARL," 10YR8/4-GRAYISH ORANGE,10YR6/4,5Y6/1- LIGHT OLIVE GRAY"," EXTENSIVE BURROW MOTTLING,INTERBE DDED ZONES OF NANNO MARL",, MN.OX SPRECKLES AT SEVERA L INTERVALS, MN.OX,, BURROW MOTTLING BLURS PRIMARY LAYERED STRUCTURES,, 12131210.3320
15,149,,16,1,25.0,63.0,130.00,130.25,130.63,," VARIEGATED MARL,CLAY", 10YR7/4-10YR5/4-MODERATE YE LLOWISH BROWN,, SECONDARILY DISTURBED,,,,," FIRM,PLASTIC", 12131210.3320
15,149,,16,1,63.0,150.0,130.00,130.63,131.50,," VARIEGATED MARL,CLAY"," 10YR5/4-MODERATE YELLOWISH BROWN,5Y5/1,5Y6/1-LIGHT OLIVE GRAY",,,,,, BURROW MOTTLING BLURS PRIMARY LAYERING," FIRM,PLASTIC", 12131210.3320
15,149,,16,2,0.0,150.0,130.00,131.50,133.00,," MARL,CLAY"," 5Y5/1,10YR7/4,5Y6/1-LIGHT OLIVE GRAY,1 0YR4/4-DARK YELLOWISH BROWN"," BURROW MOTTLING,ALTERN ATING ZONES OF MARL WITH HIGHER CLAY CONTENT ZONES",,,,," AT LEAST 5 SEQUENTIAL ZONES OCCUR ALONG SECTION BUT BOUNDARIES ARE APPROXIMATE DUE TO BURROW INTERMIXIN G,COLORS VARY WITH CLAY ZONES BEING DARKER"," FIRM,PL ASTIC", 00000000
