Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygocircus buetschli,Theoperidae (other theoperids Takemura 1992),Stylosphaera spp.,Spumellaria (other spumellarians of Takemura 1992),Spongodiscus spp.,Siphocampe(?) quadrata,Sethoconus sp.,Prunopyle spp.,Peripyramis spp.,Periphaena heliasteriscus,Lychnocanoma spp.,Lychnocanoma cf. babylonis,Lychnocanoma amphitrite,Lophocyrtis biaurita,Lophoconus titanothericeraos,Lithomelissa sphaerocephalis,Eusyringium fistuligerum,Dictyoprora mongolfieri,Cyclampterium(?) milowi,Corythospyris aff. jubata,Clathrocyclas universa,Calocyclas sp. C,Axoprunum pierinae,Axoprunum bispiculum,Amphistylus? sp. ,Amphistylus angelinus,Acanthodesmiidae (Other acanthodesmiids of Takemura 1992),Xiphospira spp.,Siphocampe nodosaria,Pterocanium? sp.,Prunopyle hayesi,Plagoniidae (other plagoniids of Takemura 1992),Periphaena decora,Lychnocanoma conica,Lithapium cf. mitra,Lithapium anoectum,Dictyoprora pirum,Cornutella spp.,Ceratocyrtis spp.,Carpocanistrum spp.,Calocyclas sp. B,Siphocampe acephala,Amphipyndax stocki,Heliostylus sp.,Calocyclas cf. semipolita,Eucyrtidium spinosum,Diplocyclas sp.,Cyrtocapsella robusta,Cannobotryidae (other cannobotryids of Takemura 1992),Archaeodictyomitra? sp.,Dendrospyris stabilis,Calocyclas sp. A,Botryopyle dictyocephalus,Theocyrtis tuberosa,Eucyrtidium cheni,Pterocoryidae (other pterocoryids of Takemura 1992),Orosphaerid taxa,Cycladophora bicornis,Artostrobus? cf. pretabulatus,Artostrobiidae (other artostrobiids of Takemura 1992),Lithomelissa tricornis,Corythomelissa horrida,Eucyrtidium spp.,Theoperid (gen. et sp. Indet.),Dicolocapsa microcephala,Spongoplegma aff. antarcticum,Prunopyle frakesi,Corythomelissa? sp.,Prunopyle tetrapila,Lithomelissa challengerae,Cyrtocapsella aff. japonica,Axoprunum(?) irregularis,Plagoniid (gen. et sp. Indet.),Velicucullus cf. oddgurneri,Cycladophora conica,Lithomelissa sp.,Velicucullus altus,Stylosphaera sp. B,Stylosphaera radiosa,Stylosphaera coronata laevis,Spongotrochus spp.,Spongopyle osculosa,Spongodiscus craticulatus,Prunopyle sp. B,Lithomelissa robusta,Lamprocyclas sp.,Ceratocyrtis stigi,Carpocanarium papillosum,Actinomma sp. B,Actinomma medusa,Actinomma holtedahli,Prunopyle sp. A,Gondwanaria japonica,Corythospyris fiscella,Ceratocyrtis mashae,Cenosphaera sp. A,Artophormis gracilis,Prunopyle titan,Eucyrtidium cienkowskii,Cycladophora sp.,Velicucullus sp.,Stylosphaera sp. C,Stichopilium bicorne?,Lithomelissa stigi,Lampromitra coronata,Hexalonche philosophica?,Druppatractus hastatus,Dictyophimus crisiae,Dendrospyris cf. megalocephalis,Cyrtocapsella tetrapera,Cyrtocapsella longithorax,Cycladophora antiqua,Antarctissa deflandrei,Lithomelissa cf. ehrenbergi,Gondwanaria deflandrei,Cycladophora golli regipileus,Circodiscus ellipticus,Stylatractus santaeannae,Eucyrtidium punctatum,Eucyrtidium pseudoinflatum,Cycladophora golli golli,Eucyrtidium calvertense,Actinomma magnifenestra,Actinomma golownini,Acrosphaera spp.,Ceratocyrtis sp.,Stauroxiphos communis,Triceraspyris coronata,Rhopalodictyum sp.,Dendrospyris rhodospyroides,Trissocyclid sp. A,Stylatractus universus,Stylacontarium bispiculum,Lychnocanoma sp. C,Gondwanaria sp. A,Actinomma sp. A,Stylatractus neptunus,Tholoniid sp. B,Stylosphaera sp. A,Hexacontium cf. enthacanthum,Stichophormis sp.,Saturnalis circularis,Anthocyrtidium sp.,Desmospyris rhodospyroides,Pterocanium korotnevi,Cycladophora spongothorax,Calocyclas humerus,Siphonosphaera magnisphaera,Lithartractus timmsi?,Spongotrochus glacialis,Pterocanium charybdeum trilobum,Acrosphaera australis,Acrosphaera mercurius,Siphonosphaera vesuvius,Lychnocanium grande,Desmospyris spongiosa,Cycladophora pliocenica,Acrosphaera murrayana,Rhopalastrum spp.,Stylatractus universus var. transparum,Helotholus vema,Antarctissa strelkovi,Antarctissa denticulata,Antarctissa cylindrica,Triceraspyris antarctica,Cycladophora davisiana,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,L. conica         ,              ,120, 748,B,  9,H, 3,  45.00,     70.0500,Takemura ,Radiolarians                                 ,A              ,G                 ,                    ,9                                           ,3                ,665                                               ,51               ,                      ,              ,24            ,1               ,                         ,                 ,                          ,0                      ,                    ,                            ,                            ,                        ,                       ,                       ,1                        ,                      ,                ,                  ,22                  ,                 ,17                   ,0                                                        ,3              ,                    ,4               ,56              ,17                                             ,                 ,7                  ,                   ,                  ,                 ,0              ,40               ,9                  ,                ,                   ,                  ,               ,                         ,                    ,               ,36                   ,                                                     ,                       ,?                    ,10              ,0                        ,                   ,                 ,11                                                 ,0               ,0                    ,                             ,1                                                    ,0                     ,2                     ,                ,                              ,                        ,1                            ,                 ,2                  ,2                  ,?                        ,12                         ,                        ,1                             ,5                          ,3                  ,1               ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,L. conica         ,              ,120, 748,B,  9,H, 4,  45.00,     71.5500,Takemura ,Radiolarians                                 ,A              ,G                 ,                    ,8                                           ,7                ,531                                               ,122              ,                      ,              ,60            ,5               ,                         ,                 ,                          ,                       ,                    ,                            ,?                           ,                        ,                       ,?                      ,1                        ,                      ,                ,                  ,0                   ,                 ,5                    ,                                                         ,15             ,                    ,                ,44              ,17                                             ,                 ,55                 ,                   ,                  ,                 ,0              ,56               ,18                 ,                ,                   ,                  ,               ,0                        ,                    ,               ,31                   ,                                                     ,                       ,0                    ,9               ,                         ,                   ,                 ,1                                                  ,0               ,                     ,                             ,                                                     ,                      ,2                     ,                ,                              ,                        ,3                            ,                 ,1                  ,0                  ,0                        ,7                          ,?                       ,3                             ,                           ,3                  ,9               ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,L. conica         ,              ,120, 748,B,  9,H, 5,  45.00,     73.0500,Takemura ,Radiolarians                                 ,A              ,M                 ,                    ,2                                           ,60               ,822                                               ,27               ,                      ,0             ,15            ,7               ,0                        ,                 ,                          ,0                      ,                    ,                            ,0                           ,                        ,                       ,0                      ,0                        ,                      ,                ,                  ,0                   ,                 ,1                    ,0                                                        ,2              ,                    ,                ,15              ,2                                              ,                 ,24                 ,                   ,                  ,                 ,               ,14               ,7                  ,                ,                   ,                  ,               ,2                        ,                    ,               ,8                    ,                                                     ,                       ,2                    ,3               ,                         ,                   ,0                ,0                                                  ,0               ,0                    ,                             ,                                                     ,                      ,0                     ,                ,                              ,                        ,                             ,                 ,2                  ,1                  ,0                        ,1                          ,                        ,0                             ,                           ,2                  ,0               ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,L. conica         ,              ,120, 748,B,  9,H, 6,  45.00,     74.5500,Takemura ,Radiolarians                                 ,C              ,M                 ,                    ,2                                           ,215              ,659                                               ,38               ,                      ,              ,20            ,6               ,                         ,                 ,                          ,0                      ,                    ,                            ,                            ,                        ,                       ,0                      ,1                        ,                      ,                ,                  ,1                   ,                 ,2                    ,                                                         ,3              ,                    ,0               ,17              ,1                                              ,                 ,18                 ,                   ,                  ,                 ,               ,11               ,6                  ,                ,                   ,                  ,               ,                         ,                    ,               ,3                    ,                                                     ,                       ,?                    ,3               ,1                        ,                   ,                 ,                                                   ,0               ,0                    ,                             ,                                                     ,0                     ,                      ,                ,                              ,                        ,6                            ,                 ,                   ,1                  ,1                        ,1                          ,                        ,3                             ,                           ,2                  ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,L. conica         ,              ,120, 748,B,  9,H, 7,  45.00,     76.0500,Takemura ,Radiolarians                                 ,A              ,G                 ,                    ,0                                           ,156              ,721                                               ,11               ,                      ,              ,12            ,6               ,                         ,                 ,                          ,1                      ,                    ,0                           ,1                           ,                        ,                       ,0                      ,                         ,                      ,                ,1                 ,                    ,                 ,2                    ,1                                                        ,2              ,                    ,1               ,17              ,2                                              ,                 ,27                 ,                   ,                  ,                 ,               ,12               ,11                 ,                ,                   ,                  ,               ,0                        ,                    ,               ,5                    ,                                                     ,                       ,0                    ,1               ,                         ,                   ,0                ,0                                                  ,0               ,                     ,                             ,                                                     ,                      ,1                     ,0               ,0                             ,                        ,0                            ,                 ,0                  ,1                  ,0                        ,0                          ,?                       ,3                             ,                           ,2                  ,3               ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,L. conica         ,              ,120, 748,B, 10,H, 1,  45.00,     76.5500,Takemura ,Radiolarians                                 ,C              ,G                 ,                    ,2                                           ,380              ,443                                               ,66               ,                      ,              ,22            ,6               ,                         ,                 ,                          ,1                      ,                    ,0                           ,                            ,1                       ,                       ,0                      ,0                        ,                      ,                ,                  ,                    ,                 ,3                    ,                                                         ,3              ,                    ,0               ,20              ,5                                              ,                 ,31                 ,                   ,                  ,                 ,               ,8                ,7                  ,                ,                   ,                  ,               ,                         ,                    ,               ,8                    ,                                                     ,                       ,0                    ,2               ,                         ,                   ,0                ,0                                                  ,0               ,                     ,                             ,0                                                    ,                      ,1                     ,                ,                              ,                        ,                             ,                 ,0                  ,                   ,0                        ,1                          ,                        ,5                             ,                           ,                   ,0               ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,L. conica         ,              ,120, 748,B, 10,H, 2,  43.00,     78.0300,Takemura ,Radiolarians                                 ,A              ,G                 ,                    ,3                                           ,59               ,522                                               ,52               ,                      ,0             ,161           ,4               ,                         ,                 ,                          ,0                      ,                    ,0                           ,                            ,                        ,                       ,0                      ,8                        ,                      ,                ,                  ,0                   ,                 ,1                    ,45                                                       ,2              ,                    ,                ,31              ,11                                             ,                 ,9                  ,                   ,                  ,                 ,               ,18               ,52                 ,                ,                   ,                  ,               ,                         ,                    ,               ,2                    ,2                                                    ,                       ,                     ,16              ,                         ,                   ,                 ,0                                                  ,0               ,                     ,                             ,                                                     ,2                     ,1                     ,1               ,                              ,                        ,                             ,                 ,0                  ,                   ,                         ,4                          ,                        ,1                             ,                           ,10                 ,1               ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,L. conica         ,              ,120, 748,B, 10,H, 3,  45.00,     79.5500,Takemura ,Radiolarians                                 ,C              ,M                 ,                    ,2                                           ,486              ,355                                               ,16               ,                      ,0             ,27            ,3               ,                         ,                 ,                          ,0                      ,                    ,?                           ,0                           ,                        ,                       ,0                      ,                         ,                      ,                ,                  ,0                   ,                 ,1                    ,0                                                        ,0              ,                    ,0               ,31              ,8                                              ,                 ,14                 ,                   ,                  ,                 ,               ,5                ,59                 ,                ,                   ,                  ,               ,0                        ,                    ,               ,1                    ,                                                     ,                       ,                     ,6               ,                         ,                   ,0                ,                                                   ,0               ,                     ,                             ,                                                     ,1                     ,0                     ,                ,                              ,                        ,0                            ,                 ,1                  ,                   ,                         ,1                          ,                        ,                              ,                           ,1                  ,0               ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,L. conica         ,              ,120, 748,B, 10,H, 4,  45.00,     81.0500,Takemura ,Radiolarians                                 ,C              ,G                 ,                    ,1                                           ,17               ,690                                               ,45               ,                      ,              ,33            ,2               ,0                        ,                 ,                          ,0                      ,                    ,0                           ,0                           ,                        ,                       ,1                      ,                         ,                      ,?               ,                  ,0                   ,                 ,0                    ,0                                                        ,14             ,                    ,2               ,16              ,11                                             ,                 ,90                 ,                   ,                  ,                 ,2              ,27               ,54                 ,                ,                   ,                  ,               ,1                        ,                    ,               ,4                    ,                                                     ,                       ,?                    ,7               ,                         ,                   ,?                ,0                                                  ,0               ,                     ,                             ,                                                     ,0                     ,                      ,                ,                              ,                        ,                             ,                 ,0                  ,1                  ,0                        ,2                          ,0                       ,                              ,                           ,1                  ,?               ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,L. conica         ,              ,120, 748,B, 10,H, 5,  45.00,     82.5500,Takemura ,Radiolarians                                 ,A              ,G                 ,                    ,2                                           ,47               ,675                                               ,36               ,                      ,1             ,34            ,2               ,0                        ,                 ,                          ,2                      ,0                   ,0                           ,0                           ,                        ,                       ,1                      ,                         ,                      ,                ,                  ,0                   ,                 ,0                    ,0                                                        ,6              ,                    ,                ,31              ,18                                             ,                 ,4                  ,                   ,                  ,                 ,0              ,20               ,92                 ,                ,                   ,                  ,               ,4                        ,0                   ,               ,27                   ,1                                                    ,1                      ,0                    ,1               ,                         ,                   ,1                ,0                                                  ,0               ,                     ,                             ,0                                                    ,0                     ,0                     ,0               ,                              ,                        ,                             ,                 ,2                  ,1                  ,0                        ,4                          ,                        ,                              ,                           ,4                  ,0               ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,L. conica         ,              ,120, 748,B, 10,H, 6,  45.00,     84.0500,Takemura ,Radiolarians                                 ,C              ,M                 ,                    ,3                                           ,30               ,786                                               ,11               ,                      ,              ,22            ,3               ,1                        ,                 ,                          ,2                      ,1                   ,0                           ,1                           ,                        ,                       ,1                      ,5                        ,                      ,                ,0                 ,2                   ,                 ,4                    ,2                                                        ,5              ,                    ,0               ,32              ,10                                             ,                 ,22                 ,                   ,                  ,                 ,               ,13               ,32                 ,                ,                   ,                  ,               ,5                        ,0                   ,               ,3                    ,                                                     ,0                      ,                     ,0               ,                         ,                   ,0                ,0                                                  ,0               ,                     ,                             ,                                                     ,                      ,0                     ,0               ,0                             ,                        ,                             ,                 ,1                  ,1                  ,1                        ,0                          ,4                       ,                              ,                           ,10                 ,3               ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,                      ,                        ,                     ,                          ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,                         ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chpater 39 Table 1 p 736-737
