Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Martinottiella communis	Quinqueloculina spp.	Martinottiella nodulosa	Gyroidinoides sp. A	Cassidulina norcrossi	Miliammina echigoensis	Dentalina spp.	Cyclammina cancellata	Uvigerina hispida	Uvigerina akitaensis	Melonis pompilioides	Globobulimina subaffinis	Uvigerina spp.	Rotaliid taxa	Cassidulina cushmani	Quinqueloculina vulgaris	Quinqueloculina cf. lamarckiana	Pyrgo depressa	Pullenia salisburyi	Planulina sp. A	Parafissurina tectulostoma	Oridorsalis umbonatus	Melonis nicobarense	Fissurina spp.	Stilostomella lepidula	Pyrgo murrhina	Oridorsalis tener	Cassidulina norvangi	Pyrgoella sp.	Pandaglandulina sp. A	Globobulimina pacifica	Globobulimina auriculata	Nonionella stella	Bolivina pacifica	Pyrgo spp.	Pseudoparrella takayanagii	Lenticulina spp.	Lagena apiopleura	Fissurina sublagenoides	Fissurina cucurbitasema	Fissurina annectens	Dentalina frobisherensis	Cassidulina sp. A	Astrononion hamadaense	Pleurostomella sp. A	Parafissurina striatum	Parafissurina sp.	Nonionella(?) fragilis   	Lagena tricaritortuosa	Lagena nebulosa	Lagena distoma	Fissurina marginata	Fissurina lucida	Fissurina lagenoides	Cibicides sp.	Stainforthia complanata	Spiloloculina sp.	Pseudoeponides japonica	Planularia asanoi	Parafissurina lateralis crassa	Parafissurina fersinea	Oolina melo	Miliolid taxa	Eilohedra rotunda	Cassidulina spp.	Bulimina sp. A	Bolivina spp.	Bolivina decussata	Triloculina tricarinata	Lagena elongata	Stainforthia fusiformis	Pseudoparrella naraensis	Parafissurina costata	Nodosariid taxa	Bulimina striata	Anomalina globulosa	Pandaglandulina spp.	Epistominella pulchella	Valvulineria sadonica	Polymorphinid taxa	Buliminella tenuata	Brizalina sp. A aff. B. bradyi	Bolivina sp. A aff. B. difformis	Trifarina kokozuraensis	Stainforthia sandiegoensis	Anomalina glabrata	Glabratella globularis	Elphidium spp.	Cibicides sp. A	Bulimina marginata	Cassidulinoides tenuis	Pseudononion grateloupi	Chilostomellina frimbriata	Bulimina aculeata	Stainforthia sp. A	Quadrimorphina laevigata	Lagena spp.	Fissurina multicostulata	Bolivinita quadrilatera	Nonionellina labradorica	Dentalina setanaensis	Rutherfordoides cf. rotundiformis	Nonionella globosa	Uvigerina wakimotoensis	Lagena sulcata	Echigoina hataii	Cibicides spp.	Cassidulina japonica	Bolivina subspinescens	Angulogerina sp. A	Cassidulina cf. japonica	Cibicides asanoi	Lagena substriata	Glandulina laevigata	Pseudonodosalia spp.	Marginulina sp.	Glandulina spp.	Epistominella sp. A	Dentalina ittai 	Comment

  SR	                 	                 	                  	              	128	 799	A	 11	H	 4	  36.00	     92.3600	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	                     	100                   	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 12	H	 4	  39.00	    102.0900	Kato     	Benthic Foraminifers                         	               	P                 	                       	                    	                       	                   	T                    	                      	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	T             	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 12	H	 6	  33.00	    105.0300	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	35                   	6                     	              	                     	                 	                    	                    	                        	              	1            	                    	                        	                               	              	                   	               	                          	                     	                   	1             	                      	1             	26               	8                   	             	                     	                      	                        	                 	4                	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	2                        	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	T                     	T          	1            	                 	                	              	T            	                  	                       	               	4                      	5                       	T                    	T              	T               	2                  	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 13	H	 1	  33.00	    107.1300	Kato     	Benthic Foraminifers                         	               	P                 	                       	                    	                       	                   	2                    	86                    	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	2             	                   	               	                          	8                    	                   	              	                      	              	2                	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	2              	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 13	H	 4	  33.00	    111.6300	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	86                   	                      	T             	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	1                    	                   	              	                      	1             	6                	2                   	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	2                	                	              	             	                  	2                      	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 13	H	 6	  33.00	    114.6300	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	T                    	1                     	              	                     	                 	                    	                    	                        	T             	             	                    	                        	                               	T             	                   	T              	                          	                     	                   	4             	                      	5             	                 	16                  	             	T                    	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	T                	                      	                    	1                     	                 	                         	T                     	T              	T             	4                  	                	T                   	36           	10                     	T                	T                      	T                	4                             	T                     	T          	2            	2                	3               	T             	T            	2                 	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 13	H	 7	  33.00	    116.1300	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	62                   	1                     	T             	                     	                 	                    	                    	                        	              	T            	                    	                        	                               	              	                   	               	                          	                     	                   	              	12                    	              	                 	6                   	             	                     	                      	                        	                 	T                	          	T                         	                	                 	                       	                       	T                  	                        	                 	1                     	1                   	T                     	T                	2                        	2                     	T              	T             	1                  	3               	T                   	4            	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 14	H	 2	  37.00	    118.3700	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	17                   	                      	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	8             	                      	1             	                 	36                  	             	                     	                      	                        	                 	                 	2         	1                         	T               	1                	5                      	3                      	3                  	1                       	T                	T                     	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 15	H	 5	  30.00	    132.4000	Kato     	Benthic Foraminifers                         	               	M                 	22                     	                    	33                     	                   	                     	44                    	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 15	H	 7	  30.00	    135.4000	Kato     	Benthic Foraminifers                         	               	P                 	                       	                    	                       	                   	                     	T                     	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 16	H	 2	  33.00	    137.6300	Kato     	Benthic Foraminifers                         	               	P                 	                       	T                   	                       	                   	                     	                      	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	T                    	                      	T                       	                 	T                	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 16	H	 4	  33.00	    140.6300	Kato     	Benthic Foraminifers                         	               	P                 	                       	                    	                       	                   	                     	                      	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	T                       	T                	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 16	H	 6	  33.00	    143.6300	Kato     	Benthic Foraminifers                         	               	P                 	                       	                    	T                      	                   	                     	T                     	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 18	H	 2	  33.00	    157.0300	Kato     	Benthic Foraminifers                         	               	P                 	                       	                    	T                      	                   	                     	T                     	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 18	H	 3	  33.00	    158.5300	Kato     	Benthic Foraminifers                         	               	P                 	5                      	                    	                       	                   	                     	95                    	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 18	H	 4	  33.00	    160.0300	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	                     	T                     	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

