Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pullenia spp.,Pullenia quinqueloba,Pullenia osloensis,Pleurostomella spp.,Oridorsalis umbonatus,Nuttallides umbonifera,Gyroidinoides altiformis,Globocassidulina subglobosa,Fissurina/Lagena/Oolina/Parafissurina (unspecified taxon or taxa),Epistominella exigua,Eggerella bradyi,Cibicidoides cf. pseudoungerianus,Cibicidoides kullenbergi,Pyrgo murrhina,Miliolina spp.,Melonis barleeanus,Gyroidinoides spp.,Gyroidinoides sp.2,Pullenia bulloides,Gyroidinoides sp.1,Pullenia subcarinata,Planulina wuellerstorfi,Cibicidoides spp.,Uvigerina senticosa,Uvigerina proboscidea,Stilostomella spp.,Sphaeroidina bulloides,Lenticulina spp.,Gyroidinoides sp.3,Eponides pusillus,Pullenia salisburyi sl.,Siphotextularia catenata,Laticarinina pauperata,Eponides tumidulus,Textularia australis,Quinqueloculina venusta,Quinqueloculina cf. weaveri,Cibicidoides bradyi,Cassidulina spp.,Anomalinoides globulosus,Pyrgo elongata,Pyrgo sp.1,Astrononion echolsi,Buliminella sp. 1,Stainforthia complanata,Melonis pompilioides,Gyroidinoides lamarckianus,Cassidulinoides spp.,Pyrulina extensa,Bolivina pseudoplicata,Ehrenbergina trigona,Dorothia brevis,Uvigerina hollicki,Pyrgo lucernula,Comment
  SR,                 ,                 ,                  ,              ,110, 672,A, 11,H, 2,  76.00,     91.0600,Clark    ,Benthic Foraminifers                         ,               ,                  ,9            ,2                   ,1                 ,1                  ,9                    ,38                    ,2                       ,6                          ,4                                                                ,12                  ,5               ,14                               ,                        ,4             ,              ,                  ,                  ,                  ,1                 ,                  ,10                  ,                       ,1                ,                   ,                     ,                  ,                      ,                ,                  ,1                ,                       ,                        ,                      ,                  ,2                   ,1                      ,1                          ,                   ,                ,2                       ,1             ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,110, 672,A, 11,H, 3,  76.00,     92.5600,Clark    ,Benthic Foraminifers                         ,               ,                  ,3            ,                    ,16                ,1                  ,7                    ,14                    ,3                       ,7                          ,10                                                               ,6                   ,3               ,6                                ,1                       ,1             ,1             ,                  ,1                 ,                  ,                  ,4                 ,10                  ,                       ,2                ,                   ,                     ,                  ,                      ,1               ,                  ,                 ,                       ,                        ,                      ,                  ,1                   ,                       ,                           ,                   ,2               ,                        ,              ,1         ,1                  ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,110, 672,A, 11,H, 4,  76.00,     94.0600,Clark    ,Benthic Foraminifers                         ,               ,                  ,12           ,                    ,7                 ,1                  ,7                    ,6                     ,3                       ,18                         ,7                                                                ,6                   ,3               ,8                                ,                        ,3             ,1             ,                  ,                  ,                  ,                  ,1                 ,2                   ,                       ,                 ,                   ,                     ,                  ,                      ,1               ,                  ,                 ,2                      ,                        ,                      ,4                 ,                    ,                       ,                           ,                   ,                ,                        ,4             ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,110, 672,A, 11,H, 5,  76.00,     95.5600,Clark    ,Benthic Foraminifers                         ,               ,                  ,2            ,                    ,5                 ,                   ,13                   ,19                    ,2                       ,3                          ,9                                                                ,17                  ,3               ,4                                ,1                       ,2             ,              ,                  ,2                 ,                  ,                  ,1                 ,3                   ,1                      ,                 ,                   ,                     ,1                 ,                      ,2               ,                  ,                 ,                       ,2                       ,                      ,2                 ,1                   ,1                      ,2                          ,1                  ,1               ,1                       ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,110, 672,A, 11,H, 6,  76.00,     97.0600,Clark    ,Benthic Foraminifers                         ,               ,                  ,6            ,                    ,8                 ,                   ,19                   ,36                    ,2                       ,3                          ,6                                                                ,21                  ,3               ,10                               ,                        ,2             ,1             ,                  ,                  ,                  ,                  ,                  ,5                   ,                       ,                 ,                   ,                     ,                  ,                      ,                ,                  ,1                ,                       ,1                       ,1                     ,1                 ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,110, 672,A, 11,H,CC,  14.00,     98.5000,Clark    ,Benthic Foraminifers                         ,               ,                  ,1            ,                    ,0                 ,                   ,21                   ,31                    ,1                       ,3                          ,3                                                                ,1                   ,                ,12                               ,3                       ,              ,              ,                  ,                  ,                  ,                  ,                  ,2                   ,                       ,1                ,                   ,                     ,                  ,                      ,                ,                  ,                 ,1                      ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,110, 672,A, 12,H, 1,  82.00,     99.1200,Clark    ,Benthic Foraminifers                         ,               ,                  ,1            ,                    ,3                 ,1                  ,11                   ,26                    ,3                       ,3                          ,3                                                                ,32                  ,5               ,14                               ,                        ,11            ,1             ,                  ,1                 ,                  ,2                 ,1                 ,2                   ,47                     ,                 ,1                  ,1                    ,1                 ,1                     ,2               ,10                ,1                ,                       ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,110, 672,A, 12,H, 2,  82.00,    100.6200,Clark    ,Benthic Foraminifers                         ,               ,                  ,2            ,                    ,4                 ,1                  ,9                    ,20                    ,2                       ,4                          ,7                                                                ,19                  ,                ,9                                ,3                       ,              ,              ,                  ,4                 ,                  ,2                 ,                  ,3                   ,2                      ,2                ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,110, 672,A, 12,H, 3,  82.00,    102.1200,Clark    ,Benthic Foraminifers                         ,               ,                  ,7            ,                    ,7                 ,1                  ,14                   ,20                    ,3                       ,11                         ,2                                                                ,19                  ,1               ,3                                ,7                       ,1             ,              ,                  ,2                 ,                  ,6                 ,2                 ,                    ,                       ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,110, 672,A, 12,H, 4,  82.00,    103.6200,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,8                 ,1                  ,25                   ,27                    ,2                       ,6                          ,2                                                                ,11                  ,                ,6                                ,7                       ,1             ,1             ,1                 ,1                 ,1                 ,                  ,                  ,                    ,                       ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,110, 672,A, 12,H, 5,  82.00,    105.1200,Clark    ,Benthic Foraminifers                         ,               ,                  ,6            ,                    ,1                 ,                   ,5                    ,73                    ,3                       ,4                          ,4                                                                ,2                   ,                ,                                 ,2                       ,              ,              ,                  ,                  ,                  ,                  ,                  ,                    ,                       ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,110, 672,A, 12,H, 6,  82.00,    106.6200,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,                  ,                   ,6                    ,19                    ,                        ,                           ,                                                                 ,                    ,                ,                                 ,                        ,              ,              ,                  ,                  ,                  ,                  ,                  ,                    ,                       ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,110, 672,A, 12,H,CC,  24.00,    108.0800,Clark    ,Benthic Foraminifers                         ,               ,                  ,5            ,2                   ,3                 ,1                  ,5                    ,29                    ,4                       ,8                          ,5                                                                ,19                  ,4               ,2                                ,                        ,              ,              ,                  ,                  ,                  ,                  ,                  ,                    ,                       ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
