Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus pseudoradians,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus distentus,Sphenolithus aff. ciperoensis,Reticulofenestra umbilica,Markalius inversus,Holococcolith type A,Helicosphaera compacta,Ericsonia obruta,Discoaster tanii,Discoaster deflandrei,Discoaster barbadiensis,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus eopelagicus,Coronocyclus nitescens,Zygrhablithus bijugatus,Ericsonia subdisticha,Discoaster nodifer,Discoaster adamanteus,Calcidiscus kingii,Coccolithus miopelagicus,Triquetrorhabdulus milowii,Triquetrorhabdulus carinatus,Sphenolithus ciperoensis,Cyclicargolithus abisectus,Sphenolithus aff. distentus,Ericsonia formosa,Discoaster saipanensis,Bramletteius serraculoides,Braarudosphaera bigelowii,Pedinocyclus larvalis,Helicosphaera reticulata,Helicosphaera perch-nielseniae,Crassidiscus backmanii,Coccolithus fuscus,Catinaster umbrellus,Sphenolithus dissimilis,Helicosphaera euphratis,Sphenolithus conicus,Sphenolith (unspecified taxon or taxa),Pontosphaera spp.,Cyclicargolithus abisectus (> 10 microns),Cyclicargolithus abisectus (< 10 microns),Clausicoccus fenestratus,Ilselithina fusa,Discoaster woodringii,Discoaster extensus-dilatus group,Thoracosphaera spp.,Discoaster aff. druggii,Reticulofenestrid taxa,Discoaster moorei,Sphenolithus delphix,Sphenolithus capricornutus,Reticulofenestra daviesii,Hayella cf. aperta,Helicosphaera recta,Coccolithus formosus,Discoaster multiradiatus,Discoaster druggii,Sphenolithus dissimilis/belemnos,Sphenolithus calyculus,Triquetrorhabdulus serratus,Sphenolithus belemnos,Dictyococcites spp.,Ceratolithus cristatus,Coccolithus radiatus,Triquetrorhabdulus auritus,Discoaster variabilis,Discoaster musicus,Calcidiscus leptoporus,Sphenolithus heteromorphus,Discoaster exilis,Helicosphaera carteri,Triquetrorhabdulus curvus,Discoaster formosus,Discoaster signus-tuberi,Discoaster brouweri,Calcidiscus premacintyrei,Discoaster intercalaris,Discoaster bollii,Triquetrorhabdulus rugosus/rioensis,Reticulofenestra pseudoumbilicus,Discoaster pansus,Discoaster kugleri,Calcidiscus macintyrei,Discoaster aulakos,Catinaster coalitus,Discoaster pseudovariabilis,Discoaster calcaris,Discoaster aff. intercalaris,Discoaster bellus,Discoaster neohamatus,Discoaster hamatus,Discoaster asymmetricus,Catinaster calyculus,Minylitha convallis,Discoaster surculus,Discoaster prepentaradiatus,Discoaster pentaradiatus,Discoaster sp. 1,Discoaster icarus,Catinaster spp.,Discoaster triradiatus,Discoaster challengeri,Discoaster quinqueramus/berggrenii,Discoaster tamalis,Discoaster sp. 2,Amaurolithus primus,Amaurolithus amplificus,Amaurolithus delicatus,Syracosphaera spp.,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus rugosus,Amaurolithus tricorniculatus,Discoaster tristellifer,Pseudoemiliania lacunosa,Gephyrocapsa (small),Gephyrocapsa oceanica s.l.,Helicosphaera sellii,Gephyrocapsa (large),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN1c              ,              ,115, 708,A, 16,X, 6,  91.00,    148.4100,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,R                     ,                             ,                         ,                  ,                    ,                      ,                ,                ,A                    ,                       ,                        ,                       ,A                          ,C                    ,                       ,C                     ,                       ,                     ,                  ,F                    ,                  ,                        ,F                         ,C                           ,R                       ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,R                      ,                       ,R                   ,C                                     ,                 ,                                         ,                                         ,                        ,                ,R                    ,F                                ,                   ,                       ,C                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,cf                ,R                               ,R                     ,                           ,R                    ,                   ,                      ,                    ,                          ,cf                   ,                  ,                      ,cf                        ,                 ,                     ,                         ,                   ,                        ,                   ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,                      ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,                   ,                           ,                        ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN1c              ,              ,115, 708,A, 16,X, 6, 118.00,    148.6800,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,A                    ,                       ,                        ,                       ,C                          ,C                    ,                       ,                      ,                       ,                     ,                  ,F                    ,                  ,C                       ,F                         ,R                           ,R                       ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,R                   ,C                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,C                                ,                   ,                       ,C                     ,F                ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,                      ,                    ,                          ,                     ,                  ,cf                    ,                          ,                 ,                     ,                         ,                   ,                        ,                   ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,                      ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,                   ,                           ,                        ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN1c              ,              ,115, 708,A, 16,X, 6, 130.00,    148.8000,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,A                    ,                       ,                        ,R                      ,A                          ,C                    ,                       ,F                     ,                       ,                     ,                  ,R                    ,                  ,F                       ,F                         ,F                           ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,R                      ,                       ,R                   ,C                                     ,                 ,                                         ,                                         ,                        ,                ,R                    ,                                 ,                   ,F                      ,F                     ,R                ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,R                     ,                           ,                     ,                   ,                      ,                    ,                          ,                     ,                  ,                      ,                          ,                 ,                     ,                         ,                   ,                        ,                   ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,                      ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,                   ,                           ,                        ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN1c              ,              ,115, 708,A, 16,X,CC,  36.00,    149.6300,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,R                     ,                             ,                         ,                  ,                    ,                      ,                ,                ,C                    ,                       ,                        ,cf                     ,A                          ,C                    ,                       ,C                     ,                       ,                     ,                  ,F                    ,                  ,                        ,F                         ,C                           ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,R                      ,                       ,R                   ,C                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,R                                ,                   ,R                      ,F                     ,F                ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,cf                         ,                     ,                   ,                      ,                    ,                          ,cf                   ,R                 ,                      ,                          ,                 ,                     ,                         ,                   ,                        ,                   ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,                      ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,                   ,                           ,                        ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN1c              ,              ,115, 708,A, 17,X, 1, 143.00,    151.0300,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,R                     ,                             ,                         ,                  ,                    ,                      ,                ,                ,A                    ,                       ,                        ,                       ,A                          ,F                    ,                       ,C                     ,                       ,                     ,                  ,R                    ,                  ,                        ,R                         ,C                           ,R                       ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,C                      ,                       ,R                   ,A                                     ,                 ,                                         ,F                                        ,                        ,                ,                     ,F                                ,                   ,F                      ,F                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,R                 ,R                               ,                      ,                           ,cf                   ,                   ,                      ,F                   ,                          ,                     ,                  ,                      ,                          ,                 ,                     ,                         ,                   ,                        ,                   ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,                      ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,                   ,                           ,                        ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN1c              ,              ,115, 708,A, 17,X, 2,  90.00,    152.0000,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,A                    ,                       ,                        ,                       ,C                          ,C                    ,                       ,C                     ,                       ,                     ,                  ,R                    ,                  ,C                       ,R                         ,C                           ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,R                      ,                       ,R                   ,C                                     ,                 ,                                         ,                                         ,                        ,                ,                     ,F                                ,                   ,                       ,F                     ,cf               ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,R                 ,                                ,                      ,cf                         ,                     ,                   ,                      ,F                   ,                          ,                     ,                  ,                      ,                          ,                 ,                     ,                         ,                   ,                        ,                   ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,                      ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,                   ,                           ,                        ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN1c              ,              ,115, 708,A, 17,X, 2, 130.00,    152.4000,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,A                    ,                       ,                        ,                       ,A                          ,C                    ,                       ,C                     ,                       ,                     ,                  ,R                    ,                  ,                        ,R                         ,C                           ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,R                      ,                       ,R                   ,A                                     ,                 ,                                         ,cf                                       ,                        ,                ,R                    ,F                                ,                   ,R                      ,C                     ,cf               ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,R                 ,R                               ,                      ,F                          ,cf                   ,                   ,                      ,cf                  ,                          ,                     ,                  ,                      ,                          ,                 ,                     ,                         ,                   ,                        ,                   ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,                      ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,                   ,                           ,                        ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN1c              ,              ,115, 708,A, 17,X, 3,  40.00,    153.0000,Rio      ,Nannofossils                                 ,C              ,P                 ,                          ,                         ,                       ,R                     ,                             ,                         ,                  ,                    ,                      ,                ,                ,A                    ,                       ,                        ,                       ,C                          ,F                    ,                       ,                      ,R                      ,                     ,                  ,R                    ,                  ,                        ,R                         ,C                           ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,R                      ,                       ,F                   ,C                                     ,                 ,R                                        ,R                                        ,                        ,                ,R                    ,F                                ,                   ,F                      ,R                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,R                 ,R                               ,                      ,cf                         ,                     ,                   ,                      ,                    ,                          ,                     ,                  ,                      ,                          ,                 ,                     ,                         ,                   ,                        ,                   ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,                      ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,                   ,                           ,                        ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN1c              ,              ,115, 708,A, 17,X, 3, 130.00,    153.9000,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,A                    ,                       ,                        ,                       ,C                          ,C                    ,                       ,C                     ,                       ,                     ,                  ,R                    ,                  ,C                       ,C                         ,C                           ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,R                      ,                       ,R                   ,A                                     ,                 ,                                         ,                                         ,                        ,                ,R                    ,F                                ,                   ,F                      ,R                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,R                 ,                                ,                      ,R                          ,                     ,                   ,                      ,F                   ,C                         ,                     ,                  ,                      ,                          ,                 ,                     ,                         ,                   ,                        ,                   ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,                      ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,                   ,                           ,                        ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN1c              ,              ,115, 708,A, 17,X, 4,  80.00,    154.9000,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,A                    ,                       ,                        ,R                      ,A                          ,C                    ,                       ,R                     ,                       ,                     ,                  ,R                    ,                  ,C                       ,R                         ,A                           ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,R                      ,                       ,R                   ,A                                     ,                 ,R                                        ,C                                        ,                        ,                ,                     ,F                                ,                   ,R                      ,F                     ,cf               ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,R                 ,                                ,                      ,                           ,                     ,                   ,                      ,cf                  ,                          ,                     ,                  ,                      ,                          ,                 ,                     ,                         ,                   ,                        ,                   ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,                      ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,                   ,                           ,                        ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN1c              ,              ,115, 708,A, 17,X, 4, 120.00,    155.3000,Rio      ,Nannofossils                                 ,A              ,P                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,A                    ,                       ,                        ,                       ,A                          ,C                    ,                       ,C                     ,                       ,                     ,                  ,R                    ,                  ,                        ,R                         ,A                           ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,R                      ,                       ,R                   ,C                                     ,R                ,                                         ,F                                        ,                        ,                ,R                    ,R                                ,                   ,                       ,F                     ,cf               ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,                                ,                      ,                           ,                     ,                   ,F                     ,                    ,                          ,                     ,                  ,                      ,                          ,                 ,                     ,                         ,                   ,                        ,                   ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,                      ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,                   ,                           ,                        ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN1c              ,              ,115, 708,A, 17,X, 4, 135.00,    155.4500,Rio      ,Nannofossils                                 ,A              ,P                 ,                          ,                         ,                       ,R                     ,                             ,                         ,                  ,                    ,                      ,                ,                ,A                    ,                       ,                        ,R                      ,A                          ,C                    ,                       ,                      ,F                      ,                     ,                  ,                     ,                  ,                        ,R                         ,A                           ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,R                      ,                       ,R                   ,C                                     ,                 ,                                         ,C                                        ,                        ,                ,R                    ,R                                ,                   ,R                      ,                      ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,cf                ,                                ,                      ,                           ,                     ,                   ,                      ,                    ,                          ,                     ,                  ,                      ,                          ,                 ,                     ,                         ,                   ,                        ,                   ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,                      ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,                   ,                           ,                        ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN1c              ,              ,115, 708,A, 17,X,CC,  25.00,    156.7000,Rio      ,Nannofossils                                 ,A              ,M                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,A                    ,                       ,                        ,                       ,A                          ,F                    ,                       ,F                     ,R                      ,                     ,                  ,                     ,                  ,R                       ,R                         ,C                           ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,R                      ,                       ,R                   ,C                                     ,                 ,                                         ,C                                        ,                        ,                ,F                    ,R                                ,F                  ,R                      ,R                     ,cf               ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,                  ,R                               ,                      ,cf                         ,cf                   ,                   ,                      ,                    ,                          ,                     ,                  ,                      ,                          ,                 ,                     ,                         ,                   ,                        ,                   ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,                      ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,                   ,                           ,                        ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN1c              ,              ,115, 708,A, 18,X, 1,  80.00,    160.1000,Rio      ,Nannofossils                                 ,C              ,P                 ,                          ,                         ,                       ,                      ,                             ,                         ,                  ,                    ,                      ,                ,                ,A                    ,                       ,                        ,                       ,A                          ,C                    ,                       ,                      ,                       ,                     ,                  ,R                    ,                  ,R                       ,                          ,C                           ,                        ,                          ,                           ,                 ,                      ,                          ,                         ,                     ,                        ,                              ,                      ,                  ,                    ,                       ,                       ,R                   ,F                                     ,                 ,                                         ,                                         ,                        ,                ,R                    ,F                                ,                   ,R                      ,F                     ,                 ,                    ,                          ,                         ,                  ,                   ,                    ,                        ,cf                ,                                ,                      ,                           ,                     ,F                  ,                      ,                    ,                          ,                     ,                  ,                      ,                          ,                 ,                     ,                         ,                   ,                        ,                   ,                         ,                       ,                 ,                                   ,                                ,                 ,                  ,                      ,                  ,                   ,                           ,                   ,                            ,                 ,                     ,                  ,                       ,                    ,                   ,                   ,                           ,                        ,                ,                 ,               ,                      ,                      ,                                  ,                  ,                ,                   ,                       ,                      ,                  ,                   ,                    ,                    ,                            ,                       ,                        ,                    ,                          ,                    ,                    ,from 115 SR. Chapter 15. Table 16. microfiche in back pocket.
