Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spirosigmoilinella sp.	Martinottiella communis	Uvigerina pygmaea	Melonis zaandamae	Cibicides spp.	Eponides umbonatus	Cassidulina subglobosa	Epistominella exigua	Cassidulina reniforme	Uvigerina pygmaea langeri	Pullenia bulloides	Cassidulina laevigata	Islandiella spp.	Alabamina spp.	Spirosigmoilinella spp.	Elphidium spp.	Valvulineria spp.	Elphidium excavatum	Cibicides wuellerstorfi	Stensioeina granulata incondita	Bolivinoides draco militaris	Bolivinoides decoratus	Silicosigmoilina spp.	Bulimina marginata	Comment
  SR	                 	                 	C1                	              	104	 642	B	 22	H	 4	  70.00	    191.9000	Osterman 	Benthic Foraminifers                         	               	                  	+                     	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = +; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 22	H	 5	  70.00	    193.4000	Osterman 	Benthic Foraminifers                         	               	                  	+                     	+                      	+                	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = %; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 22	H	 6	  70.00	    194.9000	Osterman 	Benthic Foraminifers                         	               	                  	27.3%                 	29.0%                  	36.1%            	1.0%             	.9%           	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 5.7%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 22	H	 7	  34.00	    196.0400	Osterman 	Benthic Foraminifers                         	               	                  	33.3%                 	50.0%                  	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 16.7%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 23	H	 1	  66.00	    196.6600	Osterman 	Benthic Foraminifers                         	               	                  	+                     	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = +; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 23	H	 2	  66.00	    198.1600	Osterman 	Benthic Foraminifers                         	               	                  	+                     	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 23	H	 3	  66.00	    199.6600	Osterman 	Benthic Foraminifers                         	               	                  	+                     	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 23	H	 4	  66.00	    201.1600	Osterman 	Benthic Foraminifers                         	               	                  	+                     	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 23	H	 5	  66.00	    202.6600	Osterman 	Benthic Foraminifers                         	               	                  	+                     	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 23	H	 6	  66.00	    204.1600	Osterman 	Benthic Foraminifers                         	               	                  	+                     	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 23	H	 7	  53.00	    205.5300	Osterman 	Benthic Foraminifers                         	               	                  	+                     	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 23	H	CC	   5.00	    205.6300	Osterman 	Benthic Foraminifers                         	               	                  	+                     	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 24	H	 1	  66.00	    206.2600	Osterman 	Benthic Foraminifers                         	               	                  	+                     	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 24	H	 2	  66.00	    207.7600	Osterman 	Benthic Foraminifers                         	               	                  	+                     	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 24	H	 3	  66.00	    209.2600	Osterman 	Benthic Foraminifers                         	               	                  	+                     	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 24	H	 4	  66.00	    210.7600	Osterman 	Benthic Foraminifers                         	               	                  	+                     	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 24	H	 5	  66.00	    212.2600	Osterman 	Benthic Foraminifers                         	               	                  	+                     	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 25	H	 1	  66.00	    213.7600	Osterman 	Benthic Foraminifers                         	               	                  	+                     	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 25	H	 2	  66.00	    215.2600	Osterman 	Benthic Foraminifers                         	               	                  	+                     	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 25	H	 3	  66.00	    216.7600	Osterman 	Benthic Foraminifers                         	               	                  	+                     	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 25	H	 4	  66.00	    218.2600	Osterman 	Benthic Foraminifers                         	               	                  	+                     	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 25	H	 5	  66.00	    219.7600	Osterman 	Benthic Foraminifers                         	               	                  	+                     	+                      	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	C1                	              	104	 642	B	 25	H	 6	  51.00	    221.1100	Osterman 	Benthic Foraminifers                         	               	                  	+                     	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

